# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 02:13:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cca676017.json
# init = 2 (Default)
# random
#   seed = 182633248
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200313-2-4cc2e0.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200313-2-3a3ae2.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00180313
# Diagonal elements of inverse mass matrix:
# 0.0107138, 0.0139557, 0.00402915, 0.0113625, 0.0150104, 0.00448055, 0.0390159, 0.00725048, 0.0139917, 0.0151196, 0.0130666, 0.188612, 0.0928089, 0.00717797, 0.0417605, 0.0182432, 0.419514, 0.345815, 0.685138, 0.371517, 0.364068, 0.343073, 0.31815, 0.601892, 0.466473, 0.403851, 0.436584, 0.57945, 0.424471, 0.189296, 0.22482, 0.290037, 0.320627, 0.303688, 0.382046, 0.272436, 0.242113, 0.311281, 0.246399, 0.186301, 0.230267, 0.213721, 0.303322, 0.338374, 0.291837, 0.167263, 0.296046, 0.205934, 0.359519, 0.370927, 0.369328, 0.240184, 0.220743, 0.277987, 0.231812, 0.208274, 0.239229, 0.19382, 0.284007, 0.357598, 0.262346, 0.164107, 0.294629, 0.20173, 0.587377, 0.49226, 0.34083, 0.614274, 0.419646, 0.434516, 0.272775, 0.319107, 0.377735, 0.396436, 0.499324, 0.313983, 0.447877, 0.245946, 0.345024, 0.270252, 0.289785, 0.402223, 0.286179, 0.293316, 0.380076, 0.418526, 0.524047, 0.394349, 0.43186, 0.485365, 0.43138, 0.929431, 0.459831, 0.435597, 0.577608, 0.550998, 48.2688, 801.929, 1.55163
-19636.853,0.99724376,0.0018031297,10,1023,0,19678.003,-0.071291909,0.080956879,-0.12605714,-0.098588567,0.10020093,0.060845553,-0.21270558,0.023811693,-0.1559371,-0.14696991,-0.15605222,-0.5120439,-0.12857749,-0.14875227,-0.12448075,-0.069444422,0.09242906,0.38300623,0.034464779,0.37188245,0.24786164,0.18040061,0.19785471,0.17216181,0.32708871,0.12251006,0.094215189,0.2643984,0.32576502,0.25956284,0.17714997,0.34236315,-0.30491631,-1.1481889,1.2963541,-0.39391417,-0.51826535,-0.69444325,0.072774162,-0.62992475,0.084386945,0.095437137,2.3176481,0.081855442,-0.08316238,-0.063252583,0.56898775,-0.24866816,-0.38715589,-0.84280722,0.039972564,-1.3385236,-0.80639274,-0.89342546,-0.35327049,-1.1137951,0.42204634,0.50275692,1.1103243,-0.5478924,-0.52159934,-0.86603934,0.08037931,-1.2311256,0.11366088,0.42145875,0.3677874,-0.43185676,1.0554319,0.23656652,1.7715825,-1.3928834,-0.23554217,0.066218677,1.1608591,-0.98978292,1.4056032,1.360298,1.6452215,0.29772802,0.30962317,0.043103444,0.58667233,-0.70174451,0.41535404,0.24158162,0.6967113,-0.66314581,0.28488453,0.00045336603,0.97900753,-1.5885085,-0.267102,-0.2900862,0.16891807,-0.84945118,-7.469762,32.141787,0.205745,-0.099475037,-0.17741793,0.048528879,-0.10770103,-0.11754198,-0.18501921,0.10882984,-0.16030822,-0.12314876,-0.12276792,-0.046179904,-0.12323601,-0.1295152,-0.12211109,0.11300799,-0.19106389,0.004239836,-0.10869865,0.1101086,-0.23156774,-0.084628191,-0.10032895,-0.0028846596,-0.14008377,-0.12920173,-0.11323276,0.0069773169,-0.32110867,-0.065987793,-0.12528721,0.03764994,-0.18814113,-0.11875991,-0.0180827,-0.035637994,-0.29719257,-0.017668885,-0.11798813,0.070066762,-0.31761213,-0.17824387,-0.14981341,-0.046681664,-0.2493048,-0.14040466,-0.15238329,-0.077049953,-0.43332509,-0.027713093,-0.1145359,0.062539835,-0.35718131,-0.0409418,-0.086046661,0.032088088,-0.32088028,-0.074013465,-0.12440044,0.048950407,-0.40588499,-0.1608903,-0.16875925,-0.011613101,-0.3602652,0.24632766,0.2467879,0.23312379,0.23683382
-19650.274,0.99404954,0.0018031297,10,1023,0,19689.327,-0.072511867,0.04944574,-0.13661019,-0.10949423,0.13602923,0.04630572,-0.24957639,0.0096228734,-0.14345367,-0.16762112,-0.14980565,-0.38450576,-0.11865336,-0.15878209,-0.11262165,-0.11259411,0.063743263,0.29639559,0.063653293,0.58098011,0.24895755,0.17511009,0.21375206,0.15622577,0.2910527,0.10881996,0.095253512,0.19511268,0.30249957,0.30372806,0.19255402,0.4313919,-0.25088161,-1.0866294,0.94664619,-0.44450272,-0.40504476,-0.50463263,-0.22371777,-0.54983758,-0.010273341,0.50268762,2.5378574,0.22122449,0.07892057,-0.048817541,0.36707753,-0.17758374,-0.55566368,-1.1712246,-0.27628868,-1.4359734,-0.76994418,-0.93644341,-0.11280838,-1.0365289,0.63040229,0.50035167,1.2744392,-0.39948149,-0.44912035,-0.90750378,-0.029937941,-1.2216996,0.30793887,-0.039210394,0.61377706,-0.42450969,0.79517235,0.30284633,2.0814039,-1.1758557,-0.13039566,0.18275148,1.2974345,-1.0964814,1.4693187,1.2564097,1.9975857,0.018337649,0.26322203,0.041982344,0.70518416,-0.74428942,0.32989474,0.16656154,0.75010745,-0.46203324,0.19859592,-0.067432389,0.68981099,-1.5842488,-0.09691562,-0.18125268,0.01637168,-0.60934195,-8.6767328,36.225257,0.20742607,-0.088503879,-0.14177717,-0.01216955,-0.10084592,-0.070607742,-0.10012515,-0.01686322,-0.1135237,-0.13726413,-0.10461247,0.024932785,-0.12252853,-0.06364295,-0.13785625,0.10377051,-0.21266685,-0.0023074336,-0.15555597,0.067245081,-0.2214672,-0.088519278,-0.11767497,0.026551834,-0.13520096,-0.1148266,-0.14262519,0.022837621,-0.33496638,-0.0605413,-0.1321526,0.0049457955,-0.18123809,-0.053827231,-0.15486596,0.035187797,-0.26700836,-0.0810905,-0.1346654,0.058877165,-0.2955777,-0.1622263,-0.13239793,-0.026220459,-0.25424935,-0.097823038,-0.13936429,0.0052485539,-0.38092785,-0.039028813,-0.10595372,0.094664543,-0.34380059,-0.0585838,-0.10819267,0.069046593,-0.29911455,-0.074381206,-0.12560603,0.020204228,-0.41767512,-0.15440272,-0.19078505,-0.1055315,-0.37545929,0.25304603,0.25249486,0.25458583,0.24897687
-19639.334,0.99987566,0.0018031297,10,1023,0,19688.715,-0.057889305,-0.042282021,-0.13714304,-0.059329375,0.060099759,0.12795124,-0.29142598,-0.0088153388,-0.20316138,-0.16356408,-0.096500723,-0.28255038,-0.09847355,-0.12873995,-0.22492912,-0.11117711,0.051883649,0.1092739,0.044806987,0.20223458,0.17360996,0.27392158,0.22581486,0.29978906,0.18238524,0.15629597,0.096447253,0.090578387,0.19476862,0.50860405,0.22288863,0.21886862,-0.038914308,-1.3397854,1.5455618,-0.85155305,-0.1300137,-0.57723571,1.1255107,-0.87142258,0.59484987,0.18553699,1.9195465,0.13047428,-0.05128223,-0.16152108,0.6139225,-0.59801798,-0.24900895,-1.1195884,0.16949697,-1.5944614,-0.82955246,-0.89600128,-0.38052133,-1.0858378,0.78988853,0.69081706,1.4958158,-0.17169231,-0.18002935,-0.37415741,0.075467132,-0.59970311,0.67405192,0.71714796,1.0307014,-0.09358839,0.69026443,0.25502488,1.4098559,-0.93178735,-0.24000982,-0.83978297,1.1671848,-1.4039411,1.532782,1.4808649,2.7299843,-0.48502556,0.29695583,-0.037367084,0.9797047,-1.3141012,0.13616038,0.035588107,0.38601574,-0.3136869,0.66490656,0.42960242,1.2608811,-1.053279,-0.25116289,-0.2291833,0.51792756,-1.1586006,-22.213145,89.694177,0.9743583,-0.059908322,-0.12740226,0.022300081,-0.10207099,-0.056489125,-0.10535882,0.080706923,-0.13750576,-0.11048961,-0.12882968,-0.051133943,-0.13129688,-0.069700416,-0.091994525,0.064826984,-0.18026929,0.016869326,-0.13427194,0.089526121,-0.21671461,-0.099281073,-0.11748284,0.023718241,-0.16948316,-0.11305741,-0.13542922,0.046351451,-0.33019665,-0.062786168,-0.12098364,0.013808882,-0.18859977,-0.080224262,-0.072364181,-0.015176666,-0.22023053,-0.055678531,-0.12370472,0.05679072,-0.30919868,-0.11964901,-0.17749548,0.016071045,-0.23190699,-0.14371346,-0.14841602,-0.035272799,-0.32648321,-0.040635872,-0.10575149,0.092342185,-0.35441924,-0.059488227,-0.11063969,0.067589221,-0.28828237,-0.076729006,-0.12917562,0.05610694,-0.45969302,-0.16614879,-0.16133815,0.0021809776,-0.36475843,0.24520477,0.24877731,0.23702878,0.26082265
-19643.883,0.99916197,0.0018031297,10,1023,0,19689.558,-0.073132707,-0.12968627,-0.15176886,-0.09933926,0.0020926632,0.080857506,-0.29272806,-0.021079734,-0.22140509,-0.15453731,-0.10190659,-0.35064224,-0.11602592,-0.1946469,-0.17916317,-0.10949363,0.09901962,0.07341297,0.060844349,0.19511839,0.17452993,0.31658839,0.23914804,0.20989552,0.2427132,0.15938885,0.090347233,0.11848425,0.16602462,0.47919493,0.19672893,0.14303202,0.087683957,-0.99993638,1.5734511,-0.25429249,0.050364942,-0.63334873,1.9897226,-0.58249845,0.58139801,-0.055249643,1.7041987,0.4223087,-0.18542135,-0.20832278,0.84359683,-0.39597689,-0.15448728,-0.63849577,0.54924716,-1.4046878,-0.62874647,-0.70980572,-0.18062251,-0.69049046,0.70936728,0.86576453,1.4394203,0.064237464,-0.30221594,-0.47807936,0.33612184,-0.81128402,0.50341762,0.4508716,0.92338898,-0.041651388,0.6646752,0.15667383,1.258189,-1.0008039,-0.51935237,-0.93041153,0.63702342,-1.4948718,2.0975318,1.8686024,2.6865423,-0.17204336,0.58508321,0.076971595,1.42377,-1.4211861,0.30227355,0.21307069,0.49631592,-0.23864158,0.59659711,0.10784755,1.2726568,-1.3212656,-0.020557963,-0.15223657,0.32505947,-1.6832927,-31.705781,129.51335,0.68530786,-0.064450275,-0.17214603,0.082669824,-0.098312652,-0.12598883,-0.17618228,0.016385176,-0.17244921,-0.11639408,-0.15513049,-0.048078006,-0.12607377,-0.13551838,-0.13998687,0.065261997,-0.17660163,-0.02486999,-0.10934396,0.097952729,-0.2430674,-0.11819633,-0.14385874,0.023674518,-0.13774376,-0.12308426,-0.085682163,0.051506486,-0.27736579,-0.084513508,-0.12142645,0.049470737,-0.19136462,-0.099218988,-0.1119726,0.0027136026,-0.23151443,-0.048595494,-0.12956525,0.046003984,-0.31405429,-0.14882864,-0.1859667,-0.044353285,-0.23696412,-0.10211776,-0.12924229,-0.032329301,-0.37102667,-0.018887696,-0.10324674,0.12035495,-0.3519778,-0.049798952,-0.092544512,0.043185167,-0.30900274,-0.061795261,-0.15794644,0.071205236,-0.43909433,-0.11243407,-0.13126833,-0.062999715,-0.35025838,0.24936817,0.24911547,0.24001942,0.2467083
-19645.103,0.99646818,0.0018031297,10,1023,0,19691.549,-0.041151802,-0.11415093,-0.1471945,-0.11134165,-0.084345813,0.064767971,-0.51094684,0.019059852,-0.2943211,-0.19346619,0.026533705,-0.26331329,-0.1229304,-0.1514631,-0.117537,-0.12482784,0.15083519,0.12755427,0.21670035,0.13609399,0.14977698,0.22791355,0.43385993,0.29807354,0.42758728,0.40974628,0.44606683,0.081755501,0.23880894,0.21808823,0.26214721,0.13541882,-0.14088376,-0.64853644,0.62585477,-0.53542248,0.40330582,0.1661513,1.3335853,-0.1940817,-0.060738793,0.13373969,0.5715488,0.20877471,0.24106913,-0.18323349,1.4187617,-0.43953248,0.52381372,-0.37139936,1.4102138,-0.90858382,-0.8111537,-0.81969489,-0.38988192,-0.89009237,0.85571014,0.90042606,1.2612542,0.2425345,-0.35610326,-0.48037185,0.017756037,-0.73672923,0.49373727,0.46290417,0.55181089,0.15878488,0.32512291,0.18363587,0.55830584,-0.20295073,-0.27516315,-0.38215392,-0.026914085,-0.58488762,1.4867935,1.5458281,3.5370832,-1.8678395,0.4086899,0.071142852,1.0138439,-0.99212804,0.45732503,0.20518726,0.92022923,-0.73061322,0.015818575,-0.13732603,0.7296186,-1.3366568,-0.12124623,0.065038773,0.70128965,-1.6428872,-40.479563,163.17789,0.19569312,-0.062402032,-0.13897392,0.053249123,-0.12191236,-0.062707555,-0.092957625,0.055953572,-0.13890688,-0.16035662,-0.11821307,-0.02333968,-0.10195295,-0.078533593,-0.13627863,0.081743288,-0.17115938,-0.0058905765,-0.13997289,0.12687176,-0.22043075,-0.12010495,-0.1220516,-0.024091403,-0.13809614,-0.1396885,-0.12028806,0.036260834,-0.40572084,-0.087085107,-0.12412628,0.024352457,-0.20053964,-0.083205327,-0.096389171,-0.058373788,-0.22642671,-0.060248289,-0.11822208,0.035297548,-0.2766245,-0.096207449,-0.14393249,0.014528224,-0.23436526,-0.14175975,-0.13693334,0.025862718,-0.41601944,-0.025331599,-0.10594085,0.11918459,-0.35985945,-0.051725898,-0.10671418,0.049228059,-0.31080125,-0.11339021,-0.15353664,0.073730477,-0.46793784,-0.14124686,-0.11602037,-0.029860021,-0.3473057,0.24805511,0.24866643,0.24967008,0.24808431
-19638.393,0.99968242,0.0018031297,10,1023,0,19692.827,-0.054621223,-0.078437086,-0.10385552,-0.033881277,-0.11374635,0.019270997,-0.43471813,0.020722106,-0.14220569,-0.1189377,-0.019155495,-0.31928431,-0.084987949,-0.23905409,-0.053155537,-0.23654309,0.13841402,0.16025883,0.034912241,0.16794718,0.20174007,0.22097349,0.65752935,0.17472097,0.13484122,0.45918463,0.17908022,0.13900385,0.51711667,0.31825191,0.29909697,0.13241812,-0.25929826,-0.49374462,0.51069993,-0.44908782,-0.21677954,-0.46622975,0.71150186,-0.51443795,-0.51549268,-0.2708366,1.1565372,-0.16988251,-0.3720376,-0.50280477,0.74950739,-0.83292105,0.43892127,-0.28274138,1.2017285,-0.68397951,-0.59208703,-0.71657527,0.02556054,-0.74652635,0.55468837,0.45736239,0.71699839,0.1985592,-0.55293123,-0.84333351,0.11506881,-1.2779217,0.34204975,0.56021931,1.2026333,-0.91280962,0.14012607,-0.069836943,0.3009932,-0.47413758,-0.69495492,-0.92832539,-0.079712897,-1.1723139,1.6411341,1.0559203,1.9011255,-0.41920325,0.13039271,-0.03956895,0.30467156,-0.431018,0.56499255,0.50741634,0.81178414,-0.29032368,-0.1416948,-0.41113375,0.34224024,-1.2720803,0.72101225,0.39693499,1.2247846,-1.2954435,-32.509286,130.13721,1.8926502,-0.090511736,-0.1229624,0.016066805,-0.11678127,-0.11317792,-0.15315452,0.035587368,-0.16088031,-0.12185252,-0.11331103,-0.063478211,-0.1097865,-0.096363941,-0.11832592,0.091996374,-0.17376802,-0.025198343,-0.17078662,0.12869043,-0.25173243,-0.11156454,-0.13907314,0.024919199,-0.14569154,-0.069994243,-0.13398893,0.036729358,-0.30415962,-0.075886576,-0.12662595,0.040827041,-0.20255761,-0.096083286,-0.066665036,0.019958844,-0.26529005,-0.054593959,-0.15100575,0.019273756,-0.33665438,-0.14360818,-0.18540021,-0.033430499,-0.22909373,-0.091160351,-0.17250732,-0.055020544,-0.37755517,-0.017559706,-0.10544971,0.072562793,-0.30787455,-0.059244129,-0.077567869,0.019297767,-0.33145016,-0.095536024,-0.1761244,0.049207482,-0.43363089,-0.141068,-0.18398171,-0.074359413,-0.40808328,0.25199436,0.24849348,0.23884641,0.25052881
