# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 02:30:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc4da6b237.json
# init = 2 (Default)
# random
#   seed = 404984831
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200330-1-8e92da.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200330-1-09f0f1.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00317733
# Diagonal elements of inverse mass matrix:
# 0.0121345, 0.0211312, 0.00654986, 0.00972191, 0.0787839, 0.00407853, 0.0296246, 0.0132444, 0.0294484, 0.0331763, 0.00975222, 0.0202547, 0.0589088, 0.0608594, 0.122394, 0.0201634, 0.371207, 0.475997, 0.737476, 0.313864, 0.436036, 0.350244, 0.35794, 0.412467, 0.552128, 0.289481, 0.436434, 0.351042, 0.338252, 0.417587, 0.492511, 0.28677, 0.267428, 0.262108, 0.456363, 0.248257, 0.26631, 0.241526, 0.249436, 0.283607, 0.260919, 0.267683, 0.225582, 0.24745, 0.317052, 0.251904, 0.291816, 0.260012, 0.359512, 0.27369, 0.418827, 0.26947, 0.266211, 0.238249, 0.240612, 0.28471, 0.258451, 0.25696, 0.235591, 0.245639, 0.280541, 0.250694, 0.264062, 0.259942, 0.39977, 0.610865, 0.516247, 0.456785, 0.381998, 0.452585, 0.416408, 0.469083, 0.411047, 0.363931, 0.377379, 0.346633, 0.472551, 0.335153, 0.482481, 0.377153, 0.28515, 0.282419, 0.40151, 0.393984, 0.419144, 0.325932, 0.419793, 0.477411, 0.452029, 0.484173, 0.393313, 0.503544, 0.436588, 0.590758, 0.481957, 0.542946, 9.55167, 149.288, 0.886285
-19639.079,0.99342941,0.0031773287,10,1023,0,19682.208,0.047861114,-0.11780104,0.076708015,0.33813446,-0.17018773,-0.075696452,-0.13815755,-0.17442271,-0.19719998,0.071090436,-0.21526081,-0.12407584,-0.21436539,-0.29218731,-0.12570174,-0.20174797,0.14907553,0.17323233,0.27965426,0.98907546,0.17841609,0.11090633,0.13290275,0.17822578,0.23131476,0.45485618,0.34435702,0.23418373,0.32388467,0.28083575,0.14795195,0.12966762,-0.84978099,-1.7573701,0.13648739,-1.1650912,-0.049976656,-0.13668853,1.0390609,-0.11177392,-0.66535399,-0.79029427,0.01897876,-0.76074871,-0.45957697,-0.43830918,-0.26255644,-0.54677373,0.93337151,0.41647258,1.5617618,-0.35244436,-0.080327009,-0.35824377,0.91695687,-0.8076845,-0.4122335,0.11284681,1.4280295,-1.2892357,0.44694114,0.1337105,1.1154082,-0.10475337,0.39439482,0.50557903,0.99584316,-0.31047522,-0.20973633,-0.46969965,-0.00555642,-0.90753116,0.40105451,0.1968755,0.51963922,-0.036328803,0.034156825,-0.13473855,0.68756229,-1.3230989,0.58331613,0.28558813,1.0893181,-0.36270947,0.84808538,0.79295492,1.2702672,-0.093374447,0.42122336,-0.16871553,1.0900628,-1.6900227,0.2113593,0.38938632,0.70807148,-1.2143514,1.0741548,-3.132325,0.061022707,-0.078820434,-0.21411975,0.068208043,-0.12582547,-0.12645861,-0.14147991,0.062197899,-0.1371639,-0.10936106,-0.14430114,0.082015506,-0.1360386,-0.11642184,-0.095386393,0.078446331,-0.20266602,-0.0036592346,-0.095882322,0.10845571,-0.23306948,-0.084605226,-0.11542795,0.025999868,-0.16527378,-0.19294452,-0.1231599,0.051631497,-0.30950052,-0.094766276,-0.15059205,0.024371783,-0.19309246,-0.10597064,-0.08025209,0.033153238,-0.26901748,-0.02430943,-0.14255535,0.068563064,-0.34170572,-0.077154877,-0.14746535,-0.036319402,-0.22777089,-0.11607686,-0.15562941,0.036940066,-0.43392407,-0.025438234,-0.12186777,0.13844805,-0.33184142,-0.054014613,-0.069497219,0.064549123,-0.31841019,-0.063380928,-0.15066354,0.035575165,-0.37574389,-0.17434152,-0.15125718,-0.10993403,-0.35921004,0.26866401,0.24861161,0.2575903,0.24822285
-19642.054,0.99521241,0.0031773287,10,1023,0,19684.618,-0.17222061,-0.088664489,0.073183343,0.0041656088,-0.038602324,-0.12869438,-0.24671987,-0.099108601,-0.23632899,-0.11183555,-0.15710096,-0.19916115,-0.00089149272,-0.057545331,-0.16953059,-0.19561801,0.18533199,0.070043862,0.12212565,0.3423053,0.36399248,0.23875119,0.21703301,0.10734088,0.16202108,0.12676161,0.067722004,0.15791359,0.33101158,0.19802014,0.25203742,0.10859697,0.48467974,-0.16874386,1.4006106,0.48979175,-0.39741656,-0.87173367,1.8297879,-0.63106433,-1.3529524,-1.6878668,-1.1991375,-1.4886614,-0.21187932,-0.34603375,0.17329828,-0.57605911,0.15040361,-0.20233279,0.34172779,-0.47984418,-0.029908682,0.017694577,0.67554161,-0.18671732,0.22880667,0.71201685,1.2622327,-0.35078134,0.58037137,-0.10750098,0.92302506,-1.0036052,0.74967606,0.93967025,1.5109773,-0.0070070917,0.53684376,-0.19212233,1.4686865,-1.2175811,0.27664349,0.058931877,1.9510873,-1.3609174,0.42250036,0.41833523,0.94198859,-1.5053465,0.030325336,-0.37896787,0.3114505,-1.0562436,-0.051365919,-0.41030723,0.48641094,-1.354623,0.15473412,0.31648079,0.87099727,-1.0131894,0.20315879,0.079574316,1.3410358,-1.6009001,1.1382562,-3.340977,0.064721211,-0.082393953,-0.20349425,0.087357337,-0.081446533,-0.11650108,-0.14972408,0.03950092,-0.13286667,-0.09204685,-0.13294849,-0.073262103,-0.10862041,-0.068361805,-0.11428358,0.063486529,-0.19302247,0.016143458,-0.11224994,0.085784023,-0.213262,-0.13583511,-0.12446978,0.032591985,-0.17327336,-0.19706127,-0.092188711,0.027226285,-0.322851,-0.036811026,-0.11064785,-3.0274971e-05,-0.20683646,-0.11486567,-0.084082601,0.0084811939,-0.23746429,-0.043784373,-0.13618929,0.074337513,-0.2661781,-0.1383661,-0.15310997,-0.024969415,-0.24926501,-0.1324426,-0.13310033,-0.050408349,-0.43687582,0.0091465448,-0.12633425,0.10220223,-0.35052036,-0.067716817,-0.13879443,0.038773833,-0.32578798,-0.1305318,-0.089765587,0.049993316,-0.42489224,-0.17355558,-0.18697648,-0.049985587,-0.3694709,0.25696273,0.25889731,0.26407376,0.24081861
-19635.608,0.99251063,0.0031773287,10,1023,0,19690.889,-0.13235701,-0.093579538,0.068832657,0.04513108,0.048557902,-0.11570368,-0.14035049,-0.060646603,-0.17527109,-0.10462525,-0.16343773,-0.15976967,-0.049993622,0.069862762,-0.13406035,-0.17884044,0.11681672,0.095243493,0.10750635,0.28569395,0.47088231,0.16618385,0.1354469,0.098793154,0.099402154,0.14701249,0.081925727,0.14547088,0.2132624,0.50483137,0.17389346,0.12853298,0.6266383,0.17232839,1.2180402,0.0071177911,0.16778135,-0.94566648,1.7655437,-0.47649473,-1.7202573,-1.6535879,-0.52415354,-1.7931706,-0.50812525,-0.53016848,0.07260935,-0.82476571,-0.1460571,-0.38583918,0.033143937,-0.6025523,0.18711498,0.032551207,0.72041934,-0.39136462,0.52124518,0.15708162,1.0769932,-1.3377648,-0.38165998,-0.60891101,0.71686467,-1.0151012,0.84643109,0.96437406,1.3537163,-0.64840981,0.46941,0.038160775,1.0165711,-1.2807331,0.37385008,-0.15360915,1.8944863,-0.81902843,0.3739114,0.066965738,1.1203819,-1.5129067,0.16408193,-0.41688144,0.50764594,-1.3501086,-0.24503791,-0.376421,0.0093130818,-0.72053122,0.22590895,-0.26601159,0.9967895,-1.5239264,0.38646373,0.33737119,1.0410332,-1.6352089,1.0261963,-2.6903838,0.042284449,-0.059155181,-0.11222617,0.0099304459,-0.13152553,-0.077599456,-0.18364812,0.074577006,-0.13896256,-0.11610592,-0.10893854,0.012482825,-0.12394456,-0.10003723,-0.10633485,0.065875132,-0.19049949,-0.020217801,-0.13312694,0.064164796,-0.23517332,-0.084608186,-0.11029419,0.0040183865,-0.18074216,-0.069749439,-0.11907427,0.0055249148,-0.32154658,-0.098351996,-0.12080284,0.010174719,-0.16093166,-0.091134012,-0.079410226,-0.040708765,-0.23972442,-0.035616114,-0.099015136,0.044823402,-0.292909,-0.13280979,-0.17602227,-0.008230562,-0.23053723,-0.10537645,-0.1500281,0.0032132649,-0.37985353,-0.015001116,-0.13889876,0.058268169,-0.33792103,-0.053840064,-0.12016637,0.074564298,-0.293884,-0.094776257,-0.18031802,0.039274832,-0.39906118,-0.12916711,-0.13547712,-0.045033338,-0.3890187,0.25119366,0.24155915,0.25970369,0.24330401
-19637.726,0.99764174,0.0031773287,10,1023,0,19680.495,-0.15833705,-0.07729406,-0.057059801,0.13689335,0.042245029,-0.11780286,-0.17428632,-0.080863751,0.021149451,-0.0089792709,-0.22783043,-0.05781585,-0.051803269,-0.035518441,-0.16406299,-0.31053001,0.11038199,0.12924867,0.13407986,0.9025152,0.15652761,0.10112035,0.097437031,0.055978675,0.21412441,0.1477239,0.12191867,0.30816653,0.295264,0.16588912,0.39826199,0.28420193,0.97193712,0.081988089,1.9537844,0.60321555,-0.082168839,-0.4814538,1.1997071,-0.91952076,-0.68447345,-0.62433824,0.42570118,-0.442357,-0.2537939,-0.29649076,-0.11138377,-0.33894374,-0.18911314,-1.0269261,0.35815878,-1.6697819,-0.21063153,0.056485293,1.1063641,-0.27426406,0.89961778,0.62057639,1.7851018,-1.0656289,0.54127408,-0.36780417,2.0606755,-1.9491917,-0.43044895,-0.37274067,-0.2529498,-1.321648,-0.55038812,-0.89488653,0.3469474,-1.9842092,0.76679178,0.16984863,1.5215103,-0.19928342,-0.18952335,-0.20982144,0.13165339,-1.0201892,0.13841335,-0.24841173,0.33915076,-0.9694626,-0.160993,-0.30401621,0.34454219,-1.6156927,0.19111434,-0.079450307,0.52889401,-0.64266494,0.55433475,0.52519815,1.0504155,-0.34766132,0.17513579,0.62537838,0.14239084,-0.051052704,-0.14928705,0.057325546,-0.091752923,-0.087914273,-0.13952132,0.077766495,-0.1961409,-0.1488339,-0.14077098,1.8151025e-05,-0.11637096,-0.092159493,-0.13069406,0.036367812,-0.16900852,0.012643599,-0.11849726,0.098306769,-0.21912195,-0.139102,-0.11209105,-0.0059269378,-0.14553654,-0.086630235,-0.1138192,-0.00035129892,-0.27811804,-0.050563945,-0.10145294,0.034490133,-0.18997692,-0.071020177,-0.058663426,-0.033013276,-0.26184765,-0.090284753,-0.1411754,0.042273153,-0.30209441,-0.13434419,-0.20712271,-0.042329909,-0.2521268,-0.1162206,-0.12247579,-0.017244682,-0.37220401,-0.010934789,-0.12515031,0.048335739,-0.33805067,-0.062225429,-0.085951423,0.02163736,-0.30354428,-0.087949413,-0.19570503,0.04657539,-0.42001201,-0.15298701,-0.16126768,-0.011999903,-0.40933603,0.25572328,0.23830255,0.26072639,0.23740806
-19635.488,0.97777347,0.0031773287,10,1023,0,19679.68,-0.20822459,-0.12406313,-0.014374693,0.067419292,-0.1454272,-0.11485715,-0.22995046,-0.024354372,-0.056565609,0.058360947,-0.15223793,-0.12412651,-0.23125292,-0.0090078189,-0.051052704,-0.21647366,0.16715834,0.057483359,0.1666,0.47966202,0.20343971,0.0653927,0.19095063,0.1470936,0.15116535,0.44991544,0.072258687,0.80489539,0.19707955,0.21726178,0.23433107,0.090622733,0.66395233,0.25557467,1.1398757,0.60530496,0.25276747,-0.4074139,2.3945876,-0.5408071,-0.32633753,-0.69751371,0.10816711,-0.6590537,-0.33154242,-0.38811847,-0.012689504,-0.53659762,0.74590133,0.13791675,1.1539567,-0.33844329,0.28488949,-0.32874277,1.4366613,-0.55311575,0.75418513,0.33693724,1.1063742,-0.54829935,-0.38840883,-0.70491665,0.55687759,-0.97492371,-0.097285121,0.021228412,0.24177487,-1.4132244,-0.32920384,-0.4392871,0.038243039,-0.81293508,-0.016117959,0.28027152,2.0148144,-1.0160231,-0.029426951,-0.037346947,0.12542219,-0.37242831,1.1094326,0.60678826,1.5536135,-0.47792339,-0.19956379,-0.54599842,0.19469826,-1.2830678,-0.35772594,-0.54698095,0.52998241,-1.724848,0.9011247,0.82101788,1.7700845,-1.4047781,1.2715213,-3.8265326,0.026097002,-0.097239418,-0.16550315,-0.017684862,-0.10704281,-0.10953321,-0.14748265,0.013585808,-0.15515054,-0.068742526,-0.13058048,0.0036459476,-0.12417304,-0.091609012,-0.1187464,0.061332619,-0.18996621,0.0063187436,-0.11736946,0.089333417,-0.21428001,-0.096227454,-0.13635452,-0.020909985,-0.15102688,-0.085938337,-0.16561208,-0.018687619,-0.33464857,-0.081486825,-0.1280431,0.057558755,-0.16775941,-0.071271749,-0.053356609,-0.020017626,-0.27019617,-0.089752945,-0.1392811,0.07556708,-0.3073911,-0.1534026,-0.13198588,-0.0066500909,-0.22565443,-0.14781213,-0.1541869,-0.023174775,-0.42389234,-0.012606449,-0.11166737,0.074932525,-0.32544185,-0.052365404,-0.12763241,0.033292671,-0.28776942,-0.13487901,-0.17922734,0.073138642,-0.45523819,-0.13481128,-0.14207078,-0.056063768,-0.34377849,0.24768563,0.24528318,0.27032587,0.23375885
-19636.433,0.78068594,0.0031773287,10,1023,0,19685.12,-0.13107222,-0.1200179,-0.079600016,0.075907275,-0.15994375,-0.026067466,-0.10890554,-0.085024805,-0.035744177,0.23574881,-0.12420412,-0.20762727,-0.28551027,-0.11134939,0.064104494,-0.14174199,0.10368388,0.049423589,0.13192497,0.39024207,0.17984705,0.18777809,0.15027762,0.11272589,0.2002342,0.49965937,0.068434056,0.26097386,0.29376275,0.18986058,0.23155569,0.069120029,0.45264221,-0.11832243,1.2428002,0.30995425,1.0484597,-0.53198759,2.7428631,-0.08423195,-0.17540163,-0.42022128,0.59046128,-0.49839459,-0.40869458,-0.51133528,-0.062786864,-0.66373094,0.81119164,0.1288992,1.4471696,-0.35073122,-0.40642492,-0.38612586,0.031230477,-0.69523842,0.026572255,0.11809688,1.2831072,-1.4338051,0.015953831,-0.26541202,1.0731315,-1.0705935,-0.39432789,-0.14564954,0.15224497,-0.91892618,-0.59358095,-0.68591605,-0.35980219,-1.0964309,0.28458639,-0.48102138,1.392557,-1.4104602,0.2221462,0.10514758,0.72566152,-0.67787214,0.75384956,0.56254814,1.3470504,-0.27882251,0.36936884,0.033568753,0.92272924,-1.2394842,-0.59590516,-0.72984559,-0.23904052,-1.9549502,0.066597863,-0.03585391,1.6051419,-3.0503156,0.33694754,0.0053645006,0.12510622,-0.084140516,-0.14334035,-0.0022138652,-0.098934957,-0.068199253,-0.14631063,0.015544241,-0.12418094,-0.10273987,-0.13503769,-0.0017034327,-0.14535071,-0.083582545,-0.12363726,0.0514052,-0.18310846,-0.01405333,-0.13676161,0.10032544,-0.22302173,-0.10238516,-0.09857344,-0.020203067,-0.15661801,-0.10491232,-0.09115822,0.083916766,-0.32437436,-0.083226395,-0.11494361,0.035944901,-0.20570842,-0.11470211,-0.064908197,-0.0052595272,-0.21974462,-0.060839469,-0.10697557,0.055970278,-0.31209317,-0.10472872,-0.15712237,-0.028905798,-0.22072764,-0.14965292,-0.1801865,-0.018248578,-0.38453418,-0.064057352,-0.12025458,0.11020296,-0.36741794,-0.041220804,-0.104976,0.06384052,-0.34667857,-0.073880735,-0.1048954,0.0087533026,-0.38857535,-0.13713874,-0.14422021,-0.030794535,-0.35257989,0.26074439,0.25622999,0.24921226,0.2434863
