# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 02:30:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc4da6b237.json
# init = 2 (Default)
# random
#   seed = 404984831
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200330-2-8e92da.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200330-2-09f0f1.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00907321
# Diagonal elements of inverse mass matrix:
# 0.0076346, 0.0167533, 0.00511984, 0.0247389, 0.0190064, 0.0047329, 0.028699, 0.00945925, 0.021753, 0.0274212, 0.0202768, 0.0222578, 0.0597478, 0.0690071, 0.0438003, 0.027853, 0.407936, 0.430409, 0.867588, 0.429627, 0.274361, 0.376952, 0.341082, 0.374584, 0.429831, 0.382878, 0.446337, 0.285378, 0.363418, 0.45286, 0.27336, 0.354985, 0.263672, 0.317619, 0.470103, 0.298822, 0.279251, 0.295783, 0.243006, 0.258887, 0.272182, 0.241946, 0.284776, 0.250428, 0.274158, 0.273634, 0.281955, 0.296082, 0.375956, 0.313318, 0.451595, 0.327694, 0.252519, 0.330559, 0.251211, 0.272129, 0.277188, 0.226309, 0.287997, 0.231143, 0.271939, 0.247621, 0.260471, 0.283844, 0.436412, 0.519594, 0.637202, 0.568249, 0.398517, 0.53303, 0.419932, 0.411591, 0.383988, 0.379009, 0.522393, 0.348605, 0.380226, 0.457601, 0.412797, 0.403937, 0.288749, 0.342054, 0.467603, 0.433944, 0.365026, 0.367786, 0.443174, 0.437007, 0.527497, 0.487588, 0.454469, 0.44333, 0.541604, 0.436351, 0.472596, 0.539934, 4.26521, 67.7276, 0.652943
-19617.804,0.77692062,0.009073209,9,1023,0,19671.869,0.054326122,-0.10153808,-0.14365336,-0.14157383,-0.12728671,-0.10679248,-0.20134928,-0.43483121,0.45740643,0.13674801,-0.01413795,-0.23925139,-0.084257487,-0.048206859,-0.065470277,0.07916084,0.24877654,0.10925542,0.048306664,0.15628371,0.23324496,0.10078613,0.19228245,0.80385478,0.51119544,0.28414984,0.22127494,0.41763828,0.14594914,0.1885258,0.22228317,1.2489162,-0.51742324,-0.86198089,-0.15195424,-0.69799015,-0.18043445,-0.37217723,1.2592898,-0.42132944,0.50197277,0.090721526,1.4441526,0.084056858,0.26217834,0.16019678,0.96539826,-0.46386126,0.56824071,0.086996697,0.97749909,-0.37278876,0.072937466,-0.15003953,1.0705295,-0.46084339,0.32452816,0.53373768,1.0520777,-0.67843822,0.3850207,0.38160054,0.62792981,0.30714844,-1.0486479,-1.0526077,-0.90365437,-1.370425,-0.69391837,-0.99060242,-0.31293095,-1.5112145,-0.5138619,-0.65498552,-0.16847904,-0.97975633,0.25552486,0.075105667,0.51090343,-0.32994368,0.37828657,-0.091114483,1.1386225,-1.8685552,-0.080818751,-0.3880006,0.46202898,-1.4131324,-0.18682144,-0.18017219,0.79038486,-1.5827542,-0.19154711,-0.17806969,-0.066850419,-0.35217701,1.7885166,-5.7282667,0.048485919,-0.074396643,-0.1601145,0.016523472,-0.11931745,-0.12125152,-0.14220046,0.036046154,-0.1475706,-0.11940473,-0.13927091,-0.073891167,-0.13959285,-0.10059963,-0.11653768,0.009302193,-0.21406779,0.0052525662,-0.10699517,0.10071002,-0.21423781,-0.099441399,-0.12191439,0.0011020355,-0.1532391,-0.13894821,-0.098720889,0.00094680721,-0.33180104,-0.12533048,-0.12807979,0.069933176,-0.18792846,-0.078657611,-0.080681833,-0.0045375619,-0.24314859,-0.060428785,-0.14473151,0.047828732,-0.29266335,-0.12784271,-0.15906983,-0.051418139,-0.23093348,-0.13253442,-0.20788438,-0.025878559,-0.3770485,-0.029046887,-0.097555568,0.081923481,-0.35697151,-0.063443279,-0.12135498,0.038897525,-0.31461877,-0.10699754,-0.10551952,0.11021898,-0.41728989,-0.16006546,-0.14323329,-0.0043297337,-0.36067875,0.25695999,0.25823042,0.27314849,0.23874578
-19616.114,0.83219533,0.009073209,10,1023,0,19664.57,-0.068900061,-0.11537458,-0.089620442,-0.068317364,0.015088977,-0.0097104881,-0.11012429,-0.19549698,0.11374963,0.0067005141,-0.10035874,-0.23121803,-0.024496428,-0.45938619,-0.13168244,-0.24634661,0.12833809,0.18602224,0.038457661,0.18244237,0.16485551,0.54434552,0.13972111,0.20724363,0.93160415,0.17088828,0.22688082,0.15386568,0.26908224,0.60038269,0.21471106,0.095117601,-0.018319972,-0.83895542,0.84931665,-0.23531423,0.13394742,-0.26699606,0.8647477,-0.24772907,-0.22585658,-1.0935832,0.21809838,-1.2244477,-0.11605919,-0.26097795,0.64643552,-0.75130144,-0.063664978,-0.76080217,0.44885446,-1.4155296,-0.14325868,-0.18553964,0.0085976359,-0.29650501,-0.11829998,0.18993824,0.83861296,-1.4251976,0.74773199,0.37837063,1.1048626,0.010351016,-0.17972705,-0.22109874,-0.13026795,-0.38980173,-0.34202488,-0.85999186,0.08971481,-1.7506421,-0.088324864,-0.28408722,0.45053704,-0.61225613,0.75012825,0.2704005,1.1993305,-0.97526453,-0.028015207,-0.25607784,0.33207676,-1.2681463,0.67272034,0.59525034,0.75141611,0.20641251,0.27758838,0.076408453,0.79906508,-1.3326539,0.98752282,0.80969661,2.2923287,-1.6528062,1.6725035,-5.3776923,0.0473892,-0.071251212,-0.17657,0.040099618,-0.099099841,-0.090457377,-0.16504178,0.045487727,-0.16145769,-0.098306358,-0.13167709,-0.081232888,-0.13670984,-0.089491477,-0.1159308,0.049619863,-0.20538658,0.0045934546,-0.11033345,0.089085108,-0.21826888,-0.087692707,-0.11070816,-0.0050304035,-0.17111166,-0.12665329,-0.083585906,0.0070476453,-0.30925448,-0.040534286,-0.11708207,0.033478762,-0.19335179,-0.053684837,-0.092226882,-0.0076085376,-0.24939129,-0.051747528,-0.14026201,0.022031724,-0.2924637,-0.12039796,-0.16481268,0.0018594736,-0.23926791,-0.11579904,-0.18961268,-0.046682228,-0.38127777,-0.032034823,-0.093402426,0.064859529,-0.36573207,-0.055496543,-0.10200819,-0.0082489604,-0.33545969,-0.072081139,-0.1152767,0.039885675,-0.41781797,-0.15241581,-0.16933021,-0.028305805,-0.40355757,0.26130663,0.25588933,0.26185893,0.24002376
-19618.025,0.98032791,0.009073209,10,1023,0,19653.154,-0.067995425,-0.14591966,-0.094952677,-0.11984473,-0.30544951,-0.11280324,-0.17008553,0.17791777,-0.38963912,-0.2159357,-0.18906421,-0.14736709,-0.23062214,0.1656792,-0.18411122,-0.060831597,0.11114212,0.2303699,0.074356834,0.18778484,0.38832534,0.5147212,0.16529596,0.54744763,0.89229991,0.1776141,0.13086201,0.14607865,0.25688545,0.64081427,0.14861791,0.12732929,-0.073708132,-0.71066236,1.0696961,-0.34206433,0.087051624,-0.069002592,0.85925811,-0.073726053,-0.050975845,0.020109053,1.3826269,-0.27473184,-0.075264122,-0.0088980224,1.0268872,-0.37728143,0.78382752,0.54428784,0.98874112,0.22296119,0.030214346,-0.0060651159,0.25456691,-0.12687352,0.072534675,0.18825786,1.1164788,-0.78806409,-0.49243225,-0.50959879,-0.17320354,-0.64577498,0.34227377,0.33140516,0.44867569,0.1468784,0.87443239,0.45754589,1.4140802,-0.70040555,0.22322987,0.27978889,1.3371032,-0.46074032,0.29670699,-0.20039828,0.61820863,-1.4567685,0.92333584,0.45530999,1.3785734,-0.39507583,-0.3857464,-0.38320324,-0.17296838,-0.74388702,0.52640944,0.25034806,1.8328065,-1.5442363,-0.42332717,-0.66247929,0.51679755,-2.4565459,1.8452354,-5.9441974,0.057110094,-0.076187503,-0.14697995,0.050892872,-0.10601318,-0.12586559,-0.16181578,0.052027543,-0.16290393,-0.098743079,-0.093457431,0.0078550848,-0.11538087,-0.13397819,-0.12151564,0.072989126,-0.19069246,-0.0010694189,-0.094088747,0.078503723,-0.21886803,-0.097251271,-0.11592508,0.01822775,-0.17810773,-0.15809584,-0.13896726,0.014463901,-0.30034934,-0.091663099,-0.10106088,0.083097904,-0.17561021,-0.084228272,-0.093926333,0.010714152,-0.25857954,-0.06062417,-0.13466909,0.035224889,-0.3403376,-0.1598519,-0.15245047,-0.014088198,-0.24935761,-0.10402453,-0.176641,-0.057060009,-0.36016986,0.0065694037,-0.11365963,0.12351332,-0.33211137,-0.081512599,-0.079882908,0.054838593,-0.31101422,-0.10587735,-0.14690502,0.088276649,-0.41361239,-0.11473354,-0.14518461,0.0049718664,-0.37362184,0.25366811,0.25123147,0.26927704,0.23721282
-19618.988,0.26833873,0.009073209,8,255,0,19659.489,-0.078973218,-0.148357,-0.11561807,-0.09570842,-0.28922682,-0.11061426,-0.15276999,0.16137493,-0.38072125,-0.20552459,-0.17212456,-0.14965602,-0.20266997,0.15406068,-0.19150211,-0.10054402,0.10463758,0.22497003,0.053315853,0.16471377,0.38170881,0.35746681,0.15609343,0.54099093,1.0765328,0.18265588,0.12480825,0.15505523,0.23257277,0.58187143,0.12584184,0.13079895,-0.11798718,-0.90484154,1.2008274,-0.47874392,0.12220641,0.10163756,0.82607859,0.10540393,-0.070892431,-0.010620916,1.6506982,-0.41764869,-0.092775698,-0.081221677,0.92660213,-0.36443303,0.72870438,0.42199903,1.0080039,0.12695478,-0.0098798161,-0.012942213,0.29460463,-0.099771402,0.17217158,0.18911922,1.2280414,-0.83434978,-0.38686276,-0.50838567,-0.30646,-0.6191509,0.27509942,0.27757948,0.35369167,0.1349251,0.92940739,0.41207043,1.444688,-0.45327001,0.27729411,0.14815208,1.2603224,-0.4980271,0.30074075,-0.14919298,0.41054372,-1.4669698,0.76005934,0.33911103,1.3217719,-0.56308952,-0.31373692,-0.4573367,-0.15748196,-0.82510718,0.66750641,0.27531622,1.9296948,-1.5388471,-0.34254393,-0.7026881,0.47637885,-2.2215205,1.264051,-3.6132657,0.043714166,-0.091319112,-0.17365365,0.04667846,-0.12906782,-0.12086421,-0.12549159,0.037485928,-0.12464427,-0.11939776,-0.11618434,-0.027609691,-0.13788537,-0.11098985,-0.10908675,0.056915716,-0.15573556,-0.011073932,-0.12814607,0.09553714,-0.24076706,-0.11414597,-0.11524068,-0.0053028862,-0.14627923,-0.12589514,-0.12324973,0.038919209,-0.28300652,-0.047914317,-0.11365711,-0.004417152,-0.1735801,-0.084567701,-0.081897836,3.9440049e-05,-0.23546995,-0.035762864,-0.1302575,0.058356163,-0.28831702,-0.13751597,-0.15363396,-0.014825924,-0.23428245,-0.10302459,-0.17278917,-0.085999065,-0.37711735,-0.025900861,-0.12380198,0.10473818,-0.33362926,-0.028493868,-0.11205048,0.062426427,-0.32604561,-0.10750187,-0.15685581,0.051334234,-0.38515346,-0.1453484,-0.19245488,-0.038234168,-0.39111656,0.25322079,0.251042,0.26499423,0.24332858
-19628.01,0.92714565,0.009073209,7,128,1,19664.036,-0.048277988,-0.14478149,-0.11183664,-0.056658496,-0.36844634,-0.13110479,-0.15364921,0.16603858,-0.39487292,-0.22307091,-0.20791372,-0.17146269,-0.25916969,0.14306504,-0.21400916,-0.099554881,0.10020093,0.24071283,0.029752895,0.15629135,0.49683543,0.31267336,0.17386024,0.84085032,0.90537922,0.2003513,0.13587127,0.13132205,0.23814642,0.67956106,0.14476807,0.15460015,-0.28653848,-0.82819509,1.4391108,-0.43158605,0.29903514,0.032801234,1.0335056,-0.035361877,-0.15349765,0.32510423,2.1433568,-0.43123889,-0.030457935,-0.10206241,0.86193779,-0.85048346,0.73397635,0.4884185,1.0233067,0.21457083,0.060311901,0.028975908,0.27506486,-0.036344056,0.25421482,0.42065445,1.0677101,-1.1111378,-0.26259561,-0.34596082,-0.22017099,-0.39948358,0.32462136,0.33228716,0.47157856,0.13535467,0.90841446,0.36748619,1.4415042,-0.46016609,0.52139795,0.38878518,1.4374366,-0.24123896,0.35229551,-0.055530185,0.7475045,-1.5307378,0.96056137,0.62953533,1.4742654,-0.47514265,-0.3149596,-0.39596002,-0.15064356,-0.65818586,1.0005379,0.32909703,1.6682329,-1.6903135,-0.54714722,-0.40908012,0.61012314,-1.9865664,1.0083158,-2.8135665,0.065549177,-0.076989409,-0.1312639,0.095922251,-0.09152331,-0.072799898,-0.13688581,0.10399657,-0.15329355,-0.11640364,-0.10216385,-0.048065568,-0.12466724,-0.061418808,-0.072609968,0.078054922,-0.1895817,-0.0037808868,-0.12578273,0.13996869,-0.26183995,-0.11224687,-0.1220448,-0.04509934,-0.14246861,-0.10945136,-0.080514121,0.031983136,-0.3468319,-0.054765015,-0.12486268,-0.01909226,-0.16986731,-0.10096748,-0.094027035,0.032084512,-0.27232561,-0.041068896,-0.14944458,0.065736334,-0.31526578,-0.13707071,-0.15508898,-0.01260738,-0.24069116,-0.12519852,-0.17875503,-0.073298862,-0.37248232,-0.030415438,-0.10924811,0.091921338,-0.37232322,-0.070969236,-0.12601397,0.040693547,-0.30421244,-0.06916321,-0.16636641,0.027497703,-0.45871258,-0.18414392,-0.16279873,-0.0052297494,-0.40667835,0.26333795,0.24504355,0.25797033,0.23463997
-19628.582,0.22950011,0.009073209,9,1023,0,19670.295,-0.071251801,-0.15216185,-0.092959987,-0.089316441,-0.40504608,-0.13719172,-0.18207117,0.15691441,-0.42268501,-0.26047807,-0.19710502,-0.17091243,-0.22539145,0.073254411,-0.20150668,-0.1190966,0.10502361,0.19540586,0.043017685,0.13316041,0.50818992,0.36872805,0.14096187,0.89686139,1.0106617,0.20698011,0.127159,0.11656737,0.24839373,0.60746347,0.12632989,0.13047046,-0.38354324,-0.91721827,1.0574286,-0.38329846,0.33694467,-0.003191217,1.0186451,0.14835047,-0.15309367,0.48094886,2.1743565,-0.8322243,-0.13334922,-0.14749921,0.88630146,-0.6165751,0.8355844,0.53708868,0.88632304,0.36208407,0.11351982,0.088952758,0.5118504,-0.0084814058,0.13672853,0.61105744,1.5074168,-0.82823006,-0.26193737,-0.3138336,-0.19464471,-0.37346172,0.31315378,0.32116605,0.42636179,0.15741703,1.0443307,0.61671206,1.5228448,-0.21868407,0.4507091,0.34653881,1.5711617,-0.22184504,0.55411321,0.043924324,0.81053313,-1.5649722,0.73518311,0.58551289,1.3318521,-0.43460169,-0.22120302,-0.31339425,-0.050907701,-0.60683048,0.9661189,0.26437938,1.570595,-1.7898421,-0.5175262,-0.36510646,0.78786045,-1.8454558,1.0160042,-2.921805,0.083496416,-0.1115329,-0.16758138,0.03980317,-0.11150719,-0.086320885,-0.15278543,0.046887371,-0.1231733,-0.099545722,-0.07227068,0.00057579388,-0.12876035,-0.10707328,-0.1089575,0.028703825,-0.17141983,0.019589488,-0.13210303,0.045374354,-0.2210386,-0.095333781,-0.10439235,0.051541874,-0.14031906,-0.16279766,-0.095935372,0.030417114,-0.29882003,-0.078007107,-0.12455083,-0.017654919,-0.17802899,-0.10619246,-0.098094765,0.0082225375,-0.26358964,-0.044322387,-0.13283094,0.054720522,-0.30574132,-0.1397933,-0.15303949,0.0026823235,-0.22531462,-0.10632091,-0.16579229,-0.076430716,-0.35333712,-0.042776573,-0.079953716,0.10543226,-0.33334378,-0.061118346,-0.11712115,0.042329842,-0.29537294,-0.079456989,-0.16810766,-0.0030935975,-0.42761723,-0.18661848,-0.1667322,-0.016304082,-0.35987406,0.2637192,0.24518608,0.25314902,0.23339084
