# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 02:47:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc311badc4.json
# init = 2 (Default)
# random
#   seed = 1515487219
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200347-1-3fb1a5.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200347-1-4b33e5.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.00213045
# Diagonal elements of inverse mass matrix:
# 0.00922105, 0.0571047, 0.00270775, 0.030209, 0.0126605, 0.00568437, 0.0534588, 0.0077506, 0.0112475, 0.0219869, 0.00622087, 0.0229672, 0.0278757, 0.0200983, 0.0345678, 0.0298932, 0.395615, 0.509704, 0.576718, 0.321976, 0.289258, 0.333854, 0.419873, 0.308008, 0.322833, 0.493691, 0.362596, 0.39259, 0.278165, 0.344182, 0.303815, 0.361067, 0.298681, 0.280422, 0.474036, 0.272627, 0.216484, 0.292516, 0.253063, 0.2482, 0.294153, 0.278, 0.202859, 0.252202, 0.212562, 0.212056, 0.229551, 0.219819, 0.399201, 0.347554, 0.40705, 0.274499, 0.184234, 0.310399, 0.254445, 0.258947, 0.289017, 0.262239, 0.213482, 0.252636, 0.20659, 0.196221, 0.212642, 0.214704, 0.490931, 0.562173, 0.573426, 0.551549, 0.329132, 0.528995, 0.393809, 0.340017, 0.428284, 0.429767, 0.372106, 0.355934, 0.319879, 0.337436, 0.352924, 0.38299, 0.291078, 0.339667, 0.373566, 0.290223, 0.318878, 0.324046, 0.516074, 0.420706, 0.43878, 0.573805, 0.401638, 0.592888, 0.478232, 0.471228, 0.420681, 0.402989, 23.1992, 382.049, 0.778612
-19643.264,0.86681653,0.0021304537,10,1023,0,19696.214,-0.069045362,-0.13467605,-0.073365945,-0.28322895,0.13703186,-0.10854345,-0.42572201,-0.05073295,-0.15664052,0.11452425,-0.22288865,-0.19468966,-0.096669957,-0.29995256,-0.36689641,-0.03017978,0.070688218,0.17155233,0.039595107,0.18102828,0.40162126,0.043845471,0.37761655,0.090161708,0.13391494,0.27412443,0.4658043,0.10054903,0.14580872,0.14370709,0.22250867,0.2937408,0.1708688,-1.0090402,1.3525171,-0.4478532,0.34040958,0.17305757,1.0456851,-0.098879874,-1.8826972,-1.4449721,0.72759324,-1.390302,1.0401766,1.097027,1.7867022,0.52156566,-0.34461404,-0.6246332,-0.031755622,-0.88709308,-0.1870318,-0.1439297,2.1341843,-0.87660571,0.74518966,0.83254468,1.0822919,0.22648782,0.14192073,-0.57864047,0.67999826,-1.5028764,0.83186648,0.52779086,1.0037357,-0.72148611,-0.60430044,-0.84466828,-0.1755796,-1.4520465,0.15526735,0.054656147,0.43104694,-0.026551885,0.28174931,0.3881557,1.9687274,-1.8619216,0.48796217,0.0017805717,1.4790843,-2.0807919,1.5914343,1.3374193,2.6115692,-0.058618679,1.3220621,1.0577442,1.6114609,-0.19361942,-0.34955544,-0.45076605,-0.094207424,-1.2208986,-4.9235991,20.856675,0.17323469,-0.056966951,-0.14037261,0.02656166,-0.10070331,-0.076277998,-0.10498762,0.04471366,-0.15163913,-0.14791154,-0.13057977,-0.044556812,-0.1284151,-0.094927566,-0.084636038,0.040214677,-0.18881081,-0.0013724628,-0.11383411,0.12427813,-0.21924358,-0.11674395,-0.11485412,-0.014969137,-0.14697864,-0.14432605,-0.11133935,-0.017030656,-0.34019646,-0.037937135,-0.10290416,0.010576855,-0.18623486,-0.045241172,-0.085961439,-0.022225318,-0.25325828,-0.051129268,-0.11701996,0.066393589,-0.28351718,-0.15056445,-0.19742958,-0.022105131,-0.23525663,-0.16636004,-0.15566098,0.0032639629,-0.38190406,-0.025520814,-0.096410334,0.11899344,-0.40006757,-0.071252182,-0.10775593,0.075348432,-0.30837648,-0.072726129,-0.13153917,-0.0083324069,-0.40997841,-0.13285847,-0.16258816,-0.057852344,-0.3888075,0.24890306,0.24443471,0.24064751,0.24778291
-19631.201,0.99712844,0.0021304537,10,1023,0,19689.148,-0.056484203,-0.14611919,0.0011985341,-0.22710797,0.10229521,-0.098106368,-0.49655165,-0.10747472,-0.12229835,0.37355397,-0.17206697,-0.10710379,-0.039711613,-0.21668587,-0.25959965,-0.026410733,0.14645881,0.18932627,0.17684237,0.32840285,0.21391097,0.064960871,0.53697887,0.10572909,0.11698467,0.78063964,0.7650599,0.17560735,0.23420552,0.095019544,0.20967331,0.98812638,-0.1128208,-0.4350701,0.75647169,-0.37219416,0.37305015,0.23136276,1.054627,-0.039693635,-0.20434299,-0.68281012,-0.18830401,-0.64510569,0.34277672,0.34973221,0.92183995,0.19592387,-0.50465324,-1.0353491,-0.18888824,-1.6016908,0.3196209,-0.28354753,0.60181213,-0.7753411,0.74637969,0.70753884,1.0459812,0.32062609,0.11288251,-0.0024778209,1.5210317,-0.5969681,0.22540127,0.36515138,1.3606463,-1.1834939,-0.55038498,-0.6667165,-0.39599641,-0.86229375,0.053599711,0.017058086,0.25258508,-0.11124104,0.054879215,-0.30641967,0.0018784508,-1.5868921,0.14012651,-0.40127849,0.34451342,-1.4244309,1.9040093,1.0775936,2.6744742,-1.0918796,0.91151513,0.59485051,1.2294067,-0.700026,-0.085698889,-0.15092562,-0.011729656,-0.3483325,-0.29815564,2.5421071,0.084482933,-0.073007803,-0.12020405,0.054307741,-0.11099532,-0.075490993,-0.10231614,0.053549416,-0.15363423,-0.034937964,-0.11955122,-0.032101593,-0.11288348,-0.11453912,-0.11225492,0.075626891,-0.16276602,-0.0056556511,-0.11917733,0.061889948,-0.24032402,-0.077343516,-0.11652586,-0.059012128,-0.1484732,-0.095761532,-0.11661825,0.065118165,-0.32438222,-0.09553976,-0.1077367,0.053342572,-0.17059162,-0.095929852,-0.079581231,0.036876418,-0.26074899,-0.056098357,-0.14691136,0.064423478,-0.29958671,-0.13105998,-0.15901651,0.021175742,-0.25717303,-0.097466599,-0.16091334,-0.10677392,-0.38577373,-0.006893211,-0.13369325,0.040975333,-0.3733212,-0.035767778,-0.11429343,0.037441443,-0.32043578,-0.06847926,-0.13487538,-0.001825877,-0.40637642,-0.11109207,-0.17554432,-0.038001116,-0.37060727,0.24553729,0.2428987,0.24515813,0.25018006
-19621.679,0.9732059,0.0021304537,10,1023,0,19677.691,-0.066492535,-0.16390782,-0.025207721,-0.12749848,0.12425351,-0.055274712,-0.49137767,-0.12694619,-0.079789143,0.30803918,-0.16869766,-0.093273536,-0.060282139,-0.23846656,-0.15413353,-0.2546356,0.15899359,0.38051546,0.14210748,0.14598007,0.23747323,0.097585773,0.8834231,0.21508853,0.18288199,0.53747257,0.67436496,0.16356665,0.20610203,0.14268923,0.13021856,0.87664744,0.091716586,-0.67755823,0.7222406,-0.015988592,0.14231384,-0.013869426,0.5757104,0.051932084,-0.53137891,-0.70499264,0.39162737,-0.74790754,0.10970748,0.15744136,1.3648999,-0.32455937,-0.54482092,-1.0205789,-0.20992837,-1.3605774,-0.70051441,-0.68460167,0.99553045,-1.0086401,0.37849738,0.43930154,0.55653618,0.14636002,0.35117376,0.020293864,0.50360238,-0.40645892,0.15073445,0.024291758,0.18030216,-0.99889456,-0.67540962,-0.81005359,-0.45996425,-1.1692251,0.044003122,0.053170882,0.2340796,-0.09430341,-0.33080427,-0.42795426,0.34716993,-1.7374019,0.28966238,-0.24633901,0.60442596,-1.4788341,0.9641686,0.91729696,1.8985406,-0.74544289,0.45985222,0.0045693674,1.8369708,-2.1283642,0.09288396,0.10293274,0.28204764,-0.19581726,8.0176907,-31.508485,0.027989747,-0.051910186,-0.17421995,0.048339092,-0.069034619,-0.1097552,-0.16918535,0.055158888,-0.14414686,-0.10072064,-0.12539245,0.030445458,-0.13149098,-0.11148337,-0.10451518,0.071749709,-0.17487768,-0.0051268664,-0.11810666,0.074401147,-0.1988472,-0.12363495,-0.1220821,0.041874896,-0.15370363,-0.15700434,-0.10328854,0.00027925261,-0.36207985,-0.051412739,-0.12258121,-0.018627091,-0.21437084,-0.052222527,-0.075346618,-0.046815125,-0.26246897,-0.054974963,-0.1273424,0.060821012,-0.32038721,-0.13902349,-0.13284108,-0.010842578,-0.23229257,-0.14738208,-0.16327258,-0.036488114,-0.37745454,-0.0005821336,-0.11105311,0.064291278,-0.36507285,-0.10089009,-0.10757817,0.032434738,-0.34483324,-0.09425224,-0.15353852,0.085074166,-0.43128606,-0.17320911,-0.16439988,-0.0073792601,-0.42629829,0.24244435,0.24539481,0.24534695,0.24322578
-19624.949,0.8561285,0.0021304537,10,1023,0,19669.657,-0.11042366,0.044959782,-0.044806927,-0.13995158,0.015683109,-0.028838461,-0.21041248,-0.15337143,-0.20289202,0.57630546,-0.14079708,-0.14334646,-0.13625438,-0.13986444,-0.24856385,-0.2372301,0.16847592,0.37541668,0.36874615,0.24923009,0.17384377,0.10543377,0.30430879,0.086374865,0.11777201,1.4206386,0.23132719,0.13777176,0.19149886,0.12583718,0.14756164,0.51210706,0.36844606,-0.14897071,1.0033144,-0.0022669157,-0.34970727,-0.46370796,0.024786217,-0.53911604,-0.1231483,-0.16334428,-0.020881012,-0.18571972,0.086383641,0.15859778,0.71816641,-0.24128678,0.0014581149,-0.67925824,0.36618533,-1.4273216,-1.0351278,-0.71875295,0.42632719,-1.1879399,0.19887554,0.24634824,0.76015791,-0.43472339,0.62268748,0.57937328,1.9864609,-0.38133428,1.0220048,0.84544761,1.1993486,-0.54859183,-0.4241326,-0.51255393,-0.38551656,-0.616399,0.043328533,-0.12154714,0.6516314,-0.52740865,0.21540808,-0.16571874,0.92277114,-1.6768759,0.58997807,0.15991496,1.1927241,-1.1518842,0.86706948,0.51047136,1.7422823,-1.7617427,1.4405433,0.53074831,1.7835549,-1.3435613,0.25745709,0.17636355,0.37746249,-0.26524961,-1.0781296,5.7628591,0.058347478,-0.048349368,-0.13552163,0.058610664,-0.11080558,-0.08632616,-0.12912392,0.054264942,-0.15743337,-0.09021739,-0.1050395,-0.05250672,-0.11329036,-0.11842218,-0.10042424,0.039037096,-0.20008751,0.015936593,-0.10240171,0.079342149,-0.23244787,-0.13797589,-0.1046193,0.016110824,-0.15408744,-0.1498929,-0.13544654,0.020910257,-0.34270263,-0.099586878,-0.10332814,0.018208864,-0.18630912,-0.082528466,-0.10332196,-0.06164233,-0.26750078,-0.026233691,-0.15184845,0.028625751,-0.29937476,-0.13077401,-0.16891423,0.0099429838,-0.26280104,-0.11366931,-0.16617782,-0.016214659,-0.37437259,-0.023274251,-0.10563085,0.092150927,-0.35683889,-0.030754861,-0.075628163,0.079379457,-0.36155718,-0.035994912,-0.17024576,0.014620437,-0.44682197,-0.10538451,-0.14691309,-0.043928897,-0.3730663,0.24875184,0.2519279,0.2406515,0.25262589
-19624.334,0.99479056,0.0021304537,10,1023,0,19667.058,-0.10329359,0.028744133,-0.061668819,-0.15702781,0.012898152,-0.026011735,-0.21898319,-0.16235541,-0.17314987,0.56038416,-0.14796446,-0.16626818,-0.13443123,-0.14854889,-0.22293619,-0.18117478,0.16705471,0.36531287,0.35747835,0.29621158,0.17964698,0.1131161,0.29141642,0.10498669,0.11328853,1.1041459,0.21395773,0.11204905,0.18324632,0.10083958,0.12285609,0.42699855,0.33523179,-0.40956228,0.96073169,-0.06152858,-0.33388212,-0.50391304,0.088197497,-0.48630132,-0.17239538,-0.26785237,0.17560051,-0.1759832,0.23885442,0.20318769,0.6731289,-0.086608277,-0.15534838,-0.6979314,0.39222942,-1.4573477,-0.93238529,-0.80542925,0.15157763,-1.0208411,0.33407417,0.30262042,0.73362356,-0.45517377,0.82170175,0.65309728,1.9793581,-0.57446797,1.0630861,1.0404501,1.6535133,-0.59088716,-0.58819461,-0.61839987,-0.45069476,-0.82972804,-0.074597582,-0.011270743,0.4332395,-0.32251217,0.2077015,-0.13167857,1.0492368,-1.7793992,0.60855485,0.086270163,1.1564112,-1.2203762,0.65079345,0.3802084,1.6005056,-1.2851807,1.3629177,0.58191424,1.9889804,-1.4363565,0.1116208,0.078917514,0.33138257,-0.42607257,-2.6672576,11.958679,0.06275731,-0.04729154,-0.1717129,0.057201166,-0.11357223,-0.093227302,-0.15534179,0.060963814,-0.148908,-0.12329643,-0.15742024,0.0011045624,-0.12457901,-0.086276365,-0.096841264,0.042360762,-0.18268218,-0.015009715,-0.11248311,0.083360982,-0.24890995,-0.13147952,-0.11711875,-0.0088658651,-0.1414853,-0.12162849,-0.13079463,-0.00519324,-0.3516283,-0.076087667,-0.093788893,0.045450837,-0.22266691,-0.052714406,-0.0552788,0.014174229,-0.2400906,-0.089068523,-0.12241953,0.062751376,-0.35575667,-0.16392519,-0.15037592,-0.055269515,-0.21696843,-0.14299542,-0.18102264,-0.048702193,-0.36564818,-0.022915794,-0.11862254,0.077476857,-0.35806069,-0.082923149,-0.11020883,0.012845425,-0.27814597,-0.055493443,-0.15144448,0.021422164,-0.39940134,-0.13351286,-0.14747712,-0.039674904,-0.36310716,0.2448783,0.25126425,0.24455268,0.25167593
-19633.893,0.9492957,0.0021304537,10,1023,0,19679.168,-0.12294904,-0.1018584,-0.062402084,-0.18924483,0.031220678,0.017701556,-0.094674135,-0.13528683,-0.1929957,0.53151101,-0.17942821,-0.12858646,-0.085646442,-0.14000905,-0.2683994,-0.24166693,0.11398244,0.41398766,0.28961945,0.32526728,0.19413027,0.15119113,0.28966738,0.082125917,0.15092888,0.83127745,0.21856948,0.12241391,0.15712298,0.10586145,0.13039588,0.32045066,0.62689426,-0.19125687,1.1300137,0.14294254,0.012424198,-0.23016674,0.36046022,-0.16242411,-0.18869743,-0.26285327,0.11482437,-0.18307189,0.3282565,0.29057939,0.66823435,-0.053178322,-0.074387964,-0.86951297,0.28088304,-1.268711,-0.68964753,-0.83423832,0.093014415,-1.2188278,-0.30639031,-0.13009326,0.6164656,-0.80795654,1.3398241,0.087145539,1.2462392,-0.35295864,0.66786135,0.8695835,1.4369262,-0.15368451,-0.64393048,-0.80899489,-0.59470147,-0.99992783,0.23219889,0.046133946,0.79962542,-0.17174058,0.10329997,-0.063111637,1.0724262,-2.1280818,0.25341674,-0.20462663,1.1878409,-1.6421278,0.76812634,0.46356345,1.7673875,-1.7978994,1.07849,1.2357795,2.4027441,-1.1356471,0.28623753,0.28595459,0.72685954,-0.45823102,-2.1937126,10.065721,0.065955768,-0.051494107,-0.14474897,0.0058526789,-0.1066561,-0.096714936,-0.19714459,0.047367685,-0.16909998,-0.11705253,-0.1385295,-0.029146712,-0.11542326,-0.082473729,-0.09472886,0.02810994,-0.20654199,0.016779723,-0.13757811,0.085748579,-0.21507454,-0.08656703,-0.10842787,0.03176451,-0.1665744,-0.18342542,-0.13235791,0.083895841,-0.32871279,-0.025252547,-0.12812992,-0.032938293,-0.16427388,-0.092196137,-0.061750439,0.023877965,-0.21619114,-0.0037738792,-0.1409882,0.037149092,-0.29970644,-0.12867662,-0.16934474,-0.0046544986,-0.21696546,-0.1159411,-0.1363122,0.0026934241,-0.38909328,-0.045828848,-0.11779799,0.10099065,-0.34366246,-0.058694075,-0.090935546,0.04708916,-0.33033729,-0.12776874,-0.10725884,0.044908528,-0.41648311,-0.14994192,-0.15003259,-0.0087443078,-0.38850736,0.24850418,0.24537779,0.24017166,0.24792704
