# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = multilevel_model_mcmc_model
# start_datetime = 2026-08-20 02:47:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/7j/r3pp69mj5zg2tjz7n005xh440000gn/T/RtmpHbYSkn/standata-8cc311badc4.json
# init = 2 (Default)
# random
#   seed = 1515487219
# output
#   file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-202608200347-4-3fb1a5.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = 8 (Default)
#   profile_file = /Users/eleanorpower/Git/endow/endow-wealth-corr-rep-code/DerivedData/multilevel_model_output/multilevel_model_mcmc-profile-202608200347-4-4b33e5.csv
#   save_cmdstan_config = true
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=multilevel_model_mcmc_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,sigma.10,sigma.11,sigma.12,sigma.13,sigma.14,sigma.15,sigma.16,beta_raw.1.1,beta_raw.2.1,beta_raw.3.1,beta_raw.4.1,beta_raw.1.2,beta_raw.2.2,beta_raw.3.2,beta_raw.4.2,beta_raw.1.3,beta_raw.2.3,beta_raw.3.3,beta_raw.4.3,beta_raw.1.4,beta_raw.2.4,beta_raw.3.4,beta_raw.4.4,beta_raw.1.5,beta_raw.2.5,beta_raw.3.5,beta_raw.4.5,beta_raw.1.6,beta_raw.2.6,beta_raw.3.6,beta_raw.4.6,beta_raw.1.7,beta_raw.2.7,beta_raw.3.7,beta_raw.4.7,beta_raw.1.8,beta_raw.2.8,beta_raw.3.8,beta_raw.4.8,beta_raw.1.9,beta_raw.2.9,beta_raw.3.9,beta_raw.4.9,beta_raw.1.10,beta_raw.2.10,beta_raw.3.10,beta_raw.4.10,beta_raw.1.11,beta_raw.2.11,beta_raw.3.11,beta_raw.4.11,beta_raw.1.12,beta_raw.2.12,beta_raw.3.12,beta_raw.4.12,beta_raw.1.13,beta_raw.2.13,beta_raw.3.13,beta_raw.4.13,beta_raw.1.14,beta_raw.2.14,beta_raw.3.14,beta_raw.4.14,beta_raw.1.15,beta_raw.2.15,beta_raw.3.15,beta_raw.4.15,beta_raw.1.16,beta_raw.2.16,beta_raw.3.16,beta_raw.4.16,alpha_0,alpha_1,sigma_alpha,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14,beta.1.15,beta.2.15,beta.3.15,beta.4.15,beta.1.16,beta.2.16,beta.3.16,beta.4.16,ec.1,ec.2,ec.3,ec.4
# Adaptation terminated
# Step size = 0.000181599
# Diagonal elements of inverse mass matrix:
# 0.00483288, 0.0137675, 0.00157127, 0.0159546, 0.0209093, 0.00638445, 0.023407, 0.0121284, 0.00841974, 0.0291243, 0.0122991, 0.0291065, 0.035461, 0.0227357, 0.0799422, 0.0188892, 0.27664, 0.377537, 1.09337, 0.352937, 0.318901, 0.415071, 0.350045, 0.32707, 0.29417, 0.376884, 0.330413, 0.259646, 0.264286, 0.342337, 0.403413, 0.307617, 0.270839, 0.254414, 0.479985, 0.215087, 0.277282, 0.244407, 0.255846, 0.264553, 0.227309, 0.227016, 0.273684, 0.267097, 0.248096, 0.270132, 0.388375, 0.217811, 0.28934, 0.313962, 0.463789, 0.224466, 0.28558, 0.232564, 0.259759, 0.239454, 0.21981, 0.207022, 0.276669, 0.250158, 0.229579, 0.265971, 0.365773, 0.216213, 0.446216, 0.432227, 0.637611, 0.439497, 0.393915, 0.507526, 0.45856, 0.433098, 0.303245, 0.34887, 0.50168, 0.36296, 0.359857, 0.343819, 0.531962, 0.265158, 0.236089, 0.323113, 0.501257, 0.342782, 0.433858, 0.328325, 0.585032, 0.326244, 0.434236, 0.409405, 0.405826, 0.513404, 0.422751, 0.569643, 0.622653, 0.56181, 37.9437, 629.08, 0.958998
-19645.166,0.9234129,0.00018159859,10,1023,0,19699.532,-0.064715396,0.024226687,-0.094635978,-0.073900419,-0.20787246,-0.031977139,-0.1654702,-0.11118607,-0.098263563,-0.26916254,-0.36872104,-0.042994806,-0.024831367,-0.083757575,-0.35885863,-0.47309858,0.053764392,0.088787944,0.040821675,0.046694201,0.16632352,0.10461741,0.18789432,0.20955507,0.19921426,0.34527563,0.30197876,0.22496922,0.10511153,0.13711644,0.41969157,0.36511197,-0.5197464,-1.0481272,1.8615574,-0.55007063,-1.3834526,-1.8382498,0.15203577,-1.6915492,-0.41350118,-0.066262244,0.19324217,-0.6255259,-0.37381746,-0.12365371,2.1805017,-2.2820209,1.3648745,0.66337976,1.9042477,-0.24073429,-0.55945483,-0.4147604,-0.23427959,-1.0889972,0.067606629,0.28331497,1.0497606,-0.84900428,0.11847268,0.040116219,0.4989881,-0.44083947,0.3838073,0.037817841,0.62120045,-0.70356768,0.62805654,0.37475218,0.75720126,-0.17560898,0.6489662,0.78593971,1.1332024,0.4419261,-0.57941032,-0.41530956,-0.071615081,-1.3752345,0.060800769,-0.53921241,1.1317746,-3.3095199,0.13026676,0.07410926,0.83921877,-1.6824179,0.71261543,0.53027745,0.81790267,-0.22236744,0.93086472,0.93029422,1.2877776,0.24570331,8.9407885,-34.509551,0.0047697943,-0.092659246,-0.12106732,0.035370109,-0.094289609,-0.098607228,-0.13898774,0.037725631,-0.12596249,-0.11151579,-0.097340913,-0.086747508,-0.12017099,-0.091355527,-0.07967433,0.027916364,-0.18045756,0.019138272,-0.097536804,0.10884873,-0.24791224,-0.090505856,-0.075368299,-0.056486864,-0.1459052,-0.1527673,-0.11223693,0.031773859,-0.32499329,-0.086359524,-0.10277952,-0.0066205854,-0.20356622,-0.021803674,-0.09072971,0.025488426,-0.23842428,-0.052309918,-0.13976974,-0.0077193921,-0.32979604,-0.17274703,-0.13138394,-0.026517991,-0.23526874,-0.1733443,-0.13642668,-0.059105996,-0.35238025,-0.018440505,-0.081508809,0.094131197,-0.37270007,-0.06589586,-0.073595977,0.031313119,-0.31444474,-0.059779938,-0.13630565,-0.01559177,-0.45218437,-0.13322873,-0.13343702,-0.0029155463,-0.38338936,0.24890836,0.24903023,0.25201226,0.24843809
-19637.454,0.99177138,0.00018159859,10,1023,0,19687.447,-0.06252205,0.035910949,-0.09001629,-0.07955462,-0.22192699,-0.033712869,-0.15248053,-0.10602715,-0.10537625,-0.27851331,-0.36062712,-0.061410001,-0.03171932,-0.085745006,-0.36292645,-0.46973725,0.05807659,0.095256942,0.038636777,0.046375035,0.15785934,0.10806797,0.1880763,0.22314136,0.19468764,0.36324874,0.31182273,0.24461841,0.10318317,0.13306503,0.41497425,0.35213887,-0.56570302,-1.1866172,1.8636595,-0.49567236,-1.3847862,-1.8948039,0.19241269,-1.634666,-0.42307048,-0.1042722,0.25937333,-0.64435983,-0.38638335,-0.10404851,2.1681298,-2.2709566,1.3771143,0.62115761,1.8657726,-0.15920593,-0.5902036,-0.44253432,-0.14602461,-1.082536,0.079623511,0.32485601,0.95054503,-0.79095596,0.10592051,-0.0392291,0.532512,-0.36333358,0.31826422,0.01772783,0.61253127,-0.70956188,0.66582149,0.32525082,0.84864379,-0.14695649,0.6585169,0.72725792,1.1268284,0.39162137,-0.54728827,-0.3560083,-0.061086549,-1.2907396,0.027957905,-0.52834555,1.0330091,-3.3097279,0.21623355,0.016329491,0.85122323,-1.7674238,0.71941666,0.60611514,0.88585978,-0.19222849,0.92193047,0.96163292,1.3021633,0.23003478,8.7359765,-33.881589,0.005298121,-0.095376152,-0.13143673,0.045712937,-0.09130901,-0.095999546,-0.14458227,0.054239594,-0.11980234,-0.10636237,-0.094045032,-0.079994941,-0.11491228,-0.097473162,-0.084379873,0.020992477,-0.18487031,-0.0045366383,-0.12387146,0.072602641,-0.24705913,-0.097494974,-0.081536654,-0.049493452,-0.15070034,-0.13750524,-0.091382814,0.026294463,-0.30124061,-0.082391905,-0.11478079,0.012798298,-0.1871019,-0.043414139,-0.10192486,0.013876019,-0.24351918,-0.036654497,-0.16036636,0.029755473,-0.33189507,-0.15528659,-0.13385158,-0.0092564205,-0.23851068,-0.19528678,-0.14849618,-0.076352895,-0.37714868,-0.028834535,-0.086235691,0.074869841,-0.37322756,-0.056971882,-0.083572122,0.027523041,-0.32092731,-0.064387061,-0.11140427,0.0046825496,-0.44269632,-0.14508969,-0.13110892,-0.011194951,-0.38873306,0.24735921,0.24732953,0.25055594,0.24687989
-19654.344,0.97199625,0.00018159859,10,1023,0,19697.559,-0.078601937,0.011498168,-0.0941147,-0.080667747,-0.21589229,-0.022349139,-0.15539605,-0.1260077,-0.10947127,-0.26417811,-0.34712271,-0.037321061,-0.029243603,-0.087451407,-0.38769529,-0.47785754,0.055419841,0.098180392,0.04310204,0.050980658,0.1538949,0.10639216,0.17908939,0.22389637,0.17454228,0.37338968,0.3072501,0.25042962,0.1158111,0.13723073,0.38195007,0.32681573,-0.51606832,-1.1108817,1.8112162,-0.55500914,-1.3390991,-1.9238869,0.24990329,-1.6016643,-0.42660475,-0.049669167,0.19187441,-0.70326786,-0.37314141,-0.0079742904,2.1498205,-2.3323788,1.4677162,0.59714486,1.8538423,-0.085947261,-0.62418891,-0.45502413,-0.08246108,-1.0998869,0.048302772,0.26193645,0.98064406,-0.85051091,0.10763434,-0.062695402,0.5485778,-0.33039383,0.38262267,-0.0024570447,0.61105944,-0.70410962,0.69895952,0.36837592,0.83849872,-0.23264159,0.69232633,0.79621284,1.1452929,0.27125717,-0.68477623,-0.31112218,-0.12014027,-1.3023836,0.016934376,-0.4876195,1.1318614,-3.166331,0.20389382,-0.06265872,0.81078169,-1.7504132,0.71199924,0.68592509,1.0910174,-0.053277668,0.85645793,0.98655334,1.3675017,0.23097206,9.2348014,-36.657089,0.004985881,-0.10720236,-0.14016682,0.021775381,-0.10936046,-0.11997511,-0.17738981,0.036033771,-0.14575386,-0.11250223,-0.096255542,-0.085844521,-0.12442698,-0.099690742,-0.081074282,0.028931515,-0.19957395,0.0099817498,-0.12399474,0.069404572,-0.22911913,-0.088757943,-0.070760138,-0.031122351,-0.13936848,-0.14674553,-0.10848601,0.0202269,-0.30771353,-0.10190876,-0.14004498,-0.0031831217,-0.19998168,-0.042687441,-0.10990013,-0.0028155651,-0.23236818,-0.0031938319,-0.12663034,0.048908664,-0.35104408,-0.13440538,-0.10248624,0.0047686412,-0.26377892,-0.20880931,-0.11523527,-0.067407744,-0.36347648,-0.027282414,-0.085715355,0.10183852,-0.39593989,-0.05947091,-0.096050109,0.023812755,-0.32766189,-0.11574713,-0.12570615,0.029018868,-0.4080447,-0.19795362,-0.15543639,-0.030936486,-0.40237224,0.24228182,0.24276165,0.24519,0.24193806
-19636.08,0.97229341,0.00018159859,10,1023,0,19700.552,-0.069622629,0.021258264,-0.090781491,-0.063540539,-0.19761111,-0.042985435,-0.15299843,-0.10779195,-0.12007991,-0.28628955,-0.35510218,-0.046743951,-0.039398603,-0.09799487,-0.3527164,-0.4520136,0.049642407,0.087369766,0.061742116,0.054150191,0.15091528,0.11008296,0.21732345,0.21586489,0.15826108,0.38317027,0.25020927,0.25028302,0.097723564,0.11804748,0.37178355,0.34517029,-0.55151911,-1.1423456,1.7449999,-0.59133619,-1.4660882,-1.9567574,0.14084492,-1.6983865,-0.44756921,-0.024166196,0.16650982,-0.62515627,-0.39710227,-0.12321182,2.0052101,-2.3625918,1.34255,0.46272787,1.9540379,-0.23609258,-0.68624984,-0.53965122,-0.14104129,-0.90939502,0.15740919,0.17719373,0.85731754,-0.72492974,0.03520905,-0.011611936,0.67995353,-0.41515839,0.2868644,0.12268351,0.68806682,-0.62561453,0.5876412,0.31711645,0.82697931,-0.031186577,0.81387706,0.75966491,1.1192901,0.40956357,-0.47237984,-0.32517816,-0.019233237,-1.3920154,-0.076713471,-0.4999756,1.1705592,-2.9697127,0.26426408,0.090715069,0.86681094,-1.7051037,0.68545218,0.60554168,1.1344192,-0.22133254,0.89595682,0.90351291,1.3514648,0.15663097,10.370567,-40.603391,0.0050734698,-0.097001365,-0.12633142,0.017003369,-0.098977981,-0.10683352,-0.14970317,0.033563852,-0.12712937,-0.11841536,-0.092273563,-0.080500822,-0.12937996,-0.085043703,-0.070212483,0.045041969,-0.19147533,0.005000198,-0.1277784,0.097283073,-0.23324108,-0.11852985,-0.10239184,-0.058511678,-0.14309433,-0.11878973,-0.11449008,0.033316771,-0.31054267,-0.10019155,-0.11029856,0.038986148,-0.19741007,-0.074680437,-0.10066388,-0.011185708,-0.21909034,-0.061122915,-0.16477996,0.030584335,-0.29823932,-0.1514626,-0.16502698,-0.075045428,-0.25262558,-0.16497261,-0.12813052,-0.051557704,-0.39514177,-0.046895317,-0.088258,0.074992614,-0.32960952,-0.066799162,-0.087286185,0.0043299731,-0.29927806,-0.097876554,-0.12758596,0.06904201,-0.4350042,-0.14275593,-0.14014779,0.014471892,-0.39794925,0.24702424,0.24686966,0.24930113,0.24644048
-19636.887,0.96770927,0.00018159859,10,1023,0,19684.543,-0.0706756,0.020453289,-0.089598446,-0.069519063,-0.20249039,-0.042389262,-0.15352762,-0.092254287,-0.1207358,-0.2797587,-0.34340933,-0.042215678,-0.053423301,-0.11015684,-0.35475032,-0.46110921,0.048369991,0.093749444,0.06268841,0.054267232,0.15515743,0.1175629,0.21928883,0.2294048,0.16145457,0.37275885,0.25602776,0.245343,0.10423412,0.11041086,0.35444696,0.34750442,-0.56989148,-1.0565342,1.7418822,-0.58438318,-1.4073304,-2.0027104,0.16214939,-1.6827939,-0.43106419,-0.03182898,0.12568639,-0.68485279,-0.40977027,-0.15241764,1.9485511,-2.3115584,1.329942,0.50872461,1.9995651,-0.28989756,-0.67837014,-0.54948588,-0.1695159,-0.9244086,0.17058865,0.19437216,0.88092174,-0.75644796,0.017873741,-0.059308204,0.66171958,-0.45431514,0.25419415,0.12375736,0.70090791,-0.61309922,0.66012546,0.33537477,0.82836296,-0.029130148,0.8049015,0.79648197,1.1360525,0.43654853,-0.46613375,-0.3272301,-0.074057871,-1.3396197,-0.077780404,-0.42899344,1.1633899,-2.8380992,0.30192039,0.097742173,0.87126753,-1.7039212,0.75486945,0.60074748,1.0658541,-0.23319829,0.92299911,0.90502228,1.3089952,0.18126283,10.169113,-39.931045,0.0052002645,-0.098241247,-0.12178015,0.013579227,-0.09894221,-0.11148315,-0.1672997,0.035654704,-0.1373077,-0.11662117,-0.091593754,-0.081719365,-0.13253078,-0.091756161,-0.077790346,0.036223414,-0.19496094,0.0038600015,-0.12355798,0.10775701,-0.24747015,-0.12214042,-0.10698841,-0.062318042,-0.15106541,-0.11611943,-0.11090397,0.03964868,-0.31940821,-0.088153966,-0.10585987,0.059547362,-0.19647636,-0.079694994,-0.10075461,-0.0075710134,-0.21972348,-0.033691093,-0.15474479,0.029020924,-0.29061722,-0.1373322,-0.13948783,-0.052548357,-0.23164078,-0.15657833,-0.12249929,-0.060385258,-0.370882,-0.061530673,-0.098139056,0.067841626,-0.34925009,-0.076821545,-0.099365038,-0.013959436,-0.29828824,-0.08718914,-0.1418172,0.023038443,-0.43740674,-0.14036294,-0.14660997,-0.006227583,-0.39811958,0.24611943,0.24596863,0.24851351,0.24564119
-19650.641,0.97200942,0.00018159859,10,1023,0,19704.224,-0.077553134,0.023468976,-0.085002004,-0.09111496,-0.18721837,-0.047415849,-0.1624856,-0.092679475,-0.11435245,-0.2871493,-0.35295964,-0.054500772,-0.050578118,-0.11518095,-0.34913497,-0.46268073,0.0493492,0.09249796,0.068623226,0.053494936,0.15651966,0.12525831,0.22420404,0.22946261,0.16736665,0.38691358,0.23301667,0.23341764,0.10417212,0.11110521,0.3531587,0.36209942,-0.6367518,-1.0482285,1.630368,-0.61546326,-1.3878821,-2.0382106,0.053791201,-1.6483038,-0.46131867,0.10400082,-0.052613927,-0.72297455,-0.41560859,-0.12205151,1.9018062,-2.3124015,1.335651,0.5054864,2.0186895,-0.27568756,-0.62982274,-0.5185293,-0.1364037,-0.95933512,0.10070647,0.23499166,0.77733181,-0.85109262,0.056690053,-0.013177176,0.65751538,-0.45852686,0.25887091,0.16837937,0.72741078,-0.68386394,0.59038653,0.35580481,0.85304723,-0.11214128,0.77029931,0.90165142,1.198242,0.44362388,-0.49569165,-0.29418082,-0.027975022,-1.4834572,-0.051409473,-0.40402167,1.0687744,-2.7810233,0.26967565,0.10936669,0.80871616,-1.6598405,0.80769668,0.63052083,1.1217616,-0.34054862,0.88549602,0.89413668,1.2655493,0.093717714,9.5222137,-37.239732,0.0055520543,-0.10897633,-0.12928237,0.0029042228,-0.10792575,-0.10490729,-0.16506134,0.028444553,-0.12899576,-0.11665918,-0.077865132,-0.088612541,-0.13461485,-0.11334791,-0.097644097,0.010622042,-0.21481673,0.02183728,-0.10809981,0.12874623,-0.23036889,-0.12630638,-0.11236595,-0.064501546,-0.16758054,-0.13990681,-0.10979952,0.011795326,-0.353304,-0.079671228,-0.095703145,0.05819572,-0.19789424,-0.071026094,-0.08617136,0.0073918553,-0.22880847,-0.058720732,-0.14948359,0.042906263,-0.33053828,-0.17346705,-0.14285982,-0.073749281,-0.24958787,-0.17020395,-0.12316776,-0.061030636,-0.40076584,-0.055933552,-0.092665912,0.060758383,-0.34028321,-0.085218582,-0.10302974,-0.025328372,-0.29959788,-0.063889866,-0.12646106,0.047024907,-0.46940268,-0.14204314,-0.13891436,-0.0044260464,-0.4287456,0.24656905,0.24643014,0.24912068,0.24588793
