"net","n_su","n_ties","density","reciprocity","transitivity","avpathlength","outdeg_centralization","indeg_centralization","bet_centralization","mean_degree","range_outdegree","range_indegree","site"
"loan_req","60","364","0.103","0.11","0.202","2.459","0.084","0.118","0.046","6.067","2 - 11","1 - 13","EG"
"loan_giv","60","370","0.105","0.13","0.209","2.472","0.116","0.116","0.056","6.167","1 - 13","0 - 13","EG"
"exchange_req","60","354","0.1","0.102","0.219","2.543","0.171","0.103","0.093","5.9","1 - 16","1 - 12","EG"
"exchange_giv","60","370","0.105","0.103","0.235","2.479","0.167","0.167","0.095","6.167","1 - 16","1 - 16","EG"
"f_behav","60","398","0.112","0.101","0.233","2.386","0.142","0.091","0.073","6.633","2 - 15","1 - 12","EG"
"m_behav","60","376","0.106","0.106","0.209","2.478","0.114","0.114","0.056","6.267","2 - 13","1 - 13","EG"
"f_info","60","391","0.11","0.113","0.221","2.412","0.11","0.144","0.055","6.517","1 - 13","1 - 15","EG"
"m_info","60","373","0.105","0.161","0.225","2.519","0.132","0.149","0.059","6.217","1 - 14","0 - 15","EG"
"govt","60","376","0.106","0.106","0.213","2.456","0.114","0.097","0.052","6.267","2 - 13","1 - 12","EG"
"external","60","404","0.114","0.144","0.233","0.638","0.174","0.14","0.065","6.733","1 - 17","1 - 15","EG"
"primary_kin","60","73","0.041","1","0.018","2.325","0.077","0.077","0.246","2.433","0 - 7","0 - 7","EG"
"secondary_kin","60","143","0.081","1","0.387","1.24","0.123","0.123","0.198","4.767","0 - 12","0 - 12","EG"
"primary_connectedkin_sum","60","74","0.021","0.622","0","2.051","0.064","0.047","0.068","1.233","0 - 5","0 - 4","EG"
"secondary_connectedkin_sum","60","140","0.04","0.614","0.288","1.391","0.062","0.079","0.157","2.333","0 - 6","0 - 7","EG"
"non_primary_connectedkin_sum","60","1604","0.453","0.483","0.709","0.468","0.327","0.242","0.016","26.733","15 - 46","12 - 41","EG"
"non_secondary_connectedkin_sum","60","1538","0.434","0.477","0.681","0.473","0.328","0.26","0.018","25.633","15 - 45","12 - 41","EG"
"loan","60","690","0.195","0.217","0.37","1.966","0.144","0.212","0.044","11.5","3 - 20","4 - 24","EG"
"exchange","60","681","0.192","0.226","0.373","1.996","0.299","0.231","0.069","11.35","4 - 29","4 - 25","EG"
