"su_id","site","adult_count","num_surveyed","su_size","out_degree","in_degree","degree","out_degree_weighted","in_degree_weighted","degree_weighted","sampled","rank_degree","degree_per_adult","rank_degree_peradult","degree_per_capita","rank_degree_percap","rank_degree_weighted","degree_per_adult_weighted","rank_degree_peradult_weighted","degree_percap_weighted","rank_degree_percap_weighted","rank_in_degree","in_degree_peradult","rank_in_degree_peradult","in_degree_percap","rank_in_degree_percap","rank_in_degree_weighted","in_degree_peradult_weighted","rank_in_degree_peradult_weighted","in_degree_percap_weighted","rank_in_degree_percap_weighted","rank_out_degree","out_degree_peradult","rank_out_degree_peradult","out_degree_percap","rank_out_degree_percap","rank_out_degree_weighted","out_degree_peradult_weighted","rank_out_degree_peradult_weighted","out_degree_percap_weighted","rank_out_degree_percap_weighted","log_degree","log_degree_pa","std_degree","std_degree_pa","std_log_degree","std_log_degree_pa","network","eigen","pagerank","betweenness","katz_0.9","katz_0.2","katz_0.9_weighted","katz_0.2_weighted","katz_0.2_directed","katz_0.2_directed_weighted","katz_0.9_directed","katz_0.9_directed_weighted","eigen_weighted","eigen_weighted_directed","pagerank_weighted","pagerank_weighted_directed","betweenness_weighted","betweenness_weighted_directed","rank_eigen","rank_pagerank","rank_betweenness","rank_eigen_weighted","rank_pagerank_weighted","rank_betweenness_weighted","rank_eigen_weighted_directed","rank_pagerank_weighted_directed","rank_betweenness_weighted_directed","rank_katz_0.9","rank_katz_0.2","rank_katz_0.9_weighted","rank_katz_0.2_weighted","rank_katz_0.2_directed","rank_katz_0.2_directed_weighted","rank_katz_0.9_directed","rank_katz_0.9_directed_weighted","rank_size","able_count","able_count_pa","rank_able_count_pa","rank_adult_count","primary_kin","secondary_kin","avg_age","max_edu","wealth_per_capita","wealth_per_adult","wealth","log_wealth","rank_wealth","log_wpa","rank_wpa","std_wealth","std_wpa","std_able_count_pa","std_log_able_count_pa","std_log_wealth","std_log_wpa","wealth_per_able","log_wpable","rank_wpable","rank_wpc","gini_wealth","gini_wealth_per_adult","gini_wealth_per_capita","alter_count","alter_res_count","rank_res_count","externals_count","externals_status_count","externals_wealth_count","rank_ext_count","rank_alt_count","ext_count_per_adult","rank_ext_count_peradult","ext_count_per_surv","rank_ext_count_persurv","alt_count_per_surv","res_count_per_surv","rank_alt_count_persurv","rank_res_count_persurv","prop_external","rank_prop_ext"
"egsu001","EG",4,5,6,34,39,51,12,17.302380952381,29.302380952381,TRUE,0.915254237288136,12.75,0.305084745762712,8.5,0.423728813559322,0.932203389830508,7.32559523809524,0.406779661016949,4.88373015873016,0.474576271186441,0.932203389830508,9.75,0.627118644067797,6.5,0.576271186440678,0.932203389830508,4.32559523809524,0.76271186440678,2.88373015873016,0.677966101694915,0.813559322033898,8.5,0.305084745762712,5.66666666666667,0.406779661016949,0.593220338983051,3,0.152542372881356,2,0.271186440677966,3.93182563272433,2.54553127160443,1.32074396456826,-0.638047415763894,1.22852210004244,-0.632779704200315,"sum",0.823242616798219,0.0203049325420778,18.6666666666667,-0.830125562076003,-0.420527334625276,-0.31860341870882,-0.286255043264432,-0.686190558260305,-1.57315890192985,-0.501009875032145,-0.112626113672238,0.823242616798219,0.729078116177105,0.0203049325420778,0.0238667367197917,24.5,93.2,0.915254237288136,0.932203389830508,0.661016949152542,0.915254237288136,0.932203389830508,0.677966101694915,0.932203389830508,0.932203389830508,0.966101694915254,0.0338983050847458,0.35593220338983,0.0847457627118644,0.457627118644068,0.0169491525423729,0.0508474576271186,0.254237288135593,0.491525423728814,0.694915254237288,5,1.25,0.525423728813559,0.779661016949153,4,8,28.8333333333333,6,711.1,1066.65,4266.6,8.35857253611753,0.864406779661017,6.97227817499764,0.677966101694915,1.14817508181283,0.21663367110947,0.171166619656315,NA,0.987342782357355,0.48398499775356,853.32,6.74913462368343,0.578947368421053,0.728813559322034,0.306375330025877,0.334494867485871,0.349807473786756,57,57,0.76271186440678,0,NA,NA,0,0.76271186440678,0,0,0,0,11.4,11.4,0.0677966101694915,0.0677966101694915,0,0
"egsu002","EG",2,3,4,29,26,43,13,9.56904761904762,22.5690476190476,TRUE,0.508474576271186,21.5,0.949152542372881,10.75,0.745762711864407,0.440677966101695,11.2845238095238,0.932203389830508,5.6422619047619,0.627118644067797,0.305084745762712,13,0.898305084745763,6.5,0.576271186440678,0.288135593220339,4.78452380952381,0.830508474576271,2.3922619047619,0.440677966101695,0.610169491525424,14.5,0.983050847457627,7.25,0.779661016949153,0.76271186440678,6.5,0.932203389830508,3.25,0.779661016949153,3.76120011569356,3.06805293513362,0.110902164963747,2.10165999925283,0.183233424358391,1.96120254230745,"sum",0.644191375656742,0.0161683978170992,8.56666666666666,-0.315170758763297,0.51304281872139,0.0216635752677988,0.179960088908535,-0.469500667716635,-0.750948263756482,0.702784260078776,-1.74082492238767,0.644191375656742,0.443769038554609,0.0161683978170992,0.0152652253502954,7,72.2333333333333,0.440677966101695,0.440677966101695,0.457627118644068,0.440677966101695,0.440677966101695,0.203389830508475,0.338983050847458,0.338983050847458,0.779661016949153,0.288135593220339,0.813559322033898,0.677966101694915,0.728813559322034,0.152542372881356,0.491525423728814,0.949152542372881,0.0677966101694915,0.254237288135593,3,1.5,0.661016949152542,0,4,7,32.25,7,536,1072,2144,7.67042852219069,0.389830508474576,6.97728134163075,0.694915254237288,-0.343313027440999,0.225570309422641,0.605110162446971,NA,-0.0332416969821647,0.491154792425855,714.666666666667,6.57181623352258,0.456140350877193,0.474576271186441,0.306375330025877,0.334494867485871,0.349807473786756,44,44,0.423728813559322,0,NA,NA,0,0.423728813559322,0,0,0,0,14.6666666666667,14.6666666666667,0.559322033898305,0.559322033898305,0,0
"egsu003","EG",4,4,7,36,29,45,13.75,12.7357142857143,26.4857142857143,TRUE,0.610169491525424,11.25,0.0508474576271186,6.42857142857143,0.152542372881356,0.796610169491525,6.62142857142857,0.186440677966102,3.78367346938775,0.186440677966102,0.508474576271186,7.25,0.101694915254237,4.14285714285714,0.186440677966102,0.711864406779661,3.18392857142857,0.23728813559322,1.81938775510204,0.254237288135593,0.88135593220339,9,0.372881355932203,5.14285714285714,0.288135593220339,0.88135593220339,3.4375,0.338983050847458,1.96428571428571,0.254237288135593,3.80666248977032,2.42036812865043,0.413362614864876,-1.10771154405248,0.461745722044666,-1.25413379035807,"sum",0.769010501239025,0.0185133149805352,37.7,0.560155147940217,0.514953504274597,0.414049796804053,-1.05614864695761,-0.147968354369481,-0.921808255739064,0.207283751026967,-0.134957927155308,0.769010501239025,0.544423939011522,0.0185133149805352,0.0178921612144224,45.5,74.7333333333333,0.813559322033898,0.813559322033898,0.813559322033898,0.813559322033898,0.813559322033898,0.864406779661017,0.711864406779661,0.694915254237288,0.847457627118644,0.864406779661017,0.830508474576271,0.949152542372881,0.0677966101694915,0.610169491525424,0.322033898305085,0.661016949152542,0.457627118644068,0.830508474576271,6,1.5,0.661016949152542,0.779661016949153,2,5,27.7142857142857,12,688.8,1205.4,4821.6,8.48086110216883,0.949152542372881,7.09456674104894,0.796610169491525,1.53815713242805,0.448401627362279,0.605110162446971,NA,1.16870861565213,0.659230791798235,803.6,6.68910163294078,0.526315789473684,0.694915254237288,0.306375330025877,0.334494867485871,0.349807473786756,63,63,0.898305084745763,0,NA,NA,0,0.898305084745763,0,0,0,0,15.75,15.75,0.76271186440678,0.76271186440678,0,0
"egsu004","EG",4,5,7,33,35,49,8.4,17.0904761904762,25.4904761904762,TRUE,0.813559322033898,12.25,0.186440677966102,7,0.186440677966102,0.711864406779661,6.37261904761905,0.11864406779661,3.64149659863946,0.152542372881356,0.847457627118644,8.75,0.389830508474576,5,0.305084745762712,0.915254237288136,4.27261904761905,0.728813559322034,2.44149659863946,0.474576271186441,0.76271186440678,8.25,0.186440677966102,4.71428571428571,0.220338983050847,0.0169491525423729,2.1,0.0169491525423729,1.2,0.0169491525423729,3.89182029811063,2.50552593699074,1.01828351466713,-0.794602125193421,0.983440801732813,-0.831380326904912,"sum",0.71129575102223,0.0180012735504946,84.7,-0.330052744529943,-0.8916450659526,-0.295814377666263,0.326649976858928,-0.527081684719399,-1.36213974409465,0.190559456084228,-1.02866723951025,0.71129575102223,0.704620346224099,0.0180012735504946,0.0229523525486568,28.5,15.8333333333333,0.711864406779661,0.711864406779661,0.983050847457627,0.711864406779661,0.711864406779661,0.779661016949153,0.915254237288136,0.915254237288136,0.101694915254237,0.203389830508475,0.186440677966102,0.135593220338983,0.847457627118644,0.0847457627118644,0.11864406779661,0.64406779661017,0.220338983050847,0.830508474576271,4,1,0.322033898305085,0.779661016949153,5,7,23.5714285714286,11,70.5714285714286,123.5,494,6.20253551718792,0.0169491525423729,4.81624115606803,0,-1.50271912386463,-1.35880379151998,-0.262776923134342,NA,-2.21026974331805,-2.60572675185932,123.5,4.81624115606803,0.0175438596491228,0.0169491525423729,0.306375330025877,0.334494867485871,0.349807473786756,51,51,0.627118644067797,0,NA,NA,0,0.627118644067797,0,0,0,0,10.2,10.2,0.0169491525423729,0.0169491525423729,0,0
"egsu005","EG",3,3,5,28,27,44,14,10.0095238095238,24.0095238095238,TRUE,0.559322033898305,14.6666666666667,0.576271186440678,8.8,0.474576271186441,0.627118644067797,8.0031746031746,0.576271186440678,4.80190476190476,0.423728813559322,0.372881355932203,9,0.423728813559322,5.4,0.406779661016949,0.322033898305085,3.33650793650794,0.254237288135593,2.00190476190476,0.288135593220339,0.508474576271186,9.33333333333333,0.457627118644068,5.6,0.372881355932203,0.915254237288136,4.66666666666667,0.677966101694915,2.8,0.627118644067797,3.78418963391826,2.68557734525015,0.262132389914312,-0.0379210296173747,0.324072165701967,0.0624585109513516,"sum",0.682207284099444,0.0170463230525188,28.2816239316239,0.665980195488068,1.64589225782789,-0.0260654493144944,-1.0360070669623,-0.391601219162316,-0.630672439009684,-0.533656837455203,-0.579030518093224,0.682207284099444,0.440641877426892,0.0170463230525188,0.0148105277613731,19,89.3333333333333,0.559322033898305,0.627118644067797,0.745762711864407,0.559322033898305,0.627118644067797,0.593220338983051,0.322033898305085,0.305084745762712,0.898305084745763,0.949152542372881,0.983050847457627,0.610169491525424,0.0847457627118644,0.254237288135593,0.627118644067797,0.23728813559322,0.322033898305085,0.372881355932203,3,1,0.322033898305085,0.288135593220339,3,4,28.8,11,213.6,356,1068,6.97354301952014,0.152542372881356,5.87493073085203,0.11864406779661,-1.0993863363815,-0.970435864826088,-0.262776923134342,NA,-1.0667906540438,-1.08857023289253,356,5.87493073085203,0.157894736842105,0.152542372881356,0.306375330025877,0.334494867485871,0.349807473786756,49,49,0.576271186440678,0,NA,NA,0,0.576271186440678,0,0,0,0,16.3333333333333,16.3333333333333,0.830508474576271,0.830508474576271,0,0
"egsu006","EG",2,4,5,34,35,48,11.25,16.9190476190476,28.1690476190476,TRUE,0.745762711864407,24,1,9.6,0.542372881355932,0.898305084745763,14.0845238095238,1,5.63380952380952,0.610169491525424,0.847457627118644,17.5,1,7,0.64406779661017,0.88135593220339,8.45952380952381,1,3.38380952380952,0.813559322033898,0.813559322033898,17,1,6.8,0.694915254237288,0.338983050847458,5.625,0.813559322033898,2.25,0.389830508474576,3.87120101090789,3.17805383034795,0.867053289716569,2.88443354640046,0.857122606255578,2.50728587090804,"sum",0.787272243854218,0.0196102865655543,12.6166666666667,-0.0818339721989317,-0.892178981459816,-0.157486927427497,0.139344361519041,-0.127165636243647,-1.27941396143765,0.0732430417046019,-1.25685904814248,0.787272243854219,0.687151510342851,0.0196102865655543,0.0222389617380432,34.0833333333333,73.8666666666667,0.898305084745763,0.898305084745763,0.576271186440678,0.898305084745763,0.898305084745763,0.796610169491525,0.88135593220339,0.864406779661017,0.813559322033898,0.457627118644068,0.169491525423729,0.372881355932203,0.694915254237288,0.627118644067797,0.169491525423729,0.508474576271186,0.135593220338983,0.372881355932203,4,2,0.932203389830508,0,1,2,28.6,11,471,1177.5,2355,7.76429600645052,0.491525423728814,7.07114882589057,0.76271186440678,-0.195049581171067,0.401797476159012,1.47299724802828,NA,0.105972908698341,0.625671716985977,588.75,6.37800164533063,0.350877192982456,0.372881355932203,0.306375330025877,0.334494867485871,0.349807473786756,59,59,0.813559322033898,0,NA,NA,0,0.813559322033898,0,0,0,0,14.75,14.75,0.610169491525424,0.610169491525424,0,0
"egsu007","EG",3,3,7,20,27,38,9,11.0857142857143,20.0857142857143,TRUE,0.254237288135593,12.6666666666667,0.288135593220339,5.42857142857143,0.0338983050847458,0.23728813559322,6.6952380952381,0.23728813559322,2.86938775510204,0.0338983050847458,0.372881355932203,9,0.423728813559322,3.85714285714286,0.135593220338983,0.474576271186441,3.6952380952381,0.457627118644068,1.58367346938776,0.186440677966102,0.0677966101694915,6.66666666666667,0.0338983050847458,2.85714285714286,0.0169491525423729,0.0338983050847458,3,0.101694915254237,1.28571428571429,0.0338983050847458,3.63758615972639,2.53897387105828,-0.645248959789074,-0.664139867335482,-0.574052300412188,-0.665332958519169,"sum",0.551511496447565,0.0147284905011933,4.16666666666667,0.223748346281258,-0.192658016727241,-0.129374505531496,0.766894339655977,-0.037326350524661,-0.585420157722528,0.443481575755909,0.542186329300766,0.551511496447565,0.458064168346312,0.0147284905011933,0.0155794106823456,9.5,40.8833333333333,0.152542372881356,0.23728813559322,0.305084745762712,0.152542372881356,0.23728813559322,0.305084745762712,0.406779661016949,0.389830508474576,0.457627118644068,0.711864406779661,0.508474576271186,0.423728813559322,0.966101694915254,0.711864406779661,0.661016949152542,0.779661016949153,0.745762711864407,0.830508474576271,4,1.33333333333333,0.576271186440678,0.288135593220339,2,5,22.8571428571429,5,499,1164.33333333333,3493,8.15851624480683,0.728813559322034,7.05990395613872,0.745762711864407,0.604589290180507,0.379803880310396,0.3158144672532,NA,0.690639851322877,0.609557241264958,873.25,6.77222188368694,0.596491228070175,0.423728813559322,0.306375330025877,0.334494867485871,0.349807473786756,41,41,0.322033898305085,0,NA,NA,0,0.322033898305085,0,0,0,0,13.6666666666667,13.6666666666667,0.322033898305085,0.322033898305085,0,0
"egsu008","EG",3,4,5,31,30,43,11.25,11.5428571428571,22.7928571428571,TRUE,0.508474576271186,14.3333333333333,0.508474576271186,8.6,0.440677966101695,0.457627118644068,7.59761904761905,0.440677966101695,4.55857142857143,0.372881355932203,0.627118644067797,10,0.64406779661017,6,0.508474576271186,0.508474576271186,3.84761904761905,0.508474576271186,2.30857142857143,0.423728813559322,0.677966101694915,10.3333333333333,0.711864406779661,6.2,0.457627118644068,0.338983050847458,3.75,0.440677966101695,2.25,0.389830508474576,3.76120011569356,2.66258782702545,0.110902164963747,-0.142290835903726,0.183233424358391,-0.0516695841937497,"sum",0.640040998726312,0.0163416645112067,17.8205128205128,0.806783176663042,-0.238975435025875,0.00333554554625138,0.198838749690617,-0.115970654732672,-0.788286070108258,-1.34679038665758,-0.554813335665505,0.640040998726312,0.492999495745968,0.0163416645112067,0.0168330411011163,13,20.8333333333333,0.423728813559322,0.457627118644068,0.64406779661017,0.423728813559322,0.457627118644068,0.423728813559322,0.542372881355932,0.559322033898305,0.135593220338983,0.966101694915254,0.474576271186441,0.64406779661017,0.76271186440678,0.64406779661017,0.440677966101695,0,0.35593220338983,0.372881355932203,3,1,0.322033898305085,0.288135593220339,4,9,25.8,10,961.2,1602,4806,8.47762041629641,0.932203389830508,7.3790081276283,0.898305084745763,1.52719547478913,1.11088214231625,-0.262776923134342,NA,1.16390236341877,1.06684990337858,1602,7.3790081276283,0.859649122807018,0.847457627118644,0.306375330025877,0.334494867485871,0.349807473786756,61,61,0.847457627118644,0,NA,NA,0,0.847457627118644,0,0,0,0,15.25,15.25,0.677966101694915,0.677966101694915,0,0
"egsu009","EG",2,3,4,25,30,47,12,11.8333333333333,23.8333333333333,TRUE,0.694915254237288,23.5,0.983050847457627,11.75,0.813559322033898,0.559322033898305,11.9166666666667,0.966101694915254,5.95833333333333,0.677966101694915,0.627118644067797,15,0.966101694915254,7.5,0.745762711864407,0.542372881355932,5.91666666666667,0.932203389830508,2.95833333333333,0.711864406779661,0.271186440677966,12.5,0.847457627118644,6.25,0.474576271186441,0.593220338983051,6,0.898305084745763,3,0.711864406779661,3.85014760171006,3.15700042115011,0.715823064766005,2.72787883697093,0.728144885912206,2.40276930537699,"sum",0.672283057982333,0.0169674963993544,12.2166666666667,0.204566396612276,-0.928140915708668,-0.2596412659121,-0.381532321311345,0.154069271455841,-0.515686301209432,0.696347831078319,-1.24417217568677,0.672283057982333,0.464324840609754,0.0169674963993544,0.0157194715722765,9,40.3095238095238,0.508474576271186,0.576271186440678,0.525423728813559,0.508474576271186,0.576271186440678,0.271186440677966,0.423728813559322,0.440677966101695,0.440677966101695,0.694915254237288,0.152542372881356,0.203389830508475,0.35593220338983,0.898305084745763,0.745762711864407,0.932203389830508,0.169491525423729,0.254237288135593,3,1.5,0.661016949152542,0,1,2,30.5,8,410.65,821.3,1642.6,7.40403563130609,0.254237288135593,6.71088845074615,0.474576271186441,-0.69563194668149,-0.193198891532885,0.605110162446971,NA,-0.428328254942278,0.10940010187415,547.533333333333,6.30542334263798,0.333333333333333,0.288135593220339,0.306375330025877,0.334494867485871,0.349807473786756,38,38,0.203389830508475,0,NA,NA,0,0.203389830508475,0,0,0,0,12.6666666666667,12.6666666666667,0.169491525423729,0.169491525423729,0,0
"egsu010","EG",3,3,5,28,27,42,11.6666666666667,10.0595238095238,21.7261904761905,TRUE,0.423728813559322,14,0.440677966101695,8.4,0.389830508474576,0.35593220338983,7.24206349206349,0.35593220338983,4.34523809523809,0.305084745762712,0.372881355932203,9,0.423728813559322,5.4,0.406779661016949,0.338983050847458,3.3531746031746,0.271186440677966,2.01190476190476,0.305084745762712,0.508474576271186,9.33333333333333,0.457627118644068,5.6,0.372881355932203,0.491525423728814,3.88888888888889,0.508474576271186,2.33333333333333,0.457627118644068,3.73766961828337,2.63905732961526,-0.040328059986817,-0.246660642190077,0.0390805279797451,-0.168483291249041,"sum",0.634537617202257,0.015615849521095,1.83333333333333,0.488856360075349,0.383087809011676,0.0059423528725022,-0.170446909655039,-0.343367366115757,-0.762069518331843,0.508234044213887,-0.0819869786303902,0.634537617202257,0.450831678383894,0.015615849521095,0.0155438302698696,2.5,28.75,0.406779661016949,0.35593220338983,0.152542372881356,0.406779661016949,0.35593220338983,0.0508474576271186,0.35593220338983,0.372881355932203,0.23728813559322,0.847457627118644,0.76271186440678,0.661016949152542,0.525423728813559,0.288135593220339,0.457627118644068,0.847457627118644,0.525423728813559,0.372881355932203,5,1.66666666666667,0.796610169491525,0.288135593220339,4,8,22.6,12,458.52,764.2,2292.6,7.73744182368091,0.474576271186441,6.6388295350128,0.440677966101695,-0.238896211726725,-0.288578713529536,0.894405857640742,NA,0.0661455446795583,0.00613597577105522,458.52,6.12800391124681,0.280701754385965,0.35593220338983,0.306375330025877,0.334494867485871,0.349807473786756,50,50,0.610169491525424,0,NA,NA,0,0.610169491525424,0,0,0,0,16.6666666666667,16.6666666666667,0.932203389830508,0.932203389830508,0,0
