"su_id","site","kin_links","kins","nonkin_degree","total_nonkin","connection_network_degree","total","N","su_size","su_wealth","su_wpc","kin_pc","kin_links_pc","prob_kin","prob_nonkin","prop_kin","prop_kin_pc","prop_connected_kin","prop_connected_kin_pc","ratio","network","kinship",".after"
"egsu001","EG",3,4,31,55,34,59,60,6,4266.6,711.1,0.666666666666667,0.5,0.75,0.563636363636364,0.0677966101694915,0.0112994350282486,0.0882352941176471,0.0147058823529412,1.33064516129032,"collapse_sum","primary_kin","EG"
"egsu002","EG",3,4,26,55,29,59,60,4,2144,536,1,0.75,0.75,0.472727272727273,0.0677966101694915,0.0169491525423729,0.103448275862069,0.0258620689655172,1.58653846153846,"collapse_sum","primary_kin","EG"
"egsu003","EG",1,2,35,57,36,59,60,7,4821.6,688.8,0.285714285714286,0.142857142857143,0.5,0.614035087719298,0.0338983050847458,0.00484261501210654,0.0277777777777778,0.00396825396825397,0.814285714285714,"collapse_sum","primary_kin","EG"
"egsu004","EG",5,5,28,54,33,59,60,7,494,70.5714285714286,0.714285714285714,0.714285714285714,1,0.518518518518518,0.0847457627118644,0.0121065375302663,0.151515151515152,0.0216450216450216,1.92857142857143,"collapse_sum","primary_kin","EG"
"egsu005","EG",0,3,28,56,28,59,60,5,1068,213.6,0.6,0,0,0.5,0.0508474576271186,0.0101694915254237,0,0,0,"collapse_sum","primary_kin","EG"
"egsu006","EG",0,1,34,58,34,59,60,5,2355,471,0.2,0,0,0.586206896551724,0.0169491525423729,0.00338983050847458,0,0,0,"collapse_sum","primary_kin","EG"
"egsu007","EG",0,2,20,57,20,59,60,7,3493,499,0.285714285714286,0,0,0.350877192982456,0.0338983050847458,0.00484261501210654,0,0,0,"collapse_sum","primary_kin","EG"
"egsu008","EG",1,4,30,55,31,59,60,5,4806,961.2,0.8,0.2,0.25,0.545454545454545,0.0677966101694915,0.0135593220338983,0.032258064516129,0.00645161290322581,0.458333333333333,"collapse_sum","primary_kin","EG"
"egsu009","EG",1,1,24,58,25,59,60,4,1642.6,410.65,0.25,0.25,1,0.413793103448276,0.0169491525423729,0.00423728813559322,0.04,0.01,2.41666666666667,"collapse_sum","primary_kin","EG"
"egsu010","EG",3,4,25,55,28,59,60,5,2292.6,458.52,0.8,0.6,0.75,0.454545454545455,0.0677966101694915,0.0135593220338983,0.107142857142857,0.0214285714285714,1.65,"collapse_sum","primary_kin","EG"
"egsu011","EG",0,1,22,58,22,59,60,3,3093.6,1031.2,0.333333333333333,0,0,0.379310344827586,0.0169491525423729,0.00564971751412429,0,0,0,"collapse_sum","primary_kin","EG"
"egsu012","EG",1,3,25,56,26,59,60,3,780,260,1,0.333333333333333,0.333333333333333,0.446428571428571,0.0508474576271186,0.0169491525423729,0.0384615384615385,0.0128205128205128,0.746666666666667,"collapse_sum","primary_kin","EG"
"egsu013","EG",1,1,36,58,37,59,60,5,3031,606.2,0.2,0.2,1,0.620689655172414,0.0169491525423729,0.00338983050847458,0.027027027027027,0.00540540540540541,1.61111111111111,"collapse_sum","primary_kin","EG"
"egsu014","EG",1,2,18,57,19,59,60,5,934,186.8,0.4,0.2,0.5,0.31578947368421,0.0338983050847458,0.00677966101694915,0.0526315789473684,0.0105263157894737,1.58333333333333,"collapse_sum","primary_kin","EG"
"egsu015","EG",1,1,25,58,26,59,60,5,4019.6,803.92,0.2,0.2,1,0.431034482758621,0.0169491525423729,0.00338983050847458,0.0384615384615385,0.00769230769230769,2.32,"collapse_sum","primary_kin","EG"
"egsu016","EG",1,3,15,56,16,59,60,7,1592.6,227.514285714286,0.428571428571429,0.142857142857143,0.333333333333333,0.267857142857143,0.0508474576271186,0.00726392251815981,0.0625,0.00892857142857143,1.24444444444444,"collapse_sum","primary_kin","EG"
"egsu017","EG",1,2,34,57,35,59,60,5,3001,600.2,0.4,0.2,0.5,0.596491228070175,0.0338983050847458,0.00677966101694915,0.0285714285714286,0.00571428571428571,0.838235294117647,"collapse_sum","primary_kin","EG"
"egsu018","EG",1,6,24,53,25,59,60,7,2192,313.142857142857,0.857142857142857,0.142857142857143,0.166666666666667,0.452830188679245,0.101694915254237,0.0145278450363196,0.04,0.00571428571428571,0.368055555555556,"collapse_sum","primary_kin","EG"
"egsu019","EG",2,3,17,56,19,59,60,3,4701,1567,1,0.666666666666667,0.666666666666667,0.303571428571429,0.0508474576271186,0.0169491525423729,0.105263157894737,0.0350877192982456,2.19607843137255,"collapse_sum","primary_kin","EG"
"egsu020","EG",1,1,26,58,27,59,60,5,1875.6,375.12,0.2,0.2,1,0.448275862068966,0.0169491525423729,0.00338983050847458,0.037037037037037,0.00740740740740741,2.23076923076923,"collapse_sum","primary_kin","EG"
"egsu021","EG",1,2,35,57,36,59,60,6,3349,558.166666666667,0.333333333333333,0.166666666666667,0.5,0.614035087719298,0.0338983050847458,0.00564971751412429,0.0277777777777778,0.00462962962962963,0.814285714285714,"collapse_sum","primary_kin","EG"
"egsu022","EG",1,3,32,56,33,59,60,4,827,206.75,0.75,0.25,0.333333333333333,0.571428571428571,0.0508474576271186,0.0127118644067797,0.0303030303030303,0.00757575757575758,0.583333333333333,"collapse_sum","primary_kin","EG"
"egsu023","EG",1,4,21,55,22,59,60,3,1603.6,534.533333333333,1.33333333333333,0.333333333333333,0.25,0.381818181818182,0.0677966101694915,0.0225988700564972,0.0454545454545455,0.0151515151515152,0.654761904761905,"collapse_sum","primary_kin","EG"
"egsu024","EG",0,2,20,57,20,59,60,3,6942,2314,0.666666666666667,0,0,0.350877192982456,0.0338983050847458,0.0112994350282486,0,0,0,"collapse_sum","primary_kin","EG"
"egsu025","EG",1,3,24,56,25,59,60,3,4155,1385,1,0.333333333333333,0.333333333333333,0.428571428571429,0.0508474576271186,0.0169491525423729,0.04,0.0133333333333333,0.777777777777778,"collapse_sum","primary_kin","EG"
"egsu026","EG",1,1,22,58,23,59,60,5,2793,558.6,0.2,0.2,1,0.379310344827586,0.0169491525423729,0.00338983050847458,0.0434782608695652,0.00869565217391304,2.63636363636364,"collapse_sum","primary_kin","EG"
"egsu027","EG",0,1,28,58,28,59,60,4,1723,430.75,0.25,0,0,0.482758620689655,0.0169491525423729,0.00423728813559322,0,0,0,"collapse_sum","primary_kin","EG"
"egsu028","EG",1,1,26,58,27,59,60,6,264.2,44.0333333333333,0.166666666666667,0.166666666666667,1,0.448275862068966,0.0169491525423729,0.00282485875706215,0.037037037037037,0.00617283950617284,2.23076923076923,"collapse_sum","primary_kin","EG"
"egsu029","EG",0,1,30,58,30,59,60,7,609.2,87.0285714285714,0.142857142857143,0,0,0.517241379310345,0.0169491525423729,0.00242130750605327,0,0,0,"collapse_sum","primary_kin","EG"
"egsu030","EG",0,1,20,58,20,59,60,3,2977,992.333333333333,0.333333333333333,0,0,0.344827586206897,0.0169491525423729,0.00564971751412429,0,0,0,"collapse_sum","primary_kin","EG"
"egsu031","EG",3,3,22,56,25,59,60,5,2813.2,562.64,0.6,0.6,1,0.392857142857143,0.0508474576271186,0.0101694915254237,0.12,0.024,2.54545454545455,"collapse_sum","primary_kin","EG"
"egsu032","EG",2,3,37,56,39,59,60,6,3550,591.666666666667,0.5,0.333333333333333,0.666666666666667,0.660714285714286,0.0508474576271186,0.00847457627118644,0.0512820512820513,0.00854700854700855,1.00900900900901,"collapse_sum","primary_kin","EG"
"egsu033","EG",1,1,33,58,34,59,60,5,2542.6,508.52,0.2,0.2,1,0.568965517241379,0.0169491525423729,0.00338983050847458,0.0294117647058824,0.00588235294117647,1.75757575757576,"collapse_sum","primary_kin","EG"
"egsu034","EG",2,4,23,55,25,59,60,3,1328.8,442.933333333333,1.33333333333333,0.666666666666667,0.5,0.418181818181818,0.0677966101694915,0.0225988700564972,0.08,0.0266666666666667,1.19565217391304,"collapse_sum","primary_kin","EG"
"egsu035","EG",0,1,32,58,32,59,60,5,4859,971.8,0.2,0,0,0.551724137931034,0.0169491525423729,0.00338983050847458,0,0,0,"collapse_sum","primary_kin","EG"
"egsu036","EG",1,1,19,58,20,59,60,3,2867.6,955.866666666667,0.333333333333333,0.333333333333333,1,0.327586206896552,0.0169491525423729,0.00564971751412429,0.05,0.0166666666666667,3.05263157894737,"collapse_sum","primary_kin","EG"
"egsu037","EG",0,3,20,56,20,59,60,3,3852.8,1284.26666666667,1,0,0,0.357142857142857,0.0508474576271186,0.0169491525423729,0,0,0,"collapse_sum","primary_kin","EG"
"egsu038","EG",1,1,32,58,33,59,60,7,1392.6,198.942857142857,0.142857142857143,0.142857142857143,1,0.551724137931034,0.0169491525423729,0.00242130750605327,0.0303030303030303,0.00432900432900433,1.8125,"collapse_sum","primary_kin","EG"
"egsu039","EG",3,4,25,55,28,59,60,3,2142,714,1.33333333333333,1,0.75,0.454545454545455,0.0677966101694915,0.0225988700564972,0.107142857142857,0.0357142857142857,1.65,"collapse_sum","primary_kin","EG"
"egsu040","EG",2,3,28,56,30,59,60,6,1878.8,313.133333333333,0.5,0.333333333333333,0.666666666666667,0.5,0.0508474576271186,0.00847457627118644,0.0666666666666667,0.0111111111111111,1.33333333333333,"collapse_sum","primary_kin","EG"
"egsu041","EG",0,0,22,59,22,59,60,3,2127.6,709.2,0,0,NA,0.372881355932203,0,0,0,0,NA,"collapse_sum","primary_kin","EG"
