"waveid","personid","alterid","tie"
1,"eg0001","eg0277",1
1,"eg0001","eg0007",5
1,"eg0001","eg0084",5
1,"eg0001","eg0219",5
1,"eg0001","eg0156",5
1,"eg0001","eg0128",6
1,"eg0001","eg0225",6
1,"eg0001","eg0274",6
1,"eg0001","eg0021",6
1,"eg0001","eg0232",7
1,"eg0001","eg0218",7
1,"eg0001","eg0155",7
1,"eg0001","eg0053",7
1,"eg0001","eg0212",9
1,"eg0001","eg0203",9
1,"eg0002","eg0161",1
1,"eg0002","eg0089",1
1,"eg0002","eg0056",3
1,"eg0002","eg0152",3
1,"eg0002","eg0089",3
1,"eg0002","eg0270",4
1,"eg0002","eg0164",4
1,"eg0002","eg0068",4
1,"eg0002","eg0164",5
1,"eg0002","eg0222",6
1,"eg0002","eg0161",7
1,"eg0002","eg0138",7
1,"eg0002","eg0162",7
1,"eg0002","eg0208",8
1,"eg0002","eg0197",8
1,"eg0002","eg0252",9
1,"eg0002","eg0262",9
1,"eg0002","eg0111",9
1,"eg0002","eg0287",10
1,"eg0002","eg0217",10
1,"eg0003","eg0220",1
1,"eg0003","eg0129",1
1,"eg0003","eg0156",1
1,"eg0003","eg0065",2
1,"eg0003","eg0031",2
1,"eg0003","eg0178",2
1,"eg0003","eg0051",3
1,"eg0003","eg0285",3
1,"eg0003","eg0225",5
1,"eg0003","eg0187",5
1,"eg0003","eg0217",6
1,"eg0003","eg0173",7
1,"eg0003","eg0225",7
1,"eg0003","eg0187",8
1,"eg0003","eg0282",9
1,"eg0003","eg0046",10
1,"eg0003","eg0175",10
1,"eg0004","eg0013",1
1,"eg0004","eg0149",1
1,"eg0004","eg0218",1
1,"eg0004","eg0155",2
1,"eg0004","eg0257",2
1,"eg0004","eg0058",3
1,"eg0004","eg0155",3
1,"eg0004","eg0022",3
1,"eg0004","eg0175",4
1,"eg0004","eg0005",4
1,"eg0004","eg0120",5
1,"eg0004","eg0106",5
1,"eg0004","eg0212",5
1,"eg0004","eg0286",6
1,"eg0004","eg0218",6
1,"eg0004","eg0217",6
1,"eg0004","eg0085",7
1,"eg0004","eg0101",7
1,"eg0004","eg0212",7
1,"eg0004","eg0042",7
1,"eg0004","eg0015",8
1,"eg0004","eg0164",8
1,"eg0004","eg0277",8
1,"eg0004","eg0225",9
1,"eg0004","eg0121",10
1,"eg0005","eg0238",2
1,"eg0005","eg0007",2
1,"eg0005","eg0164",2
1,"eg0005","eg0031",3
1,"eg0005","eg0107",4
1,"eg0005","eg0169",4
1,"eg0005","eg0149",4
1,"eg0005","eg0045",5
1,"eg0005","eg0077",5
1,"eg0005","eg0167",6
1,"eg0005","eg0026",8
1,"eg0005","eg0226",8
1,"eg0005","eg0217",9
1,"eg0007","eg0074",1
1,"eg0007","eg0287",1
1,"eg0007","eg0110",1
1,"eg0007","eg0139",2
1,"eg0007","eg0169",2
1,"eg0007","eg0001",2
1,"eg0007","eg0219",2
1,"eg0007","eg0264",4
1,"eg0007","eg0129",4
1,"eg0007","eg0282",4
1,"eg0007","eg0145",5
1,"eg0007","eg0227",7
1,"eg0007","eg0030",7
1,"eg0007","eg0195",7
1,"eg0007","eg0068",8
1,"eg0007","eg0203",8
1,"eg0007","eg0270",9
1,"eg0007","eg0022",9
1,"eg0007","eg0266",10
1,"eg0007","eg0021",10
1,"eg0008","eg0077",1
1,"eg0008","eg0215",2
1,"eg0008","eg0121",2
1,"eg0008","eg0061",4
1,"eg0008","eg0115",4
1,"eg0008","eg0112",5
1,"eg0008","eg0267",5
1,"eg0008","eg0021",6
1,"eg0008","eg0176",6
1,"eg0008","eg0067",7
1,"eg0008","eg0145",7
1,"eg0008","eg0002",7
1,"eg0008","eg0035",7
1,"eg0008","eg0272",8
1,"eg0008","eg0094",8
1,"eg0008","eg0162",10
1,"eg0010","eg0283",1
1,"eg0010","eg0199",1
1,"eg0010","eg0078",2
1,"eg0010","eg0101",3
1,"eg0010","eg0060",3
1,"eg0010","eg0034",3
1,"eg0010","eg0099",3
1,"eg0010","eg0225",4
1,"eg0010","eg0154",4
1,"eg0010","eg0072",5
1,"eg0010","eg0051",5
1,"eg0010","eg0204",6
1,"eg0010","eg0061",6
1,"eg0010","eg0128",6
1,"eg0010","eg0182",6
1,"eg0010","eg0214",7
1,"eg0010","eg0249",7
1,"eg0010","eg0112",7
1,"eg0010","eg0128",7
1,"eg0010","eg0026",8
1,"eg0010","eg0149",8
1,"eg0010","eg0219",8
1,"eg0010","eg0025",8
1,"eg0010","eg0121",9
1,"eg0010","eg0104",10
1,"eg0010","eg0228",10
1,"eg0011","eg0134",1
1,"eg0011","eg0005",1
1,"eg0011","eg0039",1
1,"eg0011","eg0067",1
1,"eg0011","eg0032",2
1,"eg0011","eg0097",3
1,"eg0011","eg0218",4
1,"eg0011","eg0088",4
1,"eg0011","eg0251",4
1,"eg0011","eg0096",4
1,"eg0011","eg0031",5
1,"eg0011","eg0045",5
1,"eg0011","eg0032",5
1,"eg0011","eg0252",6
1,"eg0011","eg0106",6
1,"eg0011","eg0002",6
1,"eg0011","eg0278",6
1,"eg0011","eg0111",7
1,"eg0011","eg0230",7
1,"eg0011","eg0107",7
1,"eg0011","eg0220",7
1,"eg0011","eg0182",8
1,"eg0011","eg0007",8
1,"eg0011","eg0131",8
1,"eg0011","eg0026",9
1,"eg0011","eg0173",9
1,"eg0012","eg0165",1
1,"eg0012","eg0001",1
1,"eg0012","eg0217",1
1,"eg0012","eg0150",2
1,"eg0012","eg0013",2
1,"eg0012","eg0123",2
1,"eg0012","eg0061",2
1,"eg0012","eg0052",3
1,"eg0012","eg0051",5
1,"eg0012","eg0072",6
1,"eg0012","eg0015",6
1,"eg0012","eg0266",7
1,"eg0012","eg0101",8
1,"eg0012","eg0007",8
1,"eg0012","eg0278",8
