"waveid","personid","alterid","tie"
1,"ex0001","ex0231",2
1,"ex0001","ex0016",5
1,"ex0001","ex0313",5
1,"ex0001","ex0366",5
1,"ex0001","ex0018",5
1,"ex0001","ex0147",7
1,"ex0001","ex0060",7
1,"ex0001","ex0017",7
1,"ex0001","ex0079",7
1,"ex0001","ex0273",9
1,"ex0001","ex0355",9
1,"ex0001","ex0194",9
1,"ex0001","ex0031",9
1,"ex0002","ex0350",1
1,"ex0002","ex0050",1
1,"ex0002","ex0297",1
1,"ex0002","ex0029",2
1,"ex0002","ex0058",2
1,"ex0002","ex0193",2
1,"ex0002","ex0016",2
1,"ex0002","ex0093",3
1,"ex0002","ex0058",3
1,"ex0002","ex0242",4
1,"ex0002","ex0011",4
1,"ex0002","ex0031",5
1,"ex0002","ex0293",6
1,"ex0002","ex0090",6
1,"ex0002","ex0312",7
1,"ex0002","ex0230",7
1,"ex0002","ex0116",7
1,"ex0002","ex0294",8
1,"ex0002","ex0348",8
1,"ex0002","ex0217",8
1,"ex0002","ex0144",8
1,"ex0002","ex0139",9
1,"ex0002","ex0318",9
1,"ex0002","ex0109",10
1,"ex0002","ex0356",10
1,"ex0002","ex0029",10
1,"ex0002","ex0051",10
1,"ex0004","ex0255",1
1,"ex0004","ex0275",2
1,"ex0004","ex0304",3
1,"ex0004","ex0314",4
1,"ex0004","ex0009",5
1,"ex0004","ex0334",5
1,"ex0004","ex0131",5
1,"ex0004","ex0019",6
1,"ex0004","ex0273",6
1,"ex0004","ex0237",8
1,"ex0004","ex0014",8
1,"ex0004","ex0095",8
1,"ex0004","ex0274",9
1,"ex0004","ex0122",9
1,"ex0004","ex0041",9
1,"ex0004","ex0151",9
1,"ex0004","ex0205",10
1,"ex0008","ex0191",4
1,"ex0008","ex0104",4
1,"ex0008","ex0174",4
1,"ex0008","ex0088",4
1,"ex0008","ex0286",5
1,"ex0008","ex0127",5
1,"ex0008","ex0298",5
1,"ex0008","ex0194",6
1,"ex0008","ex0223",6
1,"ex0008","ex0050",7
1,"ex0008","ex0043",7
1,"ex0008","ex0344",7
1,"ex0008","ex0009",7
1,"ex0008","ex0229",8
1,"ex0008","ex0044",9
1,"ex0008","ex0329",9
1,"ex0008","ex0306",9
1,"ex0008","ex0146",9
1,"ex0008","ex0123",10
1,"ex0008","ex0314",10
1,"ex0008","ex0320",10
1,"ex0008","ex0289",10
1,"ex0009","ex0343",1
1,"ex0009","ex0002",1
1,"ex0009","ex0303",2
1,"ex0009","ex0266",2
1,"ex0009","ex0177",2
1,"ex0009","ex0213",3
1,"ex0009","ex0075",3
1,"ex0009","ex0180",5
1,"ex0009","ex0229",5
1,"ex0009","ex0296",6
1,"ex0009","ex0037",6
1,"ex0009","ex0150",8
1,"ex0009","ex0342",8
1,"ex0009","ex0090",8
1,"ex0009","ex0040",8
1,"ex0009","ex0135",9
1,"ex0009","ex0021",9
1,"ex0009","ex0265",9
1,"ex0009","ex0250",10
1,"ex0009","ex0144",10
1,"ex0009","ex0029",10
1,"ex0009","ex0030",10
1,"ex0010","ex0252",1
1,"ex0010","ex0359",1
1,"ex0010","ex0037",1
1,"ex0010","ex0294",1
1,"ex0010","ex0061",4
1,"ex0010","ex0077",4
1,"ex0010","ex0204",4
1,"ex0010","ex0220",5
1,"ex0010","ex0350",5
1,"ex0010","ex0083",5
1,"ex0010","ex0320",5
1,"ex0010","ex0052",6
1,"ex0010","ex0180",6
1,"ex0010","ex0083",6
1,"ex0010","ex0128",7
1,"ex0010","ex0046",7
1,"ex0010","ex0210",7
1,"ex0010","ex0243",7
1,"ex0010","ex0205",8
1,"ex0010","ex0011",8
1,"ex0010","ex0191",10
1,"ex0010","ex0151",10
1,"ex0010","ex0020",10
1,"ex0011","ex0018",1
1,"ex0011","ex0277",1
1,"ex0011","ex0127",1
1,"ex0011","ex0218",3
1,"ex0011","ex0210",3
1,"ex0011","ex0040",3
1,"ex0011","ex0187",4
1,"ex0011","ex0085",4
1,"ex0011","ex0036",4
1,"ex0011","ex0161",4
1,"ex0011","ex0281",5
1,"ex0011","ex0199",6
1,"ex0011","ex0123",6
1,"ex0011","ex0272",6
1,"ex0011","ex0236",6
1,"ex0011","ex0253",8
1,"ex0011","ex0234",8
1,"ex0011","ex0030",9
1,"ex0011","ex0148",9
1,"ex0011","ex0177",9
1,"ex0011","ex0085",10
1,"ex0011","ex0182",10
1,"ex0011","ex0200",10
1,"ex0011","ex0340",10
1,"ex0012","ex0292",1
1,"ex0012","ex0020",2
1,"ex0012","ex0321",2
1,"ex0012","ex0143",2
1,"ex0012","ex0104",3
1,"ex0012","ex0282",3
1,"ex0012","ex0052",4
1,"ex0012","ex0149",4
1,"ex0012","ex0142",4
1,"ex0012","ex0301",4
1,"ex0012","ex0067",5
1,"ex0012","ex0298",5
1,"ex0012","ex0284",5
1,"ex0012","ex0176",5
1,"ex0012","ex0187",6
1,"ex0012","ex0046",6
1,"ex0012","ex0315",7
1,"ex0012","ex0301",7
1,"ex0012","ex0253",7
1,"ex0012","ex0091",8
1,"ex0012","ex0318",8
1,"ex0012","ex0133",8
1,"ex0012","ex0014",10
1,"ex0014","ex0276",1
1,"ex0014","ex0366",1
1,"ex0014","ex0284",1
1,"ex0014","ex0109",3
1,"ex0014","ex0168",3
1,"ex0014","ex0267",6
1,"ex0014","ex0231",6
1,"ex0014","ex0021",6
1,"ex0014","ex0273",7
1,"ex0014","ex0362",7
1,"ex0014","ex0136",7
1,"ex0014","ex0307",7
1,"ex0016","ex0293",1
1,"ex0016","ex0022",1
1,"ex0016","ex0082",1
