"waveid","personid","alterid","tie"
1,"si0001","si0130",1
1,"si0001","si0021",1
1,"si0001","si0127",1
1,"si0001","si0060",2
1,"si0001","si0026",2
1,"si0001","si0028",2
1,"si0001","si0150",3
1,"si0001","si0174",3
1,"si0001","si0171",3
1,"si0001","si0042",3
1,"si0001","si0046",4
1,"si0001","si0069",4
1,"si0001","si0124",4
1,"si0001","si0063",6
1,"si0001","si0043",6
1,"si0001","si0123",6
1,"si0001","si0167",6
1,"si0001","si0106",8
1,"si0001","si0010",8
1,"si0001","si0079",8
1,"si0001","si0130",8
1,"si0001","si0115",10
1,"si0001","si0049",10
1,"si0001","si0137",10
1,"si0001","si0127",10
1,"si0002","si0169",1
1,"si0002","si0123",1
1,"si0002","si0134",1
1,"si0002","si0063",1
1,"si0002","si0148",3
1,"si0002","si0027",4
1,"si0002","si0063",4
1,"si0002","si0009",4
1,"si0002","si0161",4
1,"si0002","si0108",5
1,"si0002","si0017",5
1,"si0002","si0123",5
1,"si0002","si0056",5
1,"si0002","si0180",6
1,"si0002","si0058",6
1,"si0002","si0136",6
1,"si0002","si0058",8
1,"si0002","si0172",8
1,"si0002","si0070",8
1,"si0002","si0163",9
1,"si0006","si0086",1
1,"si0006","si0183",1
1,"si0006","si0114",1
1,"si0006","si0086",2
1,"si0006","si0024",3
1,"si0006","si0046",4
1,"si0006","si0031",4
1,"si0006","si0183",5
1,"si0006","si0105",5
1,"si0006","si0039",6
1,"si0006","si0181",6
1,"si0006","si0167",6
1,"si0006","si0138",7
1,"si0006","si0043",7
1,"si0006","si0150",7
1,"si0006","si0133",7
1,"si0006","si0043",8
1,"si0006","si0052",8
1,"si0006","si0045",9
1,"si0006","si0089",9
1,"si0006","si0103",9
1,"si0006","si0105",9
1,"si0006","si0100",10
1,"si0006","si0111",10
1,"si0007","si0030",1
1,"si0007","si0014",1
1,"si0007","si0052",1
1,"si0007","si0136",1
1,"si0007","si0006",2
1,"si0007","si0176",3
1,"si0007","si0048",4
1,"si0007","si0172",5
1,"si0007","si0035",5
1,"si0007","si0099",6
1,"si0007","si0055",6
1,"si0007","si0052",7
1,"si0007","si0051",7
1,"si0007","si0133",8
1,"si0007","si0089",8
1,"si0007","si0134",9
1,"si0007","si0150",10
1,"si0007","si0025",10
1,"si0007","si0143",10
1,"si0007","si0119",10
1,"si0008","si0055",1
1,"si0008","si0181",2
1,"si0008","si0023",2
1,"si0008","si0011",2
1,"si0008","si0181",5
1,"si0008","si0144",5
1,"si0008","si0020",5
1,"si0008","si0093",5
1,"si0008","si0006",6
1,"si0008","si0080",6
1,"si0008","si0106",7
1,"si0008","si0060",7
1,"si0008","si0114",8
1,"si0008","si0113",8
1,"si0008","si0009",8
1,"si0008","si0138",10
1,"si0008","si0107",10
1,"si0009","si0181",1
1,"si0009","si0018",2
1,"si0009","si0113",2
1,"si0009","si0138",2
1,"si0009","si0026",3
1,"si0009","si0138",3
1,"si0009","si0015",3
1,"si0009","si0109",3
1,"si0009","si0031",4
1,"si0009","si0152",4
1,"si0009","si0112",4
1,"si0009","si0029",4
1,"si0009","si0055",5
1,"si0009","si0025",6
1,"si0009","si0130",6
1,"si0009","si0113",6
1,"si0009","si0152",7
1,"si0009","si0015",7
1,"si0009","si0137",7
1,"si0009","si0069",7
1,"si0009","si0083",8
1,"si0009","si0020",8
1,"si0009","si0179",10
1,"si0009","si0051",10
1,"si0009","si0121",10
1,"si0010","si0075",1
1,"si0010","si0180",1
1,"si0010","si0051",1
1,"si0010","si0175",2
1,"si0010","si0165",2
1,"si0010","si0117",2
1,"si0010","si0020",2
1,"si0010","si0029",3
1,"si0010","si0177",3
1,"si0010","si0035",6
1,"si0010","si0109",6
1,"si0010","si0144",6
1,"si0010","si0159",6
1,"si0010","si0008",7
1,"si0010","si0062",7
1,"si0010","si0175",7
1,"si0010","si0161",7
1,"si0010","si0123",9
1,"si0010","si0069",9
1,"si0010","si0179",9
1,"si0010","si0018",9
1,"si0010","si0074",10
1,"si0010","si0166",10
1,"si0010","si0141",10
1,"si0011","si0179",1
1,"si0011","si0152",1
1,"si0011","si0138",1
1,"si0011","si0092",1
1,"si0011","si0058",2
1,"si0011","si0142",2
1,"si0011","si0097",3
1,"si0011","si0062",3
1,"si0011","si0109",3
