"waveid","personid","alterid","tie"
1,"sm0001","sm0288",1
1,"sm0001","sm0040",1
1,"sm0001","sm0139",4
1,"sm0001","sm0200",4
1,"sm0001","sm0329",5
1,"sm0001","sm0282",5
1,"sm0001","sm0379",5
1,"sm0001","sm0237",5
1,"sm0001","sm0198",6
1,"sm0001","sm0164",6
1,"sm0001","sm0449",7
1,"sm0001","sm0216",7
1,"sm0001","sm0036",9
1,"sm0001","sm0120",9
1,"sm0001","sm0097",9
1,"sm0001","sm0248",9
1,"sm0001","sm0451",10
1,"sm0002","sm0354",2
1,"sm0002","sm0138",2
1,"sm0002","sm0448",2
1,"sm0002","sm0052",2
1,"sm0002","sm0084",3
1,"sm0002","sm0029",3
1,"sm0002","sm0212",3
1,"sm0002","sm0016",3
1,"sm0002","sm0461",5
1,"sm0002","sm0348",5
1,"sm0002","sm0421",5
1,"sm0002","sm0324",5
1,"sm0002","sm0197",6
1,"sm0002","sm0210",6
1,"sm0002","sm0219",6
1,"sm0002","sm0262",6
1,"sm0002","sm0051",9
1,"sm0002","sm0076",9
1,"sm0002","sm0140",10
1,"sm0002","sm0430",10
1,"sm0003","sm0030",1
1,"sm0003","sm0139",1
1,"sm0003","sm0370",1
1,"sm0003","sm0158",2
1,"sm0003","sm0304",2
1,"sm0003","sm0197",3
1,"sm0003","sm0016",3
1,"sm0003","sm0150",3
1,"sm0003","sm0232",3
1,"sm0003","sm0363",6
1,"sm0003","sm0291",6
1,"sm0003","sm0157",6
1,"sm0003","sm0164",6
1,"sm0003","sm0112",7
1,"sm0003","sm0414",7
1,"sm0003","sm0063",7
1,"sm0003","sm0259",8
1,"sm0003","sm0204",10
1,"sm0003","sm0298",10
1,"sm0003","sm0183",10
1,"sm0006","sm0180",1
1,"sm0006","sm0333",1
1,"sm0006","sm0359",1
1,"sm0006","sm0007",2
1,"sm0006","sm0406",3
1,"sm0006","sm0232",4
1,"sm0006","sm0002",4
1,"sm0006","sm0242",5
1,"sm0006","sm0092",5
1,"sm0006","sm0405",5
1,"sm0006","sm0348",5
1,"sm0006","sm0127",6
1,"sm0006","sm0060",8
1,"sm0006","sm0484",8
1,"sm0006","sm0019",8
1,"sm0006","sm0443",8
1,"sm0006","sm0266",9
1,"sm0006","sm0247",9
1,"sm0006","sm0379",9
1,"sm0007","sm0198",1
1,"sm0007","sm0127",1
1,"sm0007","sm0256",2
1,"sm0007","sm0163",2
1,"sm0007","sm0232",2
1,"sm0007","sm0242",2
1,"sm0007","sm0144",3
1,"sm0007","sm0435",3
1,"sm0007","sm0126",4
1,"sm0007","sm0478",5
1,"sm0007","sm0252",5
1,"sm0007","sm0262",5
1,"sm0007","sm0062",5
1,"sm0007","sm0039",6
1,"sm0007","sm0429",8
1,"sm0007","sm0084",8
1,"sm0007","sm0216",8
1,"sm0007","sm0097",9
1,"sm0007","sm0068",10
1,"sm0007","sm0415",10
1,"sm0007","sm0451",10
1,"sm0010","sm0191",3
1,"sm0010","sm0280",3
1,"sm0010","sm0118",3
1,"sm0010","sm0452",3
1,"sm0010","sm0248",4
1,"sm0010","sm0180",4
1,"sm0010","sm0457",4
1,"sm0010","sm0271",4
1,"sm0010","sm0150",5
1,"sm0010","sm0209",5
1,"sm0010","sm0490",5
1,"sm0010","sm0013",6
1,"sm0010","sm0126",6
1,"sm0010","sm0283",6
1,"sm0010","sm0133",6
1,"sm0010","sm0302",9
1,"sm0010","sm0416",10
1,"sm0010","sm0276",10
1,"sm0010","sm0127",10
1,"sm0012","sm0288",1
1,"sm0012","sm0463",1
1,"sm0012","sm0118",1
1,"sm0012","sm0007",3
1,"sm0012","sm0262",5
1,"sm0012","sm0317",5
1,"sm0012","sm0359",6
1,"sm0012","sm0097",6
1,"sm0012","sm0435",6
1,"sm0012","sm0072",6
1,"sm0012","sm0306",7
1,"sm0012","sm0216",7
1,"sm0012","sm0113",7
1,"sm0012","sm0325",8
1,"sm0012","sm0411",8
1,"sm0012","sm0378",8
1,"sm0012","sm0224",9
1,"sm0012","sm0470",9
1,"sm0012","sm0123",9
1,"sm0012","sm0384",9
1,"sm0013","sm0462",2
1,"sm0013","sm0041",2
1,"sm0013","sm0476",2
1,"sm0013","sm0434",3
1,"sm0013","sm0113",4
1,"sm0013","sm0157",4
1,"sm0013","sm0242",4
1,"sm0013","sm0424",4
1,"sm0013","sm0282",5
1,"sm0013","sm0425",5
1,"sm0013","sm0202",5
1,"sm0013","sm0379",6
1,"sm0013","sm0227",6
1,"sm0013","sm0360",7
1,"sm0013","sm0420",7
1,"sm0013","sm0105",7
1,"sm0013","sm0490",8
1,"sm0013","sm0041",8
1,"sm0013","sm0053",9
1,"sm0013","sm0109",9
1,"sm0013","sm0230",9
1,"sm0013","sm0127",10
1,"sm0016","sm0470",1
1,"sm0016","sm0077",2
1,"sm0016","sm0079",2
1,"sm0016","sm0352",3
1,"sm0016","sm0470",3
1,"sm0016","sm0167",3
1,"sm0016","sm0337",4
1,"sm0016","sm0067",4
1,"sm0016","sm0022",5
1,"sm0016","sm0489",6
1,"sm0016","sm0478",7
1,"sm0016","sm0363",7
1,"sm0016","sm0280",7
1,"sm0016","sm0100",7
1,"sm0016","sm0321",9
1,"sm0016","sm0217",10
1,"sm0016","sm0199",10
1,"sm0017","sm0281",2
1,"sm0017","sm0154",2
1,"sm0017","sm0275",3
1,"sm0017","sm0466",3
1,"sm0017","sm0025",3
1,"sm0017","sm0299",4
1,"sm0017","sm0358",4
1,"sm0017","sm0411",5
1,"sm0017","sm0258",5
1,"sm0017","sm0421",5
1,"sm0017","sm0293",6
1,"sm0017","sm0188",6
1,"sm0017","sm0383",7
1,"sm0017","sm0358",7
1,"sm0017","sm0200",7
1,"sm0017","sm0072",8
1,"sm0017","sm0352",8
1,"sm0017","sm0007",8
1,"sm0017","sm0071",9
1,"sm0017","sm0421",10
1,"sm0019","sm0157",2
1,"sm0019","sm0122",2
1,"sm0019","sm0254",2
1,"sm0019","sm0258",2
1,"sm0019","sm0101",3
1,"sm0019","sm0074",3
1,"sm0019","sm0091",3
1,"sm0019","sm0156",3
1,"sm0019","sm0158",4
1,"sm0019","sm0416",4
1,"sm0019","sm0405",4
1,"sm0019","sm0068",4
1,"sm0019","sm0349",5
1,"sm0019","sm0021",5
1,"sm0019","sm0241",5
1,"sm0019","sm0416",5
1,"sm0019","sm0197",6
1,"sm0019","sm0025",6
1,"sm0019","sm0012",7
1,"sm0019","sm0277",7
1,"sm0019","sm0170",7
1,"sm0019","sm0269",7
1,"sm0019","sm0033",8
1,"sm0019","sm0248",8
1,"sm0019","sm0354",8
1,"sm0019","sm0050",9
1,"sm0019","sm0476",9
1,"sm0019","sm0300",10
1,"sm0019","sm0116",10
1,"sm0020","sm0218",1
1,"sm0020","sm0484",1
1,"sm0020","sm0071",1
1,"sm0020","sm0079",2
1,"sm0020","sm0222",2
1,"sm0020","sm0100",2
1,"sm0020","sm0442",2
1,"sm0020","sm0109",4
1,"sm0020","sm0191",5
1,"sm0020","sm0262",5
1,"sm0020","sm0370",5
1,"sm0020","sm0298",5
1,"sm0020","sm0428",6
1,"sm0020","sm0143",6
1,"sm0020","sm0147",6
1,"sm0020","sm0106",6
1,"sm0020","sm0342",7
1,"sm0020","sm0242",7
1,"sm0020","sm0250",7
1,"sm0020","sm0178",7
1,"sm0020","sm0415",9
1,"sm0020","sm0340",9
1,"sm0020","sm0349",9
1,"sm0020","sm0351",10
1,"sm0020","sm0016",10
1,"sm0021","sm0104",1
1,"sm0021","sm0086",2
1,"sm0021","sm0316",2
1,"sm0021","sm0197",2
1,"sm0021","sm0041",2
1,"sm0021","sm0473",3
1,"sm0021","sm0431",5
1,"sm0021","sm0316",7
1,"sm0021","sm0438",7
1,"sm0021","sm0181",7
1,"sm0021","sm0364",7
1,"sm0021","sm0061",8
1,"sm0021","sm0040",8
1,"sm0021","sm0124",8
1,"sm0021","sm0225",9
1,"sm0021","sm0376",10
1,"sm0022","sm0170",1
1,"sm0022","sm0144",1
1,"sm0022","sm0233",1
1,"sm0022","sm0051",2
1,"sm0022","sm0096",2
1,"sm0022","sm0160",2
1,"sm0022","sm0062",3
1,"sm0022","sm0418",3
1,"sm0022","sm0377",4
1,"sm0022","sm0255",4
1,"sm0022","sm0101",5
1,"sm0022","sm0263",7
1,"sm0022","sm0196",7
1,"sm0022","sm0033",9
1,"sm0022","sm0363",9
1,"sm0024","sm0092",1
1,"sm0024","sm0200",3
1,"sm0024","sm0225",3
1,"sm0024","sm0110",3
1,"sm0024","sm0006",4
1,"sm0024","sm0255",4
1,"sm0024","sm0293",5
1,"sm0024","sm0220",5
1,"sm0024","sm0329",5
1,"sm0024","sm0480",5
1,"sm0024","sm0289",7
1,"sm0024","sm0126",7
1,"sm0024","sm0410",8
1,"sm0024","sm0123",10
1,"sm0025","sm0080",2
1,"sm0025","sm0020",2
1,"sm0025","sm0191",2
1,"sm0025","sm0196",2
1,"sm0025","sm0059",3
1,"sm0025","sm0199",3
1,"sm0025","sm0147",3
1,"sm0025","sm0148",5
1,"sm0025","sm0163",5
1,"sm0025","sm0248",6
1,"sm0025","sm0337",6
1,"sm0025","sm0401",6
1,"sm0025","sm0188",6
1,"sm0025","sm0118",8
1,"sm0025","sm0266",8
1,"sm0025","sm0131",8
1,"sm0025","sm0163",9
1,"sm0025","sm0269",10
1,"sm0025","sm0064",10
1,"sm0025","sm0191",10
1,"sm0028","sm0199",1
1,"sm0028","sm0152",1
1,"sm0028","sm0143",1
1,"sm0028","sm0414",1
1,"sm0028","sm0071",2
1,"sm0028","sm0484",3
1,"sm0028","sm0041",3
1,"sm0028","sm0113",3
1,"sm0028","sm0118",4
1,"sm0028","sm0062",4
1,"sm0028","sm0230",4
1,"sm0028","sm0301",4
1,"sm0028","sm0258",5
1,"sm0028","sm0054",5
1,"sm0028","sm0397",5
1,"sm0028","sm0198",5
1,"sm0028","sm0414",6
1,"sm0028","sm0068",8
1,"sm0028","sm0473",8
1,"sm0028","sm0119",8
1,"sm0028","sm0200",9
1,"sm0028","sm0203",9
1,"sm0028","sm0349",9
1,"sm0028","sm0282",9
1,"sm0028","sm0333",10
1,"sm0028","sm0150",10
1,"sm0028","sm0112",10
1,"sm0029","sm0048",3
1,"sm0029","sm0109",3
1,"sm0029","sm0022",3
1,"sm0029","sm0306",3
1,"sm0029","sm0366",4
1,"sm0029","sm0216",5
1,"sm0029","sm0372",5
1,"sm0029","sm0262",5
1,"sm0029","sm0299",5
1,"sm0029","sm0068",6
1,"sm0029","sm0176",6
1,"sm0029","sm0159",6
1,"sm0029","sm0463",7
1,"sm0029","sm0013",8
1,"sm0029","sm0051",8
1,"sm0029","sm0344",8
1,"sm0029","sm0106",8
1,"sm0029","sm0484",10
1,"sm0029","sm0228",10
1,"sm0029","sm0282",10
1,"sm0029","sm0185",10
1,"sm0030","sm0264",4
1,"sm0030","sm0316",5
1,"sm0030","sm0309",5
1,"sm0030","sm0468",5
1,"sm0030","sm0428",5
1,"sm0030","sm0308",8
1,"sm0030","sm0343",8
1,"sm0030","sm0021",9
1,"sm0031","sm0352",1
1,"sm0031","sm0465",3
1,"sm0031","sm0071",3
1,"sm0031","sm0210",3
1,"sm0031","sm0291",4
1,"sm0031","sm0117",4
1,"sm0031","sm0200",4
1,"sm0031","sm0461",5
1,"sm0031","sm0474",5
1,"sm0031","sm0048",6
1,"sm0031","sm0040",6
1,"sm0031","sm0238",6
1,"sm0031","sm0355",6
1,"sm0031","sm0429",7
1,"sm0031","sm0157",7
1,"sm0031","sm0416",7
1,"sm0031","sm0250",8
1,"sm0031","sm0377",8
1,"sm0031","sm0256",8
1,"sm0031","sm0347",9
1,"sm0031","sm0333",9
1,"sm0031","sm0238",9
1,"sm0031","sm0219",10
1,"sm0031","sm0429",10
1,"sm0031","sm0156",10
1,"sm0033","sm0229",1
1,"sm0033","sm0188",1
1,"sm0033","sm0153",1
1,"sm0033","sm0040",2
1,"sm0033","sm0128",3
1,"sm0033","sm0288",3
1,"sm0033","sm0101",4
1,"sm0033","sm0143",5
1,"sm0033","sm0343",5
1,"sm0033","sm0125",5
1,"sm0033","sm0185",5
1,"sm0033","sm0351",6
1,"sm0033","sm0227",7
1,"sm0033","sm0131",7
1,"sm0033","sm0030",7
1,"sm0033","sm0003",7
1,"sm0033","sm0270",8
1,"sm0033","sm0319",9
1,"sm0033","sm0094",9
1,"sm0033","sm0432",9
1,"sm0033","sm0364",10
1,"sm0034","sm0197",1
1,"sm0034","sm0124",1
1,"sm0034","sm0432",2
1,"sm0034","sm0230",3
1,"sm0034","sm0143",3
1,"sm0034","sm0427",3
1,"sm0034","sm0238",4
1,"sm0034","sm0010",4
1,"sm0034","sm0413",4
1,"sm0034","sm0371",4
1,"sm0034","sm0270",5
1,"sm0034","sm0007",5
1,"sm0034","sm0116",5
1,"sm0034","sm0326",6
1,"sm0034","sm0213",7
1,"sm0034","sm0385",7
1,"sm0034","sm0495",7
1,"sm0034","sm0051",7
1,"sm0034","sm0308",8
1,"sm0034","sm0225",8
1,"sm0034","sm0322",8
1,"sm0034","sm0080",8
1,"sm0034","sm0228",9
1,"sm0034","sm0196",9
1,"sm0034","sm0010",9
1,"sm0034","sm0227",9
1,"sm0034","sm0202",10
1,"sm0034","sm0191",10
1,"sm0035","sm0458",1
1,"sm0035","sm0163",2
1,"sm0035","sm0452",2
1,"sm0035","sm0251",2
1,"sm0035","sm0312",3
1,"sm0035","sm0076",3
1,"sm0035","sm0188",6
1,"sm0035","sm0364",7
1,"sm0035","sm0139",8
1,"sm0035","sm0036",8
1,"sm0035","sm0289",8
1,"sm0035","sm0077",8
1,"sm0035","sm0138",10
1,"sm0036","sm0342",1
1,"sm0036","sm0269",2
1,"sm0036","sm0319",2
1,"sm0036","sm0498",2
1,"sm0036","sm0180",3
1,"sm0036","sm0342",3
1,"sm0036","sm0293",3
1,"sm0036","sm0317",3
1,"sm0036","sm0174",4
1,"sm0036","sm0034",5
1,"sm0036","sm0154",5
1,"sm0036","sm0074",5
1,"sm0036","sm0385",6
1,"sm0036","sm0393",6
1,"sm0036","sm0071",6
1,"sm0036","sm0494",7
1,"sm0036","sm0222",8
1,"sm0036","sm0002",8
1,"sm0036","sm0152",9
1,"sm0036","sm0427",9
1,"sm0036","sm0040",9
1,"sm0036","sm0417",10
1,"sm0036","sm0047",10
1,"sm0036","sm0452",10
1,"sm0037","sm0288",2
1,"sm0037","sm0298",2
1,"sm0037","sm0313",3
1,"sm0037","sm0159",4
1,"sm0037","sm0333",4
1,"sm0037","sm0053",5
1,"sm0037","sm0424",5
1,"sm0037","sm0212",5
1,"sm0037","sm0327",5
1,"sm0037","sm0039",6
