"waveid","individ_i","individ_j","status"
1,"eg0001","eg0002","married"
1,"eg0007","eg0008","married"
1,"eg0011","eg0012","married"
1,"eg0018","eg0019","married"
1,"eg0025","eg0026","married"
1,"eg0030","eg0031","married"
1,"eg0035","eg0036","married"
1,"eg0042","eg0043","married"
1,"eg0047","eg0048","married"
1,"eg0051","eg0052","married"
1,"eg0056","eg0057","married"
1,"eg0059","eg0060","married"
1,"eg0062","eg0063","married"
1,"eg0067","eg0068","married"
1,"eg0072","eg0073","married"
1,"eg0077","eg0078","married"
1,"eg0084","eg0085","married"
1,"eg0089","eg0090","married"
1,"eg0096","eg0097","married"
1,"eg0099","eg0100","married"
1,"eg0104","eg0105","married"
1,"eg0110","eg0111","married"
1,"eg0114","eg0115","married"
1,"eg0117","eg0118","married"
1,"eg0120","eg0121","married"
1,"eg0123","eg0124","married"
1,"eg0128","eg0129","married"
1,"eg0132","eg0133","married"
1,"eg0138","eg0139","married"
1,"eg0145","eg0146","married"
1,"eg0148","eg0149","married"
1,"eg0153","eg0154","married"
1,"eg0159","eg0160","married"
1,"eg0164","eg0165","married"
1,"eg0167","eg0168","married"
1,"eg0172","eg0173","married"
1,"eg0175","eg0176","married"
1,"eg0178","eg0179","married"
1,"eg0185","eg0186","married"
1,"eg0188","eg0189","married"
1,"eg0194","eg0195","married"
1,"eg0197","eg0198","married"
1,"eg0203","eg0204","married"
1,"eg0207","eg0208","married"
1,"eg0211","eg0212","married"
1,"eg0216","eg0217","married"
1,"eg0219","eg0220","married"
1,"eg0222","eg0223","married"
1,"eg0226","eg0227","married"
1,"eg0232","eg0233","married"
1,"eg0237","eg0238","married"
1,"eg0244","eg0245","married"
1,"eg0251","eg0252","married"
1,"eg0257","eg0258","married"
1,"eg0264","eg0265","married"
1,"eg0269","eg0270","married"
1,"eg0274","eg0275","married"
1,"eg0277","eg0278","married"
1,"eg0284","eg0285","married"
1,"eg0289","eg0290","married"
