"waveid","individ_i","individ_j","status"
1,"ex0001","ex0002","married"
1,"ex0008","ex0009","married"
1,"ex0011","ex0012","married"
1,"ex0016","ex0017","married"
1,"ex0019","ex0020","married"
1,"ex0022","ex0023","married"
1,"ex0029","ex0030","married"
1,"ex0036","ex0037","married"
1,"ex0041","ex0042","married"
1,"ex0046","ex0047","married"
1,"ex0050","ex0051","married"
1,"ex0056","ex0057","married"
1,"ex0060","ex0061","married"
1,"ex0067","ex0068","married"
1,"ex0074","ex0075","married"
1,"ex0078","ex0079","married"
1,"ex0084","ex0085","married"
1,"ex0088","ex0089","married"
1,"ex0091","ex0092","married"
1,"ex0098","ex0099","married"
1,"ex0103","ex0104","married"
1,"ex0108","ex0109","married"
1,"ex0115","ex0116","married"
1,"ex0121","ex0122","married"
1,"ex0127","ex0128","married"
1,"ex0133","ex0134","married"
1,"ex0139","ex0140","married"
1,"ex0146","ex0147","married"
1,"ex0149","ex0150","married"
1,"ex0154","ex0155","married"
1,"ex0160","ex0161","married"
1,"ex0167","ex0168","married"
1,"ex0170","ex0171","married"
1,"ex0176","ex0177","married"
1,"ex0180","ex0181","married"
1,"ex0187","ex0188","married"
1,"ex0193","ex0194","married"
1,"ex0198","ex0199","married"
1,"ex0204","ex0205","married"
1,"ex0209","ex0210","married"
1,"ex0216","ex0217","married"
1,"ex0221","ex0222","married"
1,"ex0227","ex0228","married"
1,"ex0230","ex0231","married"
1,"ex0236","ex0237","married"
1,"ex0242","ex0243","married"
1,"ex0249","ex0250","married"
1,"ex0252","ex0253","married"
1,"ex0258","ex0259","married"
1,"ex0262","ex0263","married"
1,"ex0266","ex0267","married"
1,"ex0273","ex0274","married"
1,"ex0280","ex0281","married"
1,"ex0286","ex0287","married"
1,"ex0292","ex0293","married"
1,"ex0295","ex0296","married"
1,"ex0300","ex0301","married"
1,"ex0307","ex0308","married"
1,"ex0312","ex0313","married"
1,"ex0315","ex0316","married"
1,"ex0320","ex0321","married"
1,"ex0327","ex0328","married"
1,"ex0334","ex0335","married"
1,"ex0338","ex0339","married"
1,"ex0344","ex0345","married"
1,"ex0349","ex0350","married"
1,"ex0355","ex0356","married"
1,"ex0359","ex0360","married"
1,"ex0362","ex0363","married"
1,"ex0366","ex0367","married"
