"waveid","individ_i","individ_j","status"
1,"si0001","si0002","married"
1,"si0008","si0009","married"
1,"si0014","si0015","married"
1,"si0017","si0018","married"
1,"si0020","si0021","married"
1,"si0023","si0024","married"
1,"si0026","si0027","married"
1,"si0030","si0031","married"
1,"si0034","si0035","married"
1,"si0038","si0039","married"
1,"si0042","si0043","married"
1,"si0045","si0046","married"
1,"si0048","si0049","married"
1,"si0051","si0052","married"
1,"si0056","si0057","married"
1,"si0063","si0064","married"
1,"si0069","si0070","married"
1,"si0076","si0077","married"
1,"si0079","si0080","married"
1,"si0082","si0083","married"
1,"si0086","si0087","married"
1,"si0093","si0094","married"
1,"si0097","si0098","married"
1,"si0102","si0103","married"
1,"si0105","si0106","married"
1,"si0108","si0109","married"
1,"si0111","si0112","married"
1,"si0115","si0116","married"
1,"si0121","si0122","married"
1,"si0126","si0127","married"
1,"si0133","si0134","married"
1,"si0138","si0139","married"
1,"si0143","si0144","married"
1,"si0148","si0149","married"
1,"si0154","si0155","married"
1,"si0161","si0162","married"
1,"si0165","si0166","married"
1,"si0171","si0172","married"
1,"si0176","si0177","married"
1,"si0180","si0181","married"
