"waveid","individ_i","individ_j","status"
1,"sm0001","sm0002","married"
1,"sm0006","sm0007","married"
1,"sm0012","sm0013","married"
1,"sm0016","sm0017","married"
1,"sm0020","sm0021","married"
1,"sm0024","sm0025","married"
1,"sm0029","sm0030","married"
1,"sm0036","sm0037","married"
1,"sm0040","sm0041","married"
1,"sm0046","sm0047","married"
1,"sm0051","sm0052","married"
1,"sm0058","sm0059","married"
1,"sm0062","sm0063","married"
1,"sm0067","sm0068","married"
1,"sm0071","sm0072","married"
1,"sm0076","sm0077","married"
1,"sm0079","sm0080","married"
1,"sm0086","sm0087","married"
1,"sm0093","sm0094","married"
1,"sm0100","sm0101","married"
1,"sm0105","sm0106","married"
1,"sm0112","sm0113","married"
1,"sm0116","sm0117","married"
1,"sm0120","sm0121","married"
1,"sm0123","sm0124","married"
1,"sm0127","sm0128","married"
1,"sm0132","sm0133","married"
1,"sm0138","sm0139","married"
1,"sm0143","sm0144","married"
1,"sm0147","sm0148","married"
1,"sm0152","sm0153","married"
1,"sm0159","sm0160","married"
1,"sm0163","sm0164","married"
1,"sm0169","sm0170","married"
1,"sm0175","sm0176","married"
1,"sm0180","sm0181","married"
1,"sm0186","sm0187","married"
1,"sm0191","sm0192","married"
1,"sm0197","sm0198","married"
1,"sm0203","sm0204","married"
1,"sm0209","sm0210","married"
1,"sm0212","sm0213","married"
1,"sm0217","sm0218","married"
1,"sm0222","sm0223","married"
1,"sm0228","sm0229","married"
1,"sm0232","sm0233","married"
1,"sm0237","sm0238","married"
1,"sm0242","sm0243","married"
1,"sm0247","sm0248","married"
1,"sm0250","sm0251","married"
1,"sm0253","sm0254","married"
1,"sm0258","sm0259","married"
1,"sm0263","sm0264","married"
1,"sm0269","sm0270","married"
1,"sm0275","sm0276","married"
1,"sm0281","sm0282","married"
1,"sm0288","sm0289","married"
1,"sm0293","sm0294","married"
1,"sm0298","sm0299","married"
1,"sm0301","sm0302","married"
1,"sm0308","sm0309","married"
1,"sm0312","sm0313","married"
1,"sm0316","sm0317","married"
1,"sm0321","sm0322","married"
1,"sm0324","sm0325","married"
1,"sm0329","sm0330","married"
1,"sm0332","sm0333","married"
1,"sm0339","sm0340","married"
1,"sm0342","sm0343","married"
1,"sm0348","sm0349","married"
1,"sm0354","sm0355","married"
1,"sm0359","sm0360","married"
1,"sm0363","sm0364","married"
1,"sm0366","sm0367","married"
1,"sm0370","sm0371","married"
1,"sm0377","sm0378","married"
1,"sm0384","sm0385","married"
1,"sm0389","sm0390","married"
1,"sm0393","sm0394","married"
1,"sm0400","sm0401","married"
1,"sm0404","sm0405","married"
1,"sm0410","sm0411","married"
1,"sm0413","sm0414","married"
1,"sm0416","sm0417","married"
1,"sm0420","sm0421","married"
1,"sm0425","sm0426","married"
1,"sm0431","sm0432","married"
1,"sm0434","sm0435","married"
1,"sm0437","sm0438","married"
1,"sm0444","sm0445","married"
1,"sm0451","sm0452","married"
1,"sm0457","sm0458","married"
1,"sm0461","sm0462","married"
1,"sm0465","sm0466","married"
1,"sm0468","sm0469","married"
1,"sm0473","sm0474","married"
1,"sm0477","sm0478","married"
1,"sm0483","sm0484","married"
1,"sm0488","sm0489","married"
1,"sm0494","sm0495","married"
