"waveid","personid","su_id","birth_year","age","gender","status","group_id","external_wealth","relationshiptohh","head","marital_status","years_education","other_noetic","occupation","work_ability","location","is_resident","is_alive"
1,"eg0001","egsu001",1968,55,"male",0,"groupC",NA,"focal",1,"married",2,NA,NA,"none","community",1,1
1,"eg0002","egsu001",1980,43,"female",0,"groupC",NA,"wife",1,"widowed",5,NA,"labourer","full","community",1,1
1,"eg0003","egsu001",2000,23,"male",0,"groupA",NA,"daughter",0,"widowed",3,NA,"homemaker","full","community",1,1
1,"eg0004","egsu001",2008,15,"female",1,"groupB",NA,"father",0,"unmarried",6,NA,"trader","full","community",1,1
1,"eg0005","egsu001",2000,23,"female",0,"groupB",NA,"grandchild",0,"married",1,NA,"herder","full","community",1,1
1,"eg0006","egsu001",2009,14,"male",0,"groupB",NA,"son",0,"unmarried",1,NA,NA,"full","community",1,1
1,"eg0007","egsu002",1967,56,"male",0,"groupA",NA,"focal",1,"unmarried",2,NA,"herder","full","community",1,1
1,"eg0008","egsu002",1973,50,"female",0,"groupA",NA,"wife",1,"married",6,NA,"farmer","full","community",1,1
1,"eg0009","egsu002",2015,8,"male",0,"groupC",NA,"mother",0,"unmarried",7,NA,NA,"moderate","community",1,1
1,"eg0010","egsu002",2008,15,"female",0,"groupA",NA,"grandchild",0,"unmarried",3,NA,"homemaker","full","community",1,1
1,"eg0011","egsu003",1967,56,"male",0,"groupC",NA,"focal",1,"married",1,NA,NA,"full","community",1,1
1,"eg0012","egsu003",1970,53,"female",0,"groupC",NA,"wife",1,"unmarried",11,NA,"homemaker","full","community",1,1
1,"eg0013","egsu003",1999,24,"male",0,"groupB",NA,"mother",0,"widowed",5,NA,"teacher","moderate","community",1,1
1,"eg0014","egsu003",2009,14,"male",0,"groupA",NA,"daughter",0,"unmarried",12,NA,NA,"full","community",1,1
1,"eg0015","egsu003",2000,23,"male",0,"groupA",NA,"father",0,"married",5,NA,"trader","full","community",1,1
1,"eg0016","egsu003",2012,11,"female",0,"groupC",NA,"daughter",0,"unmarried",12,NA,NA,"full","community",1,1
