"waveid","personid","su_id","birth_year","age","gender","status","group_id","external_wealth","relationshiptohh","head","marital_status","years_education","other_noetic","occupation","work_ability","location","is_resident","is_alive"
1,"ex0001","exsu001",1975,48,"male",0,"groupB",NA,"focal",1,"widowed",1,NA,"farmer","full","community",1,1
1,"ex0002","exsu001",1974,49,"female",0,"groupA",NA,"wife",1,"widowed",5,NA,"herder","full","community",1,1
1,"ex0003","exsu001",2010,13,"female",0,"groupA",NA,"son",0,"unmarried",8,NA,NA,"full","community",1,1
1,"ex0004","exsu001",2002,21,"male",0,"groupA",NA,"mother",0,"unmarried",11,NA,"trader","full","community",1,1
1,"ex0005","exsu001",2020,3,"female",1,"groupB",NA,"daughter",0,"unmarried",0,NA,NA,"full","community",1,1
1,"ex0006","exsu001",2019,4,"female",0,"groupC",NA,"son",0,"unmarried",0,NA,NA,"full","community",1,1
1,"ex0007","exsu001",2018,5,"male",1,"groupA",NA,"father",0,"unmarried",0,NA,NA,"full","community",1,1
1,"ex0008","exsu002",1969,54,"male",1,"groupC",NA,"focal",1,"widowed",0,NA,"student","moderate","community",1,1
1,"ex0009","exsu002",1984,39,"female",0,"groupA",NA,"wife",1,"unmarried",4,NA,"student","moderate","community",1,1
1,"ex0010","exsu002",2002,21,"female",0,"groupA",NA,"father",0,"unmarried",8,NA,"homemaker","none","community",1,1
1,"ex0011","exsu003",1972,51,"male",1,"groupC",NA,"focal",1,"married",9,NA,"homemaker","moderate","community",1,1
1,"ex0012","exsu003",1973,50,"female",0,"groupC",NA,"wife",1,"married",4,NA,"farmer","moderate","community",1,1
1,"ex0013","exsu003",2009,14,"male",1,"groupC",NA,"mother",0,"unmarried",2,NA,NA,"full","community",1,1
1,"ex0014","exsu003",2002,21,"female",0,"groupA",NA,"father",0,"widowed",10,NA,"homemaker","moderate","community",1,1
1,"ex0015","exsu003",2010,13,"female",0,"groupB",NA,"daughter",0,"unmarried",0,NA,NA,"moderate","community",1,1
1,"ex0016","exsu004",1987,36,"male",0,"groupB",NA,"focal",1,"married",8,NA,"labourer","full","community",1,1
1,"ex0017","exsu004",1974,49,"female",0,"groupC",NA,"wife",1,"married",7,NA,"herder","moderate","community",1,1
1,"ex0018","exsu004",1999,24,"female",0,"groupC",NA,"father",0,"widowed",12,NA,"herder","full","community",1,1
1,"ex0019","exsu005",1972,51,"male",0,"groupB",NA,"focal",1,"widowed",5,NA,"homemaker","none","community",1,1
1,"ex0020","exsu005",1976,47,"female",0,"groupC",NA,"wife",1,"widowed",8,NA,"homemaker","moderate","community",1,1
1,"ex0021","exsu005",2000,23,"male",1,"groupA",NA,"daughter",0,"married",12,NA,NA,"full","community",1,1
1,"ex0022","exsu006",1988,35,"male",0,"groupA",NA,"focal",1,"unmarried",3,NA,"student","none","community",1,1
1,"ex0023","exsu006",1973,50,"female",0,"groupB",NA,"wife",1,"married",7,NA,"herder","full","community",1,1
1,"ex0024","exsu006",2022,1,"female",0,"groupC",NA,"grandchild",0,"unmarried",0,NA,NA,"moderate","community",1,1
1,"ex0025","exsu006",2017,6,"female",0,"groupC",NA,"grandchild",0,"unmarried",6,NA,NA,"none","community",1,1
1,"ex0026","exsu006",2002,21,"female",0,"groupC",NA,"grandchild",0,"unmarried",8,NA,"herder","none","community",1,1
1,"ex0027","exsu006",2006,17,"female",0,"groupA",NA,"grandchild",0,"unmarried",2,NA,"herder","moderate","community",1,1
1,"ex0028","exsu006",2008,15,"male",0,"groupA",NA,"grandchild",0,"unmarried",9,NA,NA,"full","community",1,1
1,"ex0029","exsu007",1973,50,"male",1,"groupA",NA,"focal",1,"married",2,NA,"student","none","community",1,1
1,"ex0030","exsu007",1990,33,"female",0,"groupC",NA,"wife",1,"married",1,NA,"teacher","full","community",1,1
1,"ex0031","exsu007",2002,21,"male",1,"groupB",NA,"daughter",0,"widowed",4,NA,"trader","full","community",1,1
1,"ex0032","exsu007",2001,22,"female",0,"groupA",NA,"mother",0,"widowed",3,NA,"farmer","full","community",1,1
1,"ex0033","exsu007",1999,24,"male",0,"groupB",NA,"daughter",0,"married",9,NA,"herder","full","community",1,1
1,"ex0034","exsu007",2018,5,"male",1,"groupA",NA,"mother",0,"unmarried",0,NA,NA,"none","community",1,1
1,"ex0035","exsu007",2017,6,"female",0,"groupA",NA,"son",0,"unmarried",5,NA,NA,"moderate","community",1,1
1,"ex0036","exsu008",1968,55,"male",0,"groupA",NA,"focal",1,"unmarried",0,NA,"student","full","community",1,1
1,"ex0037","exsu008",1973,50,"female",0,"groupA",NA,"wife",1,"married",9,NA,NA,"full","community",1,1
1,"ex0038","exsu008",2010,13,"female",1,"groupC",NA,"father",0,"unmarried",7,NA,NA,"moderate","community",1,1
1,"ex0039","exsu008",2016,7,"female",0,"groupA",NA,"grandchild",0,"unmarried",1,NA,NA,"full","community",1,1
1,"ex0040","exsu008",1998,25,"male",0,"groupC",NA,"son",0,"unmarried",0,NA,"trader","full","community",1,1
1,"ex0041","exsu009",1970,53,"male",0,"groupC",NA,"focal",1,"married",4,NA,"trader","full","community",1,1
1,"ex0042","exsu009",1974,49,"female",0,"groupC",NA,"wife",1,"married",12,NA,"herder","moderate","community",1,1
1,"ex0043","exsu009",2001,22,"female",0,"groupA",NA,"father",0,"widowed",7,NA,"trader","full","community",1,1
1,"ex0044","exsu009",1999,24,"female",1,"groupC",NA,"son",0,"married",7,NA,"herder","full","community",1,1
1,"ex0045","exsu009",2022,1,"male",0,"groupB",NA,"mother",0,"unmarried",0,NA,NA,"moderate","community",1,1
1,"ex0046","exsu010",1974,49,"male",0,"groupC",NA,"focal",1,"widowed",12,NA,"trader","none","community",1,1
1,"ex0047","exsu010",1987,36,"female",0,"groupB",NA,"wife",1,"widowed",2,NA,"teacher","moderate","community",1,1
1,"ex0048","exsu010",2017,6,"male",0,"groupC",NA,"grandchild",0,"unmarried",2,NA,NA,"full","community",1,1
1,"ex0049","exsu010",2000,23,"female",0,"groupA",NA,"father",0,"married",3,NA,"labourer","moderate","community",1,1
1,"ex0050","exsu011",1982,41,"male",0,"groupB",NA,"focal",1,"unmarried",11,NA,"trader","none","community",1,1
1,"ex0051","exsu011",1979,44,"female",0,"groupB",NA,"wife",1,"widowed",5,NA,"teacher","full","community",1,1
1,"ex0052","exsu011",1998,25,"female",0,"groupB",NA,"father",0,"unmarried",6,NA,"farmer","full","community",1,1
1,"ex0053","exsu011",2017,6,"female",0,"groupB",NA,"son",0,"unmarried",6,NA,NA,"none","community",1,1
1,"ex0054","exsu011",2015,8,"male",1,"groupA",NA,"daughter",0,"unmarried",9,NA,NA,"full","community",1,1
