"waveid","personid","su_id","birth_year","age","gender","status","group_id","external_wealth","relationshiptohh","head","marital_status","years_education","other_noetic","occupation","work_ability","location","is_resident","is_alive"
1,"si0001","sisu001",1988,35,"male",0,"groupC",NA,"focal",1,"widowed",8,NA,"farmer","full","community",1,1
1,"si0002","sisu001",1989,34,"female",0,"groupA",NA,"wife",1,"married",0,NA,"trader","full","community",1,1
1,"si0003","sisu001",2012,11,"female",1,"groupA",NA,"son",0,"unmarried",7,NA,NA,"full","community",1,1
1,"si0004","sisu001",2012,11,"female",0,"groupB",NA,"grandchild",0,"unmarried",3,NA,NA,"moderate","community",1,1
1,"si0005","sisu001",2016,7,"female",0,"groupB",NA,"son",0,"unmarried",3,NA,NA,"none","community",1,1
1,"si0006","sisu001",2008,15,"male",1,"groupA",NA,"daughter",0,"unmarried",10,NA,"student","full","community",1,1
1,"si0007","sisu001",2006,17,"female",0,"groupB",NA,"grandchild",0,"unmarried",11,NA,NA,"full","community",1,1
1,"si0008","sisu002",1974,49,"male",1,"groupB",NA,"focal",1,"unmarried",8,NA,NA,"moderate","community",1,1
1,"si0009","sisu002",1989,34,"female",0,"groupA",NA,"wife",1,"widowed",5,NA,"homemaker","full","community",1,1
1,"si0010","sisu002",2007,16,"female",0,"groupA",NA,"daughter",0,"unmarried",2,NA,"herder","full","community",1,1
1,"si0011","sisu002",1999,24,"female",0,"groupC",NA,"mother",0,"unmarried",9,NA,"labourer","full","community",1,1
1,"si0012","sisu002",2016,7,"male",0,"groupC",NA,"son",0,"unmarried",4,NA,NA,"full","community",1,1
1,"si0013","sisu002",2002,21,"male",0,"groupA",NA,"father",0,"widowed",5,NA,"homemaker","none","community",1,1
1,"si0014","sisu003",1974,49,"male",0,"groupC",NA,"focal",1,"married",4,NA,"student","moderate","community",1,1
1,"si0015","sisu003",1984,39,"female",0,"groupC",NA,"wife",1,"married",6,NA,"farmer","moderate","community",1,1
1,"si0016","sisu003",2001,22,"male",1,"groupC",NA,"daughter",0,"widowed",3,NA,NA,"full","community",1,1
1,"si0017","sisu004",1969,54,"male",1,"groupC",NA,"focal",1,"unmarried",12,NA,"herder","full","community",1,1
1,"si0018","sisu004",1982,41,"female",0,"groupA",NA,"wife",1,"married",8,NA,"homemaker","full","community",1,1
1,"si0019","sisu004",2019,4,"male",0,"groupA",NA,"grandchild",0,"unmarried",0,NA,NA,"full","community",1,1
1,"si0020","sisu005",1970,53,"male",1,"groupB",NA,"focal",1,"unmarried",5,NA,"teacher","full","community",1,1
1,"si0021","sisu005",1977,46,"female",0,"groupA",NA,"wife",1,"married",12,NA,NA,"none","community",1,1
1,"si0022","sisu005",2020,3,"male",0,"groupB",NA,"mother",0,"unmarried",0,NA,NA,"full","community",1,1
1,"si0023","sisu006",1970,53,"male",0,"groupC",NA,"focal",1,"widowed",7,NA,NA,"full","community",1,1
1,"si0024","sisu006",1974,49,"female",0,"groupA",NA,"wife",1,"unmarried",7,NA,NA,"full","community",1,1
1,"si0025","sisu006",2001,22,"female",1,"groupC",NA,"mother",0,"married",12,NA,"trader","full","community",1,1
1,"si0026","sisu007",1965,58,"male",0,"groupC",NA,"focal",1,"unmarried",9,NA,NA,"full","community",1,1
1,"si0027","sisu007",1975,48,"female",0,"groupB",NA,"wife",1,"married",8,NA,"teacher","full","community",1,1
1,"si0028","sisu007",2000,23,"female",0,"groupA",NA,"son",0,"widowed",7,NA,"labourer","full","community",1,1
1,"si0029","sisu007",1998,25,"female",0,"groupA",NA,"mother",0,"widowed",12,NA,"herder","full","community",1,1
1,"si0030","sisu008",1980,43,"male",0,"groupA",NA,"focal",1,"married",12,NA,"herder","full","community",1,1
1,"si0031","sisu008",1985,38,"female",1,"groupC",NA,"wife",1,"unmarried",7,NA,"student","moderate","community",1,1
