"waveid","personid","su_id","birth_year","age","gender","status","group_id","external_wealth","relationshiptohh","head","marital_status","years_education","other_noetic","occupation","work_ability","location","is_resident","is_alive"
1,"sm0001","smsu001",1985,38,"male",0,"groupC",NA,"focal",1,"married",0,NA,"labourer","full","community",1,1
1,"sm0002","smsu001",1971,52,"female",0,"groupA",NA,"wife",1,"widowed",12,NA,"homemaker","full","community",1,1
1,"sm0003","smsu001",2005,18,"female",0,"groupA",NA,"daughter",0,"married",5,NA,"student","full","community",1,1
1,"sm0004","smsu001",2012,11,"female",1,"groupB",NA,"grandchild",0,"unmarried",1,NA,NA,"full","community",1,1
1,"sm0005","smsu001",2022,1,"male",0,"groupA",NA,"daughter",0,"unmarried",0,NA,NA,"moderate","community",1,1
1,"sm0006","smsu002",1978,45,"male",1,"groupB",NA,"focal",1,"unmarried",4,NA,"farmer","none","community",1,1
1,"sm0007","smsu002",1988,35,"female",0,"groupC",NA,"wife",1,"unmarried",12,NA,"labourer","moderate","community",1,1
1,"sm0008","smsu002",2014,9,"male",0,"groupB",NA,"son",0,"unmarried",9,NA,NA,"full","community",1,1
1,"sm0009","smsu002",2010,13,"female",0,"groupA",NA,"father",0,"unmarried",1,NA,NA,"full","community",1,1
1,"sm0010","smsu002",2002,21,"female",1,"groupA",NA,"daughter",0,"married",11,NA,"trader","full","community",1,1
1,"sm0011","smsu002",2010,13,"male",0,"groupC",NA,"grandchild",0,"unmarried",5,NA,NA,"full","community",1,1
1,"sm0012","smsu003",1970,53,"male",0,"groupA",NA,"focal",1,"married",2,NA,NA,"full","community",1,1
1,"sm0013","smsu003",1973,50,"female",0,"groupB",NA,"wife",1,"married",0,NA,"student","moderate","community",1,1
1,"sm0014","smsu003",2011,12,"female",0,"groupC",NA,"son",0,"unmarried",12,NA,NA,"moderate","community",1,1
1,"sm0015","smsu003",2011,12,"female",0,"groupB",NA,"mother",0,"unmarried",7,NA,NA,"moderate","community",1,1
1,"sm0016","smsu004",1973,50,"male",0,"groupA",NA,"focal",1,"married",3,NA,"homemaker","none","community",1,1
1,"sm0017","smsu004",1988,35,"female",0,"groupC",NA,"wife",1,"widowed",4,NA,"labourer","full","community",1,1
1,"sm0018","smsu004",2022,1,"female",0,"groupA",NA,"son",0,"unmarried",0,NA,NA,"full","community",1,1
1,"sm0019","smsu004",2003,20,"female",0,"groupB",NA,"daughter",0,"married",10,NA,"teacher","full","community",1,1
1,"sm0020","smsu005",1984,39,"male",0,"groupB",NA,"focal",1,"unmarried",10,NA,"farmer","moderate","community",1,1
1,"sm0021","smsu005",1973,50,"female",0,"groupC",NA,"wife",1,"married",10,NA,"herder","none","community",1,1
1,"sm0022","smsu005",2004,19,"female",0,"groupA",NA,"son",0,"unmarried",4,NA,"trader","full","community",1,1
1,"sm0023","smsu005",2019,4,"female",0,"groupA",NA,"son",0,"unmarried",0,NA,NA,"full","community",1,1
1,"sm0024","smsu006",1975,48,"male",0,"groupB",NA,"focal",1,"married",8,NA,NA,"full","community",1,1
1,"sm0025","smsu006",1980,43,"female",0,"groupA",NA,"wife",1,"unmarried",3,NA,"labourer","full","community",1,1
1,"sm0026","smsu006",2016,7,"male",1,"groupA",NA,"father",0,"unmarried",5,NA,NA,"full","community",1,1
1,"sm0027","smsu006",2011,12,"female",0,"groupA",NA,"mother",0,"unmarried",5,NA,NA,"full","community",1,1
1,"sm0028","smsu006",2002,21,"male",0,"groupA",NA,"mother",0,"married",8,NA,NA,"full","community",1,1
1,"sm0029","smsu007",1981,42,"male",0,"groupA",NA,"focal",1,"married",7,NA,"trader","full","community",1,1
1,"sm0030","smsu007",1981,42,"female",0,"groupB",NA,"wife",1,"married",7,NA,"student","full","community",1,1
1,"sm0031","smsu007",2008,15,"male",0,"groupB",NA,"son",0,"unmarried",6,NA,"farmer","full","community",1,1
1,"sm0032","smsu007",2014,9,"female",0,"groupA",NA,"father",0,"unmarried",9,NA,NA,"moderate","community",1,1
1,"sm0033","smsu007",1999,24,"female",1,"groupA",NA,"father",0,"widowed",0,NA,"homemaker","full","community",1,1
1,"sm0034","smsu007",2005,18,"male",0,"groupB",NA,"daughter",0,"married",12,NA,NA,"moderate","community",1,1
1,"sm0035","smsu007",2006,17,"female",0,"groupB",NA,"son",0,"unmarried",11,NA,"student","full","community",1,1
1,"sm0036","smsu008",1969,54,"male",0,"groupC",NA,"focal",1,"unmarried",10,NA,NA,"moderate","community",1,1
1,"sm0037","smsu008",1971,52,"female",0,"groupB",NA,"wife",1,"married",1,NA,"student","full","community",1,1
1,"sm0038","smsu008",2016,7,"male",0,"groupC",NA,"son",0,"unmarried",12,NA,NA,"full","community",1,1
1,"sm0039","smsu008",2001,22,"male",0,"groupA",NA,"grandchild",0,"married",7,NA,"labourer","moderate","community",1,1
1,"sm0040","smsu009",1976,47,"male",0,"groupB",NA,"focal",1,"widowed",11,NA,"farmer","full","community",1,1
1,"sm0041","smsu009",1973,50,"female",0,"groupA",NA,"wife",1,"married",9,NA,"labourer","full","community",1,1
1,"sm0042","smsu009",2007,16,"female",1,"groupA",NA,"father",0,"unmarried",3,NA,"homemaker","full","community",1,1
1,"sm0043","smsu009",2013,10,"female",0,"groupA",NA,"mother",0,"unmarried",1,NA,NA,"none","community",1,1
1,"sm0044","smsu009",2020,3,"female",0,"groupC",NA,"daughter",0,"unmarried",0,NA,NA,"full","community",1,1
1,"sm0045","smsu009",2009,14,"male",0,"groupC",NA,"father",0,"unmarried",9,NA,NA,"full","community",1,1
1,"sm0046","smsu010",1987,36,"male",0,"groupC",NA,"focal",1,"widowed",2,NA,"trader","moderate","community",1,1
1,"sm0047","smsu010",1973,50,"female",1,"groupC",NA,"wife",1,"widowed",12,NA,"homemaker","full","community",1,1
1,"sm0048","smsu010",1999,24,"female",1,"groupB",NA,"daughter",0,"widowed",0,NA,"trader","full","community",1,1
1,"sm0049","smsu010",2014,9,"male",1,"groupA",NA,"daughter",0,"unmarried",1,NA,NA,"none","community",1,1
1,"sm0050","smsu010",2005,18,"male",0,"groupC",NA,"father",0,"unmarried",3,NA,"herder","full","community",1,1
1,"sm0051","smsu011",1978,45,"male",0,"groupA",NA,"focal",1,"unmarried",6,NA,"labourer","full","community",1,1
1,"sm0052","smsu011",1984,39,"female",0,"groupA",NA,"wife",1,"unmarried",0,NA,"student","full","community",1,1
1,"sm0053","smsu011",2006,17,"female",1,"groupC",NA,"father",0,"unmarried",1,NA,"herder","none","community",1,1
1,"sm0054","smsu011",2000,23,"male",0,"groupB",NA,"mother",0,"unmarried",9,NA,"trader","full","community",1,1
1,"sm0055","smsu011",2004,19,"female",0,"groupC",NA,"daughter",0,"widowed",10,NA,"trader","moderate","community",1,1
1,"sm0056","smsu011",2013,10,"male",0,"groupC",NA,"father",0,"unmarried",4,NA,NA,"full","community",1,1
1,"sm0057","smsu011",2010,13,"female",0,"groupB",NA,"father",0,"unmarried",9,NA,NA,"none","community",1,1
1,"sm0058","smsu012",1969,54,"male",0,"groupC",NA,"focal",1,"widowed",5,NA,"labourer","none","community",1,1
1,"sm0059","smsu012",1977,46,"female",0,"groupA",NA,"wife",1,"married",12,NA,"herder","moderate","community",1,1
1,"sm0060","smsu012",2002,21,"male",0,"groupA",NA,"father",0,"married",3,NA,"trader","full","community",1,1
1,"sm0061","smsu012",2004,19,"male",0,"groupB",NA,"father",0,"widowed",6,NA,"teacher","full","community",1,1
1,"sm0062","smsu013",1986,37,"male",0,"groupB",NA,"focal",1,"married",3,NA,"farmer","full","community",1,1
1,"sm0063","smsu013",1975,48,"female",1,"groupC",NA,"wife",1,"widowed",12,NA,"farmer","full","community",1,1
1,"sm0064","smsu013",2003,20,"male",0,"groupC",NA,"father",0,"married",1,NA,"homemaker","full","community",1,1
1,"sm0065","smsu013",2014,9,"female",0,"groupB",NA,"son",0,"unmarried",12,NA,NA,"full","community",1,1
1,"sm0066","smsu013",2012,11,"female",0,"groupA",NA,"daughter",0,"unmarried",4,NA,NA,"full","community",1,1
1,"sm0067","smsu014",1968,55,"male",0,"groupA",NA,"focal",1,"widowed",3,NA,"herder","full","community",1,1
1,"sm0068","smsu014",1991,32,"female",0,"groupC",NA,"wife",1,"widowed",2,NA,"farmer","none","community",1,1
1,"sm0069","smsu014",2015,8,"male",1,"groupC",NA,"grandchild",0,"unmarried",11,NA,NA,"full","community",1,1
1,"sm0070","smsu014",2013,10,"female",0,"groupB",NA,"grandchild",0,"unmarried",11,NA,NA,"full","community",1,1
1,"sm0071","smsu015",1977,46,"male",0,"groupC",NA,"focal",1,"married",3,NA,"student","moderate","community",1,1
1,"sm0072","smsu015",1975,48,"female",0,"groupC",NA,"wife",1,"married",4,NA,"trader","moderate","community",1,1
1,"sm0073","smsu015",2021,2,"male",0,"groupA",NA,"mother",0,"unmarried",0,NA,NA,"moderate","community",1,1
1,"sm0074","smsu015",2001,22,"male",0,"groupA",NA,"grandchild",0,"widowed",5,NA,"student","full","community",1,1
1,"sm0075","smsu015",2010,13,"female",1,"groupB",NA,"father",0,"unmarried",3,NA,NA,"moderate","community",1,1
1,"sm0076","smsu016",1982,41,"male",0,"groupC",NA,"focal",1,"married",8,NA,"herder","none","community",1,1
1,"sm0077","smsu016",1974,49,"female",0,"groupA",NA,"wife",1,"widowed",7,NA,"trader","moderate","community",1,1
1,"sm0078","smsu016",2017,6,"male",0,"groupA",NA,"son",0,"unmarried",10,NA,NA,"full","community",1,1
1,"sm0079","smsu017",1963,60,"male",0,"groupB",NA,"focal",1,"married",0,NA,NA,"full","community",1,1
1,"sm0080","smsu017",1990,33,"female",0,"groupA",NA,"wife",1,"widowed",11,NA,NA,"full","community",1,1
1,"sm0081","smsu017",1998,25,"female",0,"groupA",NA,"grandchild",0,"unmarried",3,NA,"trader","full","community",1,1
1,"sm0082","smsu017",2007,16,"female",0,"groupC",NA,"mother",0,"unmarried",7,NA,"student","full","community",1,1
