"waveid","su_id","personid"
1,"egsu001","eg0001"
1,"egsu001","eg0002"
1,"egsu001","eg0003"
1,"egsu001","eg0004"
1,"egsu001","eg0005"
1,"egsu001","eg0006"
1,"egsu002","eg0007"
1,"egsu002","eg0008"
1,"egsu002","eg0009"
1,"egsu002","eg0010"
1,"egsu003","eg0011"
1,"egsu003","eg0012"
1,"egsu003","eg0013"
1,"egsu003","eg0014"
1,"egsu003","eg0015"
1,"egsu003","eg0016"
1,"egsu003","eg0017"
1,"egsu004","eg0018"
1,"egsu004","eg0019"
1,"egsu004","eg0020"
1,"egsu004","eg0021"
1,"egsu004","eg0022"
1,"egsu004","eg0023"
1,"egsu004","eg0024"
1,"egsu005","eg0025"
1,"egsu005","eg0026"
1,"egsu005","eg0027"
1,"egsu005","eg0028"
1,"egsu005","eg0029"
1,"egsu006","eg0030"
1,"egsu006","eg0031"
1,"egsu006","eg0032"
1,"egsu006","eg0033"
1,"egsu006","eg0034"
1,"egsu007","eg0035"
1,"egsu007","eg0036"
1,"egsu007","eg0037"
1,"egsu007","eg0038"
1,"egsu007","eg0039"
1,"egsu007","eg0040"
1,"egsu007","eg0041"
1,"egsu008","eg0042"
1,"egsu008","eg0043"
1,"egsu008","eg0044"
1,"egsu008","eg0045"
1,"egsu008","eg0046"
1,"egsu009","eg0047"
1,"egsu009","eg0048"
1,"egsu009","eg0049"
1,"egsu009","eg0050"
1,"egsu010","eg0051"
1,"egsu010","eg0052"
1,"egsu010","eg0053"
1,"egsu010","eg0054"
1,"egsu010","eg0055"
1,"egsu011","eg0056"
1,"egsu011","eg0057"
1,"egsu011","eg0058"
1,"egsu012","eg0059"
1,"egsu012","eg0060"
1,"egsu012","eg0061"
1,"egsu013","eg0062"
1,"egsu013","eg0063"
1,"egsu013","eg0064"
1,"egsu013","eg0065"
1,"egsu013","eg0066"
1,"egsu014","eg0067"
1,"egsu014","eg0068"
1,"egsu014","eg0069"
1,"egsu014","eg0070"
1,"egsu014","eg0071"
1,"egsu015","eg0072"
1,"egsu015","eg0073"
1,"egsu015","eg0074"
1,"egsu015","eg0075"
1,"egsu015","eg0076"
1,"egsu016","eg0077"
1,"egsu016","eg0078"
1,"egsu016","eg0079"
1,"egsu016","eg0080"
1,"egsu016","eg0081"
1,"egsu016","eg0082"
1,"egsu016","eg0083"
1,"egsu017","eg0084"
1,"egsu017","eg0085"
1,"egsu017","eg0086"
1,"egsu017","eg0087"
1,"egsu017","eg0088"
1,"egsu018","eg0089"
1,"egsu018","eg0090"
1,"egsu018","eg0091"
1,"egsu018","eg0092"
1,"egsu018","eg0093"
1,"egsu018","eg0094"
1,"egsu018","eg0095"
1,"egsu019","eg0096"
1,"egsu019","eg0097"
1,"egsu019","eg0098"
1,"egsu020","eg0099"
1,"egsu020","eg0100"
1,"egsu020","eg0101"
1,"egsu020","eg0102"
1,"egsu020","eg0103"
1,"egsu021","eg0104"
1,"egsu021","eg0105"
1,"egsu021","eg0106"
1,"egsu021","eg0107"
1,"egsu021","eg0108"
1,"egsu021","eg0109"
1,"egsu022","eg0110"
1,"egsu022","eg0111"
1,"egsu022","eg0112"
1,"egsu022","eg0113"
1,"egsu023","eg0114"
1,"egsu023","eg0115"
1,"egsu023","eg0116"
1,"egsu024","eg0117"
1,"egsu024","eg0118"
1,"egsu024","eg0119"
1,"egsu025","eg0120"
1,"egsu025","eg0121"
1,"egsu025","eg0122"
1,"egsu026","eg0123"
1,"egsu026","eg0124"
1,"egsu026","eg0125"
1,"egsu026","eg0126"
1,"egsu026","eg0127"
1,"egsu027","eg0128"
1,"egsu027","eg0129"
1,"egsu027","eg0130"
1,"egsu027","eg0131"
1,"egsu028","eg0132"
1,"egsu028","eg0133"
1,"egsu028","eg0134"
1,"egsu028","eg0135"
1,"egsu028","eg0136"
1,"egsu028","eg0137"
1,"egsu029","eg0138"
1,"egsu029","eg0139"
1,"egsu029","eg0140"
1,"egsu029","eg0141"
1,"egsu029","eg0142"
1,"egsu029","eg0143"
1,"egsu029","eg0144"
1,"egsu030","eg0145"
1,"egsu030","eg0146"
1,"egsu030","eg0147"
1,"egsu031","eg0148"
1,"egsu031","eg0149"
1,"egsu031","eg0150"
1,"egsu031","eg0151"
1,"egsu031","eg0152"
1,"egsu032","eg0153"
1,"egsu032","eg0154"
1,"egsu032","eg0155"
1,"egsu032","eg0156"
1,"egsu032","eg0157"
1,"egsu032","eg0158"
1,"egsu033","eg0159"
1,"egsu033","eg0160"
1,"egsu033","eg0161"
1,"egsu033","eg0162"
1,"egsu033","eg0163"
1,"egsu034","eg0164"
1,"egsu034","eg0165"
1,"egsu034","eg0166"
1,"egsu035","eg0167"
1,"egsu035","eg0168"
1,"egsu035","eg0169"
1,"egsu035","eg0170"
1,"egsu035","eg0171"
1,"egsu036","eg0172"
1,"egsu036","eg0173"
1,"egsu036","eg0174"
1,"egsu037","eg0175"
1,"egsu037","eg0176"
1,"egsu037","eg0177"
1,"egsu038","eg0178"
1,"egsu038","eg0179"
1,"egsu038","eg0180"
1,"egsu038","eg0181"
1,"egsu038","eg0182"
1,"egsu038","eg0183"
1,"egsu038","eg0184"
1,"egsu039","eg0185"
1,"egsu039","eg0186"
1,"egsu039","eg0187"
1,"egsu040","eg0188"
1,"egsu040","eg0189"
1,"egsu040","eg0190"
1,"egsu040","eg0191"
1,"egsu040","eg0192"
1,"egsu040","eg0193"
1,"egsu041","eg0194"
1,"egsu041","eg0195"
1,"egsu041","eg0196"
1,"egsu042","eg0197"
1,"egsu042","eg0198"
1,"egsu042","eg0199"
1,"egsu042","eg0200"
1,"egsu042","eg0201"
1,"egsu042","eg0202"
1,"egsu043","eg0203"
1,"egsu043","eg0204"
1,"egsu043","eg0205"
1,"egsu043","eg0206"
1,"egsu044","eg0207"
1,"egsu044","eg0208"
1,"egsu044","eg0209"
1,"egsu044","eg0210"
1,"egsu045","eg0211"
1,"egsu045","eg0212"
1,"egsu045","eg0213"
1,"egsu045","eg0214"
1,"egsu045","eg0215"
1,"egsu046","eg0216"
1,"egsu046","eg0217"
1,"egsu046","eg0218"
1,"egsu047","eg0219"
1,"egsu047","eg0220"
1,"egsu047","eg0221"
1,"egsu048","eg0222"
1,"egsu048","eg0223"
1,"egsu048","eg0224"
1,"egsu048","eg0225"
1,"egsu049","eg0226"
1,"egsu049","eg0227"
1,"egsu049","eg0228"
1,"egsu049","eg0229"
1,"egsu049","eg0230"
1,"egsu049","eg0231"
1,"egsu050","eg0232"
1,"egsu050","eg0233"
1,"egsu050","eg0234"
1,"egsu050","eg0235"
1,"egsu050","eg0236"
1,"egsu051","eg0237"
1,"egsu051","eg0238"
1,"egsu051","eg0239"
1,"egsu051","eg0240"
1,"egsu051","eg0241"
1,"egsu051","eg0242"
1,"egsu051","eg0243"
1,"egsu052","eg0244"
1,"egsu052","eg0245"
1,"egsu052","eg0246"
1,"egsu052","eg0247"
1,"egsu052","eg0248"
1,"egsu052","eg0249"
1,"egsu052","eg0250"
1,"egsu053","eg0251"
1,"egsu053","eg0252"
1,"egsu053","eg0253"
1,"egsu053","eg0254"
1,"egsu053","eg0255"
1,"egsu053","eg0256"
1,"egsu054","eg0257"
1,"egsu054","eg0258"
1,"egsu054","eg0259"
1,"egsu054","eg0260"
1,"egsu054","eg0261"
1,"egsu054","eg0262"
1,"egsu054","eg0263"
1,"egsu055","eg0264"
1,"egsu055","eg0265"
1,"egsu055","eg0266"
1,"egsu055","eg0267"
1,"egsu055","eg0268"
1,"egsu056","eg0269"
1,"egsu056","eg0270"
1,"egsu056","eg0271"
1,"egsu056","eg0272"
1,"egsu056","eg0273"
1,"egsu057","eg0274"
1,"egsu057","eg0275"
1,"egsu057","eg0276"
1,"egsu058","eg0277"
1,"egsu058","eg0278"
1,"egsu058","eg0279"
1,"egsu058","eg0280"
1,"egsu058","eg0281"
1,"egsu058","eg0282"
1,"egsu058","eg0283"
1,"egsu059","eg0284"
1,"egsu059","eg0285"
1,"egsu059","eg0286"
1,"egsu059","eg0287"
1,"egsu059","eg0288"
1,"egsu060","eg0289"
1,"egsu060","eg0290"
1,"egsu060","eg0291"
1,"egsu060","eg0292"
1,"egsu060","eg0293"
