"waveid","su_id","personid"
1,"exsu001","ex0001"
1,"exsu001","ex0002"
1,"exsu001","ex0003"
1,"exsu001","ex0004"
1,"exsu001","ex0005"
1,"exsu001","ex0006"
1,"exsu001","ex0007"
1,"exsu002","ex0008"
1,"exsu002","ex0009"
1,"exsu002","ex0010"
1,"exsu003","ex0011"
1,"exsu003","ex0012"
1,"exsu003","ex0013"
1,"exsu003","ex0014"
1,"exsu003","ex0015"
1,"exsu004","ex0016"
1,"exsu004","ex0017"
1,"exsu004","ex0018"
1,"exsu005","ex0019"
1,"exsu005","ex0020"
1,"exsu005","ex0021"
1,"exsu006","ex0022"
1,"exsu006","ex0023"
1,"exsu006","ex0024"
1,"exsu006","ex0025"
1,"exsu006","ex0026"
1,"exsu006","ex0027"
1,"exsu006","ex0028"
1,"exsu007","ex0029"
1,"exsu007","ex0030"
1,"exsu007","ex0031"
1,"exsu007","ex0032"
1,"exsu007","ex0033"
1,"exsu007","ex0034"
1,"exsu007","ex0035"
1,"exsu008","ex0036"
1,"exsu008","ex0037"
1,"exsu008","ex0038"
1,"exsu008","ex0039"
1,"exsu008","ex0040"
1,"exsu009","ex0041"
1,"exsu009","ex0042"
1,"exsu009","ex0043"
1,"exsu009","ex0044"
1,"exsu009","ex0045"
1,"exsu010","ex0046"
1,"exsu010","ex0047"
1,"exsu010","ex0048"
1,"exsu010","ex0049"
1,"exsu011","ex0050"
1,"exsu011","ex0051"
1,"exsu011","ex0052"
1,"exsu011","ex0053"
1,"exsu011","ex0054"
1,"exsu011","ex0055"
1,"exsu012","ex0056"
1,"exsu012","ex0057"
1,"exsu012","ex0058"
1,"exsu012","ex0059"
1,"exsu013","ex0060"
1,"exsu013","ex0061"
1,"exsu013","ex0062"
1,"exsu013","ex0063"
1,"exsu013","ex0064"
1,"exsu013","ex0065"
1,"exsu013","ex0066"
1,"exsu014","ex0067"
1,"exsu014","ex0068"
1,"exsu014","ex0069"
1,"exsu014","ex0070"
1,"exsu014","ex0071"
1,"exsu014","ex0072"
1,"exsu014","ex0073"
1,"exsu015","ex0074"
1,"exsu015","ex0075"
1,"exsu015","ex0076"
1,"exsu015","ex0077"
1,"exsu016","ex0078"
1,"exsu016","ex0079"
1,"exsu016","ex0080"
1,"exsu016","ex0081"
1,"exsu016","ex0082"
1,"exsu016","ex0083"
1,"exsu017","ex0084"
1,"exsu017","ex0085"
1,"exsu017","ex0086"
1,"exsu017","ex0087"
1,"exsu018","ex0088"
1,"exsu018","ex0089"
1,"exsu018","ex0090"
1,"exsu019","ex0091"
1,"exsu019","ex0092"
1,"exsu019","ex0093"
1,"exsu019","ex0094"
1,"exsu019","ex0095"
1,"exsu019","ex0096"
1,"exsu019","ex0097"
1,"exsu020","ex0098"
1,"exsu020","ex0099"
1,"exsu020","ex0100"
1,"exsu020","ex0101"
1,"exsu020","ex0102"
1,"exsu021","ex0103"
1,"exsu021","ex0104"
1,"exsu021","ex0105"
1,"exsu021","ex0106"
1,"exsu021","ex0107"
1,"exsu022","ex0108"
1,"exsu022","ex0109"
1,"exsu022","ex0110"
1,"exsu022","ex0111"
1,"exsu022","ex0112"
1,"exsu022","ex0113"
1,"exsu022","ex0114"
1,"exsu023","ex0115"
1,"exsu023","ex0116"
1,"exsu023","ex0117"
1,"exsu023","ex0118"
1,"exsu023","ex0119"
1,"exsu023","ex0120"
1,"exsu024","ex0121"
1,"exsu024","ex0122"
1,"exsu024","ex0123"
1,"exsu024","ex0124"
1,"exsu024","ex0125"
1,"exsu024","ex0126"
1,"exsu025","ex0127"
1,"exsu025","ex0128"
1,"exsu025","ex0129"
1,"exsu025","ex0130"
1,"exsu025","ex0131"
1,"exsu025","ex0132"
1,"exsu026","ex0133"
1,"exsu026","ex0134"
1,"exsu026","ex0135"
1,"exsu026","ex0136"
1,"exsu026","ex0137"
1,"exsu026","ex0138"
1,"exsu027","ex0139"
1,"exsu027","ex0140"
1,"exsu027","ex0141"
1,"exsu027","ex0142"
1,"exsu027","ex0143"
1,"exsu027","ex0144"
1,"exsu027","ex0145"
1,"exsu028","ex0146"
1,"exsu028","ex0147"
1,"exsu028","ex0148"
1,"exsu029","ex0149"
1,"exsu029","ex0150"
1,"exsu029","ex0151"
1,"exsu029","ex0152"
1,"exsu029","ex0153"
1,"exsu030","ex0154"
1,"exsu030","ex0155"
1,"exsu030","ex0156"
1,"exsu030","ex0157"
1,"exsu030","ex0158"
1,"exsu030","ex0159"
1,"exsu031","ex0160"
1,"exsu031","ex0161"
1,"exsu031","ex0162"
1,"exsu031","ex0163"
1,"exsu031","ex0164"
1,"exsu031","ex0165"
1,"exsu031","ex0166"
1,"exsu032","ex0167"
1,"exsu032","ex0168"
1,"exsu032","ex0169"
1,"exsu033","ex0170"
1,"exsu033","ex0171"
1,"exsu033","ex0172"
1,"exsu033","ex0173"
1,"exsu033","ex0174"
1,"exsu033","ex0175"
1,"exsu034","ex0176"
1,"exsu034","ex0177"
1,"exsu034","ex0178"
1,"exsu034","ex0179"
1,"exsu035","ex0180"
1,"exsu035","ex0181"
1,"exsu035","ex0182"
1,"exsu035","ex0183"
1,"exsu035","ex0184"
1,"exsu035","ex0185"
1,"exsu035","ex0186"
1,"exsu036","ex0187"
1,"exsu036","ex0188"
1,"exsu036","ex0189"
1,"exsu036","ex0190"
1,"exsu036","ex0191"
1,"exsu036","ex0192"
1,"exsu037","ex0193"
1,"exsu037","ex0194"
1,"exsu037","ex0195"
1,"exsu037","ex0196"
1,"exsu037","ex0197"
1,"exsu038","ex0198"
1,"exsu038","ex0199"
1,"exsu038","ex0200"
1,"exsu038","ex0201"
1,"exsu038","ex0202"
1,"exsu038","ex0203"
1,"exsu039","ex0204"
1,"exsu039","ex0205"
1,"exsu039","ex0206"
1,"exsu039","ex0207"
1,"exsu039","ex0208"
1,"exsu040","ex0209"
1,"exsu040","ex0210"
1,"exsu040","ex0211"
1,"exsu040","ex0212"
1,"exsu040","ex0213"
1,"exsu040","ex0214"
1,"exsu040","ex0215"
1,"exsu041","ex0216"
1,"exsu041","ex0217"
1,"exsu041","ex0218"
1,"exsu041","ex0219"
1,"exsu041","ex0220"
1,"exsu042","ex0221"
1,"exsu042","ex0222"
1,"exsu042","ex0223"
1,"exsu042","ex0224"
1,"exsu042","ex0225"
1,"exsu042","ex0226"
1,"exsu043","ex0227"
1,"exsu043","ex0228"
1,"exsu043","ex0229"
1,"exsu044","ex0230"
1,"exsu044","ex0231"
1,"exsu044","ex0232"
1,"exsu044","ex0233"
1,"exsu044","ex0234"
1,"exsu044","ex0235"
