"waveid","su_id","personid"
1,"sisu001","si0001"
1,"sisu001","si0002"
1,"sisu001","si0003"
1,"sisu001","si0004"
1,"sisu001","si0005"
1,"sisu001","si0006"
1,"sisu001","si0007"
1,"sisu002","si0008"
1,"sisu002","si0009"
1,"sisu002","si0010"
1,"sisu002","si0011"
1,"sisu002","si0012"
1,"sisu002","si0013"
1,"sisu003","si0014"
1,"sisu003","si0015"
1,"sisu003","si0016"
1,"sisu004","si0017"
1,"sisu004","si0018"
1,"sisu004","si0019"
1,"sisu005","si0020"
1,"sisu005","si0021"
1,"sisu005","si0022"
1,"sisu006","si0023"
1,"sisu006","si0024"
1,"sisu006","si0025"
1,"sisu007","si0026"
1,"sisu007","si0027"
1,"sisu007","si0028"
1,"sisu007","si0029"
1,"sisu008","si0030"
1,"sisu008","si0031"
1,"sisu008","si0032"
1,"sisu008","si0033"
1,"sisu009","si0034"
1,"sisu009","si0035"
1,"sisu009","si0036"
1,"sisu009","si0037"
1,"sisu010","si0038"
1,"sisu010","si0039"
1,"sisu010","si0040"
1,"sisu010","si0041"
1,"sisu011","si0042"
1,"sisu011","si0043"
1,"sisu011","si0044"
1,"sisu012","si0045"
1,"sisu012","si0046"
1,"sisu012","si0047"
1,"sisu013","si0048"
1,"sisu013","si0049"
1,"sisu013","si0050"
1,"sisu014","si0051"
1,"sisu014","si0052"
1,"sisu014","si0053"
1,"sisu014","si0054"
1,"sisu014","si0055"
1,"sisu015","si0056"
1,"sisu015","si0057"
1,"sisu015","si0058"
1,"sisu015","si0059"
1,"sisu015","si0060"
1,"sisu015","si0061"
1,"sisu015","si0062"
1,"sisu016","si0063"
1,"sisu016","si0064"
1,"sisu016","si0065"
1,"sisu016","si0066"
1,"sisu016","si0067"
1,"sisu016","si0068"
1,"sisu017","si0069"
1,"sisu017","si0070"
1,"sisu017","si0071"
1,"sisu017","si0072"
1,"sisu017","si0073"
1,"sisu017","si0074"
1,"sisu017","si0075"
1,"sisu018","si0076"
1,"sisu018","si0077"
1,"sisu018","si0078"
1,"sisu019","si0079"
1,"sisu019","si0080"
1,"sisu019","si0081"
1,"sisu020","si0082"
1,"sisu020","si0083"
1,"sisu020","si0084"
1,"sisu020","si0085"
1,"sisu021","si0086"
1,"sisu021","si0087"
1,"sisu021","si0088"
1,"sisu021","si0089"
1,"sisu021","si0090"
1,"sisu021","si0091"
1,"sisu021","si0092"
1,"sisu022","si0093"
1,"sisu022","si0094"
1,"sisu022","si0095"
1,"sisu022","si0096"
1,"sisu023","si0097"
1,"sisu023","si0098"
1,"sisu023","si0099"
1,"sisu023","si0100"
1,"sisu023","si0101"
1,"sisu024","si0102"
1,"sisu024","si0103"
1,"sisu024","si0104"
1,"sisu025","si0105"
1,"sisu025","si0106"
1,"sisu025","si0107"
1,"sisu026","si0108"
1,"sisu026","si0109"
1,"sisu026","si0110"
1,"sisu027","si0111"
1,"sisu027","si0112"
1,"sisu027","si0113"
1,"sisu027","si0114"
1,"sisu028","si0115"
1,"sisu028","si0116"
1,"sisu028","si0117"
1,"sisu028","si0118"
1,"sisu028","si0119"
1,"sisu028","si0120"
1,"sisu029","si0121"
1,"sisu029","si0122"
1,"sisu029","si0123"
1,"sisu029","si0124"
1,"sisu029","si0125"
1,"sisu030","si0126"
1,"sisu030","si0127"
1,"sisu030","si0128"
1,"sisu030","si0129"
1,"sisu030","si0130"
1,"sisu030","si0131"
1,"sisu030","si0132"
1,"sisu031","si0133"
1,"sisu031","si0134"
1,"sisu031","si0135"
1,"sisu031","si0136"
1,"sisu031","si0137"
1,"sisu032","si0138"
1,"sisu032","si0139"
1,"sisu032","si0140"
1,"sisu032","si0141"
1,"sisu032","si0142"
1,"sisu033","si0143"
1,"sisu033","si0144"
1,"sisu033","si0145"
1,"sisu033","si0146"
1,"sisu033","si0147"
1,"sisu034","si0148"
1,"sisu034","si0149"
1,"sisu034","si0150"
1,"sisu034","si0151"
1,"sisu034","si0152"
1,"sisu034","si0153"
1,"sisu035","si0154"
1,"sisu035","si0155"
1,"sisu035","si0156"
1,"sisu035","si0157"
1,"sisu035","si0158"
1,"sisu035","si0159"
1,"sisu035","si0160"
1,"sisu036","si0161"
1,"sisu036","si0162"
1,"sisu036","si0163"
1,"sisu036","si0164"
1,"sisu037","si0165"
1,"sisu037","si0166"
1,"sisu037","si0167"
1,"sisu037","si0168"
1,"sisu037","si0169"
1,"sisu037","si0170"
1,"sisu038","si0171"
1,"sisu038","si0172"
1,"sisu038","si0173"
1,"sisu038","si0174"
1,"sisu038","si0175"
1,"sisu039","si0176"
1,"sisu039","si0177"
1,"sisu039","si0178"
1,"sisu039","si0179"
1,"sisu040","si0180"
1,"sisu040","si0181"
1,"sisu040","si0182"
1,"sisu040","si0183"
1,"sisu040","si0184"
1,"sisu040","si0185"
1,"sisu040","si0186"
