"waveid","su_id","personid"
1,"smsu001","sm0001"
1,"smsu001","sm0002"
1,"smsu001","sm0003"
1,"smsu001","sm0004"
1,"smsu001","sm0005"
1,"smsu002","sm0006"
1,"smsu002","sm0007"
1,"smsu002","sm0008"
1,"smsu002","sm0009"
1,"smsu002","sm0010"
1,"smsu002","sm0011"
1,"smsu003","sm0012"
1,"smsu003","sm0013"
1,"smsu003","sm0014"
1,"smsu003","sm0015"
1,"smsu004","sm0016"
1,"smsu004","sm0017"
1,"smsu004","sm0018"
1,"smsu004","sm0019"
1,"smsu005","sm0020"
1,"smsu005","sm0021"
1,"smsu005","sm0022"
1,"smsu005","sm0023"
1,"smsu006","sm0024"
1,"smsu006","sm0025"
1,"smsu006","sm0026"
1,"smsu006","sm0027"
1,"smsu006","sm0028"
1,"smsu007","sm0029"
1,"smsu007","sm0030"
1,"smsu007","sm0031"
1,"smsu007","sm0032"
1,"smsu007","sm0033"
1,"smsu007","sm0034"
1,"smsu007","sm0035"
1,"smsu008","sm0036"
1,"smsu008","sm0037"
1,"smsu008","sm0038"
1,"smsu008","sm0039"
1,"smsu009","sm0040"
1,"smsu009","sm0041"
1,"smsu009","sm0042"
1,"smsu009","sm0043"
1,"smsu009","sm0044"
1,"smsu009","sm0045"
1,"smsu010","sm0046"
1,"smsu010","sm0047"
1,"smsu010","sm0048"
1,"smsu010","sm0049"
1,"smsu010","sm0050"
1,"smsu011","sm0051"
1,"smsu011","sm0052"
1,"smsu011","sm0053"
1,"smsu011","sm0054"
1,"smsu011","sm0055"
1,"smsu011","sm0056"
1,"smsu011","sm0057"
1,"smsu012","sm0058"
1,"smsu012","sm0059"
1,"smsu012","sm0060"
1,"smsu012","sm0061"
1,"smsu013","sm0062"
1,"smsu013","sm0063"
1,"smsu013","sm0064"
1,"smsu013","sm0065"
1,"smsu013","sm0066"
1,"smsu014","sm0067"
1,"smsu014","sm0068"
1,"smsu014","sm0069"
1,"smsu014","sm0070"
1,"smsu015","sm0071"
1,"smsu015","sm0072"
1,"smsu015","sm0073"
1,"smsu015","sm0074"
1,"smsu015","sm0075"
1,"smsu016","sm0076"
1,"smsu016","sm0077"
1,"smsu016","sm0078"
1,"smsu017","sm0079"
1,"smsu017","sm0080"
1,"smsu017","sm0081"
1,"smsu017","sm0082"
