"waveid","sui","suj","distance"
1,"egsu001","egsu001",0
1,"egsu001","egsu002",861
1,"egsu001","egsu003",987
1,"egsu001","egsu004",730
1,"egsu001","egsu005",222
1,"egsu001","egsu006",849
1,"egsu001","egsu007",1329
1,"egsu001","egsu008",1274
1,"egsu001","egsu009",708
1,"egsu001","egsu010",668
1,"egsu001","egsu011",583
1,"egsu001","egsu012",767
1,"egsu001","egsu013",1763
1,"egsu001","egsu014",790
1,"egsu001","egsu015",1092
1,"egsu001","egsu016",1608
1,"egsu001","egsu017",654
1,"egsu001","egsu018",1288
1,"egsu001","egsu019",838
1,"egsu001","egsu020",1571
1,"egsu001","egsu021",661
1,"egsu001","egsu022",444
1,"egsu001","egsu023",1746
1,"egsu001","egsu024",1320
1,"egsu001","egsu025",1613
1,"egsu001","egsu026",266
1,"egsu001","egsu027",881
1,"egsu001","egsu028",1453
1,"egsu001","egsu029",1552
1,"egsu001","egsu030",687
1,"egsu001","egsu031",664
1,"egsu001","egsu032",786
1,"egsu001","egsu033",1710
1,"egsu001","egsu034",734
1,"egsu001","egsu035",1139
1,"egsu001","egsu036",937
1,"egsu001","egsu037",611
1,"egsu001","egsu038",1946
1,"egsu001","egsu039",741
1,"egsu001","egsu040",1750
1,"egsu001","egsu041",1251
1,"egsu001","egsu042",1129
1,"egsu001","egsu043",1360
1,"egsu001","egsu044",1732
1,"egsu001","egsu045",1093
1,"egsu001","egsu046",154
1,"egsu001","egsu047",345
1,"egsu001","egsu048",1910
1,"egsu001","egsu049",796
1,"egsu001","egsu050",976
1,"egsu001","egsu051",882
1,"egsu001","egsu052",1681
1,"egsu001","egsu053",794
1,"egsu001","egsu054",806
1,"egsu001","egsu055",1347
1,"egsu001","egsu056",329
1,"egsu001","egsu057",946
1,"egsu001","egsu058",1748
1,"egsu001","egsu059",1720
1,"egsu001","egsu060",1070
1,"egsu002","egsu001",861
1,"egsu002","egsu002",0
1,"egsu002","egsu003",1595
1,"egsu002","egsu004",1579
1,"egsu002","egsu005",969
1,"egsu002","egsu006",1363
1,"egsu002","egsu007",1401
1,"egsu002","egsu008",2068
1,"egsu002","egsu009",1036
1,"egsu002","egsu010",1464
1,"egsu002","egsu011",470
1,"egsu002","egsu012",1294
1,"egsu002","egsu013",1861
1,"egsu002","egsu014",1592
1,"egsu002","egsu015",954
1,"egsu002","egsu016",2286
1,"egsu002","egsu017",633
1,"egsu002","egsu018",1504
1,"egsu002","egsu019",1691
1,"egsu002","egsu020",2270
1,"egsu002","egsu021",331
1,"egsu002","egsu022",908
1,"egsu002","egsu023",2129
1,"egsu002","egsu024",1146
1,"egsu002","egsu025",2225
1,"egsu002","egsu026",766
1,"egsu002","egsu027",1446
1,"egsu002","egsu028",2210
1,"egsu002","egsu029",1636
1,"egsu002","egsu030",928
1,"egsu002","egsu031",1334
1,"egsu002","egsu032",588
1,"egsu002","egsu033",1741
1,"egsu002","egsu034",845
1,"egsu002","egsu035",1208
1,"egsu002","egsu036",1594
1,"egsu002","egsu037",736
1,"egsu002","egsu038",1938
1,"egsu002","egsu039",1488
1,"egsu002","egsu040",2031
1,"egsu002","egsu041",2055
1,"egsu002","egsu042",921
1,"egsu002","egsu043",2136
1,"egsu002","egsu044",2360
1,"egsu002","egsu045",1812
1,"egsu002","egsu046",958
1,"egsu002","egsu047",1065
1,"egsu002","egsu048",1904
1,"egsu002","egsu049",967
1,"egsu002","egsu050",1706
1,"egsu002","egsu051",914
1,"egsu002","egsu052",2289
1,"egsu002","egsu053",1622
1,"egsu002","egsu054",1091
1,"egsu002","egsu055",2008
1,"egsu002","egsu056",686
1,"egsu002","egsu057",742
1,"egsu002","egsu058",1705
1,"egsu002","egsu059",2403
1,"egsu002","egsu060",1735
1,"egsu003","egsu001",987
1,"egsu003","egsu002",1595
1,"egsu003","egsu003",0
1,"egsu003","egsu004",1070
1,"egsu003","egsu005",766
1,"egsu003","egsu006",256
1,"egsu003","egsu007",906
1,"egsu003","egsu008",671
1,"egsu003","egsu009",602
1,"egsu003","egsu010",495
1,"egsu003","egsu011",1130
1,"egsu003","egsu012",306
1,"egsu003","egsu013",1132
1,"egsu003","egsu014",1284
1,"egsu003","egsu015",1077
1,"egsu003","egsu016",694
1,"egsu003","egsu017",1003
1,"egsu003","egsu018",704
1,"egsu003","egsu019",1079
1,"egsu003","egsu020",686
1,"egsu003","egsu021",1271
1,"egsu003","egsu022",692
1,"egsu003","egsu023",832
1,"egsu003","egsu024",1192
1,"egsu003","egsu025",641
1,"egsu003","egsu026",879
1,"egsu003","egsu027",156
1,"egsu003","egsu028",697
1,"egsu003","egsu029",1006
1,"egsu003","egsu030",716
1,"egsu003","egsu031",324
1,"egsu003","egsu032",1122
1,"egsu003","egsu033",1172
1,"egsu003","egsu034",835
1,"egsu003","egsu035",848
1,"egsu003","egsu036",106
1,"egsu003","egsu037",885
1,"egsu003","egsu038",1388
1,"egsu003","egsu039",354
1,"egsu003","egsu040",927
1,"egsu003","egsu041",693
1,"egsu003","egsu042",1159
1,"egsu003","egsu043",675
1,"egsu003","egsu044",771
1,"egsu003","egsu045",316
1,"egsu003","egsu046",834
1,"egsu003","egsu047",642
1,"egsu003","egsu048",1360
1,"egsu003","egsu049",745
1,"egsu003","egsu050",292
1,"egsu003","egsu051",881
1,"egsu003","egsu052",707
1,"egsu003","egsu053",607
1,"egsu003","egsu054",602
1,"egsu003","egsu055",416
1,"egsu003","egsu056",934
1,"egsu003","egsu057",1122
1,"egsu003","egsu058",1283
1,"egsu003","egsu059",811
1,"egsu003","egsu060",171
