"waveid","sui","suj","distance"
1,"exsu001","exsu001",0
1,"exsu001","exsu002",1641
1,"exsu001","exsu003",2097
1,"exsu001","exsu004",253
1,"exsu001","exsu005",1041
1,"exsu001","exsu006",1738
1,"exsu001","exsu007",545
1,"exsu001","exsu008",1701
1,"exsu001","exsu009",1474
1,"exsu001","exsu010",1741
1,"exsu001","exsu011",2136
1,"exsu001","exsu012",802
1,"exsu001","exsu013",407
1,"exsu001","exsu014",417
1,"exsu001","exsu015",2184
1,"exsu001","exsu016",1018
1,"exsu001","exsu017",238
1,"exsu001","exsu018",636
1,"exsu001","exsu019",1285
1,"exsu001","exsu020",1662
1,"exsu001","exsu021",178
1,"exsu001","exsu022",1328
1,"exsu001","exsu023",371
1,"exsu001","exsu024",1827
1,"exsu001","exsu025",886
1,"exsu001","exsu026",1674
1,"exsu001","exsu027",2051
1,"exsu001","exsu028",1099
1,"exsu001","exsu029",1502
1,"exsu001","exsu030",1874
1,"exsu001","exsu031",1636
1,"exsu001","exsu032",209
1,"exsu001","exsu033",1446
1,"exsu001","exsu034",967
1,"exsu001","exsu035",2072
1,"exsu001","exsu036",1963
1,"exsu001","exsu037",1668
1,"exsu001","exsu038",450
1,"exsu001","exsu039",1795
1,"exsu001","exsu040",2173
1,"exsu001","exsu041",1195
1,"exsu001","exsu042",623
1,"exsu001","exsu043",1948
1,"exsu001","exsu044",1354
1,"exsu001","exsu045",1965
1,"exsu001","exsu046",1239
1,"exsu001","exsu047",1385
1,"exsu001","exsu048",911
1,"exsu001","exsu049",1288
1,"exsu001","exsu050",423
1,"exsu001","exsu051",1425
1,"exsu001","exsu052",956
1,"exsu001","exsu053",1427
1,"exsu001","exsu054",781
1,"exsu001","exsu055",1055
1,"exsu001","exsu056",1713
1,"exsu001","exsu057",1008
1,"exsu001","exsu058",1483
1,"exsu001","exsu059",1620
1,"exsu001","exsu060",897
1,"exsu001","exsu061",1840
1,"exsu001","exsu062",676
1,"exsu001","exsu063",2206
1,"exsu001","exsu064",826
1,"exsu001","exsu065",1694
1,"exsu001","exsu066",533
1,"exsu001","exsu067",647
1,"exsu001","exsu068",700
1,"exsu001","exsu069",1965
1,"exsu001","exsu070",1887
1,"exsu002","exsu001",1641
1,"exsu002","exsu002",0
1,"exsu002","exsu003",759
1,"exsu002","exsu004",1701
1,"exsu002","exsu005",1608
1,"exsu002","exsu006",408
1,"exsu002","exsu007",1499
1,"exsu002","exsu008",88
1,"exsu002","exsu009",353
1,"exsu002","exsu010",532
1,"exsu002","exsu011",774
1,"exsu002","exsu012",846
1,"exsu002","exsu013",1252
1,"exsu002","exsu014",1579
1,"exsu002","exsu015",726
1,"exsu002","exsu016",651
1,"exsu002","exsu017",1655
1,"exsu002","exsu018",1055
1,"exsu002","exsu019",891
1,"exsu002","exsu020",64
1,"exsu002","exsu021",1642
1,"exsu002","exsu022",1472
1,"exsu002","exsu023",1584
1,"exsu002","exsu024",833
1,"exsu002","exsu025",787
1,"exsu002","exsu026",52
1,"exsu002","exsu027",620
1,"exsu002","exsu028",547
1,"exsu002","exsu029",703
1,"exsu002","exsu030",792
1,"exsu002","exsu031",163
1,"exsu002","exsu032",1502
1,"exsu002","exsu033",378
1,"exsu002","exsu034",860
1,"exsu002","exsu035",1135
1,"exsu002","exsu036",324
1,"exsu002","exsu037",1337
1,"exsu002","exsu038",1406
1,"exsu002","exsu039",761
1,"exsu002","exsu040",752
1,"exsu002","exsu041",491
1,"exsu002","exsu042",1312
1,"exsu002","exsu043",1012
1,"exsu002","exsu044",500
1,"exsu002","exsu045",329
1,"exsu002","exsu046",1386
1,"exsu002","exsu047",310
1,"exsu002","exsu048",1444
1,"exsu002","exsu049",630
1,"exsu002","exsu050",1320
1,"exsu002","exsu051",554
1,"exsu002","exsu052",792
1,"exsu002","exsu053",769
1,"exsu002","exsu054",1526
1,"exsu002","exsu055",645
1,"exsu002","exsu056",932
1,"exsu002","exsu057",1188
1,"exsu002","exsu058",716
1,"exsu002","exsu059",845
1,"exsu002","exsu060",1088
1,"exsu002","exsu061",426
1,"exsu002","exsu062",1027
1,"exsu002","exsu063",876
1,"exsu002","exsu064",958
1,"exsu002","exsu065",265
1,"exsu002","exsu066",1418
1,"exsu002","exsu067",1652
1,"exsu002","exsu068",980
1,"exsu002","exsu069",727
1,"exsu002","exsu070",804
1,"exsu003","exsu001",2097
1,"exsu003","exsu002",759
1,"exsu003","exsu003",0
1,"exsu003","exsu004",2229
1,"exsu003","exsu005",1651
1,"exsu003","exsu006",401
1,"exsu003","exsu007",2114
1,"exsu003","exsu008",674
1,"exsu003","exsu009",1110
1,"exsu003","exsu010",1252
1,"exsu003","exsu011",44
1,"exsu003","exsu012",1330
1,"exsu003","exsu013",1692
1,"exsu003","exsu014",2160
1,"exsu003","exsu015",178
1,"exsu003","exsu016",1112
1,"exsu003","exsu017",2183
1,"exsu003","exsu018",1634
1,"exsu003","exsu019",1641
1,"exsu003","exsu020",696
1,"exsu003","exsu021",2154
1,"exsu003","exsu022",1366
1,"exsu003","exsu023",1914
1,"exsu003","exsu024",392
1,"exsu003","exsu025",1227
1,"exsu003","exsu026",782
1,"exsu003","exsu027",161
1,"exsu003","exsu028",1152
1,"exsu003","exsu029",1461
1,"exsu003","exsu030",1494
1,"exsu003","exsu031",912
1,"exsu003","exsu032",1913
1,"exsu003","exsu033",1133
1,"exsu003","exsu034",1139
1,"exsu003","exsu035",519
1,"exsu003","exsu036",713
1,"exsu003","exsu037",1026
1,"exsu003","exsu038",1992
1,"exsu003","exsu039",369
1,"exsu003","exsu040",124
1,"exsu003","exsu041",1170
1,"exsu003","exsu042",1585
1,"exsu003","exsu043",464
1,"exsu003","exsu044",1248
1,"exsu003","exsu045",619
1,"exsu003","exsu046",1328
1,"exsu003","exsu047",799
1,"exsu003","exsu048",1552
1,"exsu003","exsu049",811
1,"exsu003","exsu050",1883
1,"exsu003","exsu051",672
1,"exsu003","exsu052",1141
1,"exsu003","exsu053",724
1,"exsu003","exsu054",1690
1,"exsu003","exsu055",1058
1,"exsu003","exsu056",585
1,"exsu003","exsu057",1286
1,"exsu003","exsu058",651
1,"exsu003","exsu059",1597
1,"exsu003","exsu060",1286
1,"exsu003","exsu061",1088
1,"exsu003","exsu062",1422
1,"exsu003","exsu063",122
1,"exsu003","exsu064",1607
1,"exsu003","exsu065",518
1,"exsu003","exsu066",2029
1,"exsu003","exsu067",1870
1,"exsu003","exsu068",1563
1,"exsu003","exsu069",152
1,"exsu003","exsu070",1503
1,"exsu004","exsu001",253
1,"exsu004","exsu002",1701
1,"exsu004","exsu003",2229
1,"exsu004","exsu004",0
1,"exsu004","exsu005",1290
1,"exsu004","exsu006",1852
1,"exsu004","exsu007",364
1,"exsu004","exsu008",1770
1,"exsu004","exsu009",1487
1,"exsu004","exsu010",1723
1,"exsu004","exsu011",2266
1,"exsu004","exsu012",901
1,"exsu004","exsu013",560
1,"exsu004","exsu014",217
1,"exsu004","exsu015",2299
1,"exsu004","exsu016",1122
1,"exsu004","exsu017",46
1,"exsu004","exsu018",649
1,"exsu004","exsu019",1209
1,"exsu004","exsu020",1731
1,"exsu004","exsu021",87
1,"exsu004","exsu022",1565
1,"exsu004","exsu023",623
1,"exsu004","exsu024",1989
1,"exsu004","exsu025",1002
1,"exsu004","exsu026",1728
1,"exsu004","exsu027",2167
1,"exsu004","exsu028",1155
1,"exsu004","exsu029",1454
1,"exsu004","exsu030",1824
1,"exsu004","exsu031",1672
1,"exsu004","exsu032",441
1,"exsu004","exsu033",1457
1,"exsu004","exsu034",1128
1,"exsu004","exsu035",2251
1,"exsu004","exsu036",2016
1,"exsu004","exsu037",1886
1,"exsu004","exsu038",338
1,"exsu004","exsu039",1950
1,"exsu004","exsu040",2294
1,"exsu004","exsu041",1226
1,"exsu004","exsu042",848
1,"exsu004","exsu043",2123
1,"exsu004","exsu044",1351
1,"exsu004","exsu045",2030
1,"exsu004","exsu046",1472
1,"exsu004","exsu047",1476
1,"exsu004","exsu048",1153
1,"exsu004","exsu049",1432
1,"exsu004","exsu050",386
1,"exsu004","exsu051",1563
1,"exsu004","exsu052",1098
1,"exsu004","exsu053",1594
1,"exsu004","exsu054",1029
1,"exsu004","exsu055",1172
1,"exsu004","exsu056",1891
1,"exsu004","exsu057",1225
1,"exsu004","exsu058",1643
1,"exsu004","exsu059",1550
1,"exsu004","exsu060",1098
1,"exsu004","exsu061",1845
1,"exsu004","exsu062",828
1,"exsu004","exsu063",2343
1,"exsu004","exsu064",797
1,"exsu004","exsu065",1790
1,"exsu004","exsu066",388
1,"exsu004","exsu067",900
1,"exsu004","exsu068",723
1,"exsu004","exsu069",2105
1,"exsu004","exsu070",1836
1,"exsu005","exsu001",1041
1,"exsu005","exsu002",1608
1,"exsu005","exsu003",1651
1,"exsu005","exsu004",1290
1,"exsu005","exsu005",0
1,"exsu005","exsu006",1446
1,"exsu005","exsu007",1478
1,"exsu005","exsu008",1618
1,"exsu005","exsu009",1668
