"waveid","sui","suj","distance"
1,"sisu001","sisu001",0
1,"sisu001","sisu002",872
1,"sisu001","sisu003",828
1,"sisu001","sisu004",1071
1,"sisu001","sisu005",744
1,"sisu001","sisu006",851
1,"sisu001","sisu007",1198
1,"sisu001","sisu008",492
1,"sisu001","sisu009",763
1,"sisu001","sisu010",802
1,"sisu001","sisu011",988
1,"sisu001","sisu012",976
1,"sisu001","sisu013",1317
1,"sisu001","sisu014",456
1,"sisu001","sisu015",1539
1,"sisu001","sisu016",732
1,"sisu001","sisu017",504
1,"sisu001","sisu018",469
1,"sisu001","sisu019",480
1,"sisu001","sisu020",859
1,"sisu001","sisu021",377
1,"sisu001","sisu022",900
1,"sisu001","sisu023",358
1,"sisu001","sisu024",175
1,"sisu001","sisu025",378
1,"sisu001","sisu026",902
1,"sisu001","sisu027",1096
1,"sisu001","sisu028",824
1,"sisu001","sisu029",906
1,"sisu001","sisu030",1366
1,"sisu001","sisu031",859
1,"sisu001","sisu032",330
1,"sisu001","sisu033",720
1,"sisu001","sisu034",237
1,"sisu001","sisu035",1387
1,"sisu001","sisu036",1211
1,"sisu001","sisu037",1443
1,"sisu001","sisu038",310
1,"sisu001","sisu039",701
1,"sisu001","sisu040",682
1,"sisu002","sisu001",872
1,"sisu002","sisu002",0
1,"sisu002","sisu003",1638
1,"sisu002","sisu004",662
1,"sisu002","sisu005",402
1,"sisu002","sisu006",486
1,"sisu002","sisu007",575
1,"sisu002","sisu008",1351
1,"sisu002","sisu009",1631
1,"sisu002","sisu010",701
1,"sisu002","sisu011",1142
1,"sisu002","sisu012",1451
1,"sisu002","sisu013",1960
1,"sisu002","sisu014",1157
1,"sisu002","sisu015",1161
1,"sisu002","sisu016",1212
1,"sisu002","sisu017",1027
1,"sisu002","sisu018",853
1,"sisu002","sisu019",975
1,"sisu002","sisu020",923
1,"sisu002","sisu021",1011
1,"sisu002","sisu022",561
1,"sisu002","sisu023",1225
1,"sisu002","sisu024",720
1,"sisu002","sisu025",958
1,"sisu002","sisu026",46
1,"sisu002","sisu027",1395
1,"sisu002","sisu028",603
1,"sisu002","sisu029",1660
1,"sisu002","sisu030",1071
1,"sisu002","sisu031",1649
1,"sisu002","sisu032",778
1,"sisu002","sisu033",603
1,"sisu002","sisu034",795
1,"sisu002","sisu035",1205
1,"sisu002","sisu036",442
1,"sisu002","sisu037",952
1,"sisu002","sisu038",576
1,"sisu002","sisu039",454
1,"sisu002","sisu040",1385
1,"sisu003","sisu001",828
1,"sisu003","sisu002",1638
1,"sisu003","sisu003",0
1,"sisu003","sisu004",1570
1,"sisu003","sisu005",1571
1,"sisu003","sisu006",1427
1,"sisu003","sisu007",1784
1,"sisu003","sisu008",612
1,"sisu003","sisu009",532
1,"sisu003","sisu010",1248
1,"sisu003","sisu011",1097
1,"sisu003","sisu012",716
1,"sisu003","sisu013",645
1,"sisu003","sisu014",499
1,"sisu003","sisu015",1878
1,"sisu003","sisu016",682
1,"sisu003","sisu017",1155
1,"sisu003","sisu018",1220
1,"sisu003","sisu019",736
1,"sisu003","sisu020",1615
1,"sisu003","sisu021",1022
1,"sisu003","sisu022",1725
1,"sisu003","sisu023",503
1,"sisu003","sisu024",1003
1,"sisu003","sisu025",704
1,"sisu003","sisu026",1657
1,"sisu003","sisu027",984
1,"sisu003","sisu028",1332
1,"sisu003","sisu029",187
1,"sisu003","sisu030",1688
1,"sisu003","sisu031",924
1,"sisu003","sisu032",1121
1,"sisu003","sisu033",1237
1,"sisu003","sisu034",1035
1,"sisu003","sisu035",1613
1,"sisu003","sisu036",2022
1,"sisu003","sisu037",1887
1,"sisu003","sisu038",1070
1,"sisu003","sisu039",1529
1,"sisu003","sisu040",1027
1,"sisu004","sisu001",1071
1,"sisu004","sisu002",662
1,"sisu004","sisu003",1570
1,"sisu004","sisu004",0
1,"sisu004","sisu005",1019
1,"sisu004","sisu006",237
1,"sisu004","sisu007",258
1,"sisu004","sisu008",1538
1,"sisu004","sisu009",1772
1,"sisu004","sisu010",323
1,"sisu004","sisu011",662
1,"sisu004","sisu012",1105
1,"sisu004","sisu013",1663
1,"sisu004","sisu014",1085
1,"sisu004","sisu015",521
1,"sisu004","sisu016",942
1,"sisu004","sisu017",1451
1,"sisu004","sisu018",1308
1,"sisu004","sisu019",838
1,"sisu004","sisu020",1512
1,"sisu004","sisu021",1376
1,"sisu004","sisu022",1208
1,"sisu004","sisu023",1329
1,"sisu004","sisu024",1009
1,"sisu004","sisu025",895
1,"sisu004","sisu026",629
1,"sisu004","sisu027",939
1,"sisu004","sisu028",253
1,"sisu004","sisu029",1515
1,"sisu004","sisu030",409
1,"sisu004","sisu031",1929
1,"sisu004","sisu032",1178
1,"sisu004","sisu033",359
1,"sisu004","sisu034",1142
1,"sisu004","sisu035",549
1,"sisu004","sisu036",1045
1,"sisu004","sisu037",374
1,"sisu004","sisu038",799
1,"sisu004","sisu039",1053
1,"sisu004","sisu040",1736
1,"sisu005","sisu001",744
1,"sisu005","sisu002",402
1,"sisu005","sisu003",1571
1,"sisu005","sisu004",1019
1,"sisu005","sisu005",0
1,"sisu005","sisu006",804
1,"sisu005","sisu007",972
1,"sisu005","sisu008",1151
1,"sisu005","sisu009",1437
1,"sisu005","sisu010",960
1,"sisu005","sisu011",1362
1,"sisu005","sisu012",1566
1,"sisu005","sisu013",2009
1,"sisu005","sisu014",1148
1,"sisu005","sisu015",1536
1,"sisu005","sisu016",1310
1,"sisu005","sisu017",703
1,"sisu005","sisu018",527
1,"sisu005","sisu019",1040
1,"sisu005","sisu020",522
1,"sisu005","sisu021",730
1,"sisu005","sisu022",207
1,"sisu005","sisu023",1094
1,"sisu005","sisu024",569
1,"sisu005","sisu025",983
1,"sisu005","sisu026",447
1,"sisu005","sisu027",1579
1,"sisu005","sisu028",889
1,"sisu005","sisu029",1637
1,"sisu005","sisu030",1425
1,"sisu005","sisu031",1370
1,"sisu005","sisu032",513
1,"sisu005","sisu033",846
1,"sisu005","sisu034",570
1,"sisu005","sisu035",1536
1,"sisu005","sisu036",503
1,"sisu005","sisu037",1341
1,"sisu005","sisu038",550
1,"sisu005","sisu039",65
1,"sisu005","sisu040",1080
1,"sisu006","sisu001",851
1,"sisu006","sisu002",486
1,"sisu006","sisu003",1427
1,"sisu006","sisu004",237
1,"sisu006","sisu005",804
1,"sisu006","sisu006",0
1,"sisu006","sisu007",362
1,"sisu006","sisu008",1331
1,"sisu006","sisu009",1577
1,"sisu006","sisu010",243
1,"sisu006","sisu011",682
1,"sisu006","sisu012",1061
1,"sisu006","sisu013",1607
1,"sisu006","sisu014",930
1,"sisu006","sisu015",755
1,"sisu006","sisu016",857
1,"sisu006","sisu017",1214
1,"sisu006","sisu018",1071
1,"sisu006","sisu019",693
1,"sisu006","sisu020",1283
1,"sisu006","sisu021",1142
1,"sisu006","sisu022",1000
1,"sisu006","sisu023",1135
1,"sisu006","sisu024",778
1,"sisu006","sisu025",729
1,"sisu006","sisu026",462
1,"sisu006","sisu027",951
1,"sisu006","sisu028",132
1,"sisu006","sisu029",1397
1,"sisu006","sisu030",625
1,"sisu006","sisu031",1710
1,"sisu006","sisu032",942
1,"sisu006","sisu033",194
1,"sisu006","sisu034",908
1,"sisu006","sisu035",734
1,"sisu006","sisu036",910
1,"sisu006","sisu037",607
1,"sisu006","sisu038",568
1,"sisu006","sisu039",831
1,"sisu006","sisu040",1506
1,"sisu007","sisu001",1198
1,"sisu007","sisu002",575
1,"sisu007","sisu003",1784
1,"sisu007","sisu004",258
1,"sisu007","sisu005",972
1,"sisu007","sisu006",362
1,"sisu007","sisu007",0
1,"sisu007","sisu008",1684
1,"sisu007","sisu009",1936
1,"sisu007","sisu010",550
1,"sisu007","sisu011",921
1,"sisu007","sisu012",1358
1,"sisu007","sisu013",1915
1,"sisu007","sisu014",1289
1,"sisu007","sisu015",613
1,"sisu007","sisu016",1183
1,"sisu007","sisu017",1511
1,"sisu007","sisu018",1352
1,"sisu007","sisu019",1048
1,"sisu007","sisu020",1489
1,"sisu007","sisu021",1457
1,"sisu007","sisu022",1135
1,"sisu007","sisu023",1495
1,"sisu007","sisu024",1104
1,"sisu007","sisu025",1090
1,"sisu007","sisu026",532
1,"sisu007","sisu027",1198
1,"sisu007","sisu028",453
1,"sisu007","sisu029",1744
1,"sisu007","sisu030",575
1,"sisu007","sisu031",2052
1,"sisu007","sisu032",1240
1,"sisu007","sisu033",547
1,"sisu007","sisu034",1222
1,"sisu007","sisu035",748
1,"sisu007","sisu036",877
1,"sisu007","sisu037",384
1,"sisu007","sisu038",899
1,"sisu007","sisu039",1018
1,"sisu007","sisu040",1830
1,"sisu008","sisu001",492
1,"sisu008","sisu002",1351
1,"sisu008","sisu003",612
1,"sisu008","sisu004",1538
1,"sisu008","sisu005",1151
1,"sisu008","sisu006",1331
1,"sisu008","sisu007",1684
1,"sisu008","sisu008",0
1,"sisu008","sisu009",286
1,"sisu008","sisu010",1245
1,"sisu008","sisu011",1311
1,"sisu008","sisu012",1117
1,"sisu008","sisu013",1243
1,"sisu008","sisu014",601
1,"sisu008","sisu015",1973
1,"sisu008","sisu016",942
1,"sisu008","sisu017",579
1,"sisu008","sisu018",689
1,"sisu008","sisu019",793
1,"sisu008","sisu020",1056
1,"sisu008","sisu021",465
1,"sisu008","sisu022",1258
1,"sisu008","sisu023",245
1,"sisu008","sisu024",631
1,"sisu008","sisu025",695
1,"sisu008","sisu026",1384
1,"sisu008","sisu027",1325
1,"sisu008","sisu028",1286
1,"sisu008","sisu029",773
1,"sisu008","sisu030",1791
1,"sisu008","sisu031",426
1,"sisu008","sisu032",642
1,"sisu008","sisu033",1180
1,"sisu008","sisu034",583
1,"sisu008","sisu035",1779
1,"sisu008","sisu036",1647
1,"sisu008","sisu037",1904
1,"sisu008","sisu038",801
1,"sisu008","sisu039",1095
1,"sisu008","sisu040",421
1,"sisu009","sisu001",763
1,"sisu009","sisu002",1631
1,"sisu009","sisu003",532
1,"sisu009","sisu004",1772
1,"sisu009","sisu005",1437
1,"sisu009","sisu006",1577
1,"sisu009","sisu007",1936
1,"sisu009","sisu008",286
1,"sisu009","sisu009",0
1,"sisu009","sisu010",1465
1,"sisu009","sisu011",1462
1,"sisu009","sisu012",1181
1,"sisu009","sisu013",1172
1,"sisu009","sisu014",745
1,"sisu009","sisu015",2176
1,"sisu009","sisu016",1060
1,"sisu009","sisu017",835
1,"sisu009","sisu018",963
1,"sisu009","sisu019",974
1,"sisu009","sisu020",1311
1,"sisu009","sisu021",737
1,"sisu009","sisu022",1539
