"waveid","sui","suj","distance"
1,"smsu001","smsu001",0
1,"smsu001","smsu002",954
1,"smsu001","smsu003",1060
1,"smsu001","smsu004",350
1,"smsu001","smsu005",609
1,"smsu001","smsu006",354
1,"smsu001","smsu007",698
1,"smsu001","smsu008",732
1,"smsu001","smsu009",548
1,"smsu001","smsu010",994
1,"smsu001","smsu011",1191
1,"smsu001","smsu012",612
1,"smsu001","smsu013",655
1,"smsu001","smsu014",1255
1,"smsu001","smsu015",915
1,"smsu001","smsu016",723
1,"smsu001","smsu017",1553
1,"smsu001","smsu018",703
1,"smsu001","smsu019",903
1,"smsu001","smsu020",706
1,"smsu001","smsu021",957
1,"smsu001","smsu022",750
1,"smsu001","smsu023",295
1,"smsu001","smsu024",673
1,"smsu001","smsu025",722
1,"smsu001","smsu026",492
1,"smsu001","smsu027",108
1,"smsu001","smsu028",920
1,"smsu001","smsu029",1311
1,"smsu001","smsu030",843
1,"smsu001","smsu031",715
1,"smsu001","smsu032",1096
1,"smsu001","smsu033",1313
1,"smsu001","smsu034",697
1,"smsu001","smsu035",1163
1,"smsu001","smsu036",1086
1,"smsu001","smsu037",485
1,"smsu001","smsu038",856
1,"smsu001","smsu039",1244
1,"smsu001","smsu040",943
1,"smsu001","smsu041",1156
1,"smsu001","smsu042",1202
1,"smsu001","smsu043",750
1,"smsu001","smsu044",408
1,"smsu001","smsu045",1083
1,"smsu001","smsu046",1053
1,"smsu001","smsu047",910
1,"smsu001","smsu048",1344
1,"smsu001","smsu049",1241
1,"smsu001","smsu050",1157
1,"smsu001","smsu051",883
1,"smsu001","smsu052",906
1,"smsu001","smsu053",836
1,"smsu001","smsu054",1270
1,"smsu001","smsu055",633
1,"smsu001","smsu056",873
1,"smsu001","smsu057",1496
1,"smsu001","smsu058",790
1,"smsu001","smsu059",1157
1,"smsu001","smsu060",113
1,"smsu001","smsu061",1085
1,"smsu001","smsu062",487
1,"smsu001","smsu063",867
1,"smsu001","smsu064",633
1,"smsu001","smsu065",1015
1,"smsu001","smsu066",1044
1,"smsu001","smsu067",371
1,"smsu001","smsu068",608
1,"smsu001","smsu069",675
1,"smsu001","smsu070",1277
1,"smsu001","smsu071",659
1,"smsu001","smsu072",848
1,"smsu001","smsu073",821
1,"smsu001","smsu074",1123
1,"smsu001","smsu075",593
1,"smsu001","smsu076",677
1,"smsu001","smsu077",786
1,"smsu001","smsu078",1219
1,"smsu001","smsu079",233
1,"smsu001","smsu080",892
1,"smsu001","smsu081",1322
1,"smsu001","smsu082",492
1,"smsu001","smsu083",766
1,"smsu001","smsu084",342
1,"smsu001","smsu085",364
1,"smsu001","smsu086",569
1,"smsu001","smsu087",1087
1,"smsu001","smsu088",831
1,"smsu001","smsu089",526
1,"smsu001","smsu090",996
1,"smsu001","smsu091",764
1,"smsu001","smsu092",536
1,"smsu001","smsu093",930
1,"smsu001","smsu094",337
1,"smsu001","smsu095",979
1,"smsu001","smsu096",554
1,"smsu001","smsu097",1358
1,"smsu001","smsu098",1076
1,"smsu001","smsu099",1181
1,"smsu001","smsu100",448
1,"smsu002","smsu001",954
1,"smsu002","smsu002",0
1,"smsu002","smsu003",1240
1,"smsu002","smsu004",715
1,"smsu002","smsu005",463
1,"smsu002","smsu006",1119
1,"smsu002","smsu007",1184
1,"smsu002","smsu008",1657
1,"smsu002","smsu009",649
1,"smsu002","smsu010",1418
1,"smsu002","smsu011",1560
1,"smsu002","smsu012",552
1,"smsu002","smsu013",550
1,"smsu002","smsu014",1882
1,"smsu002","smsu015",1601
1,"smsu002","smsu016",1674
1,"smsu002","smsu017",2480
1,"smsu002","smsu018",1082
1,"smsu002","smsu019",1823
1,"smsu002","smsu020",1380
1,"smsu002","smsu021",1732
1,"smsu002","smsu022",1655
1,"smsu002","smsu023",972
1,"smsu002","smsu024",1480
1,"smsu002","smsu025",357
1,"smsu002","smsu026",1249
1,"smsu002","smsu027",880
1,"smsu002","smsu028",670
1,"smsu002","smsu029",2044
1,"smsu002","smsu030",1560
1,"smsu002","smsu031",595
1,"smsu002","smsu032",1788
1,"smsu002","smsu033",2261
1,"smsu002","smsu034",1311
1,"smsu002","smsu035",1276
1,"smsu002","smsu036",1760
1,"smsu002","smsu037",661
1,"smsu002","smsu038",1571
1,"smsu002","smsu039",1816
1,"smsu002","smsu040",1701
1,"smsu002","smsu041",1521
1,"smsu002","smsu042",2108
1,"smsu002","smsu043",1698
1,"smsu002","smsu044",1343
1,"smsu002","smsu045",1752
1,"smsu002","smsu046",1532
1,"smsu002","smsu047",355
1,"smsu002","smsu048",1842
1,"smsu002","smsu049",1834
1,"smsu002","smsu050",1782
1,"smsu002","smsu051",1523
1,"smsu002","smsu052",1809
1,"smsu002","smsu053",1470
1,"smsu002","smsu054",1798
1,"smsu002","smsu055",399
1,"smsu002","smsu056",1600
1,"smsu002","smsu057",2430
1,"smsu002","smsu058",1506
1,"smsu002","smsu059",2064
1,"smsu002","smsu060",970
1,"smsu002","smsu061",2038
1,"smsu002","smsu062",615
1,"smsu002","smsu063",1287
1,"smsu002","smsu064",1469
1,"smsu002","smsu065",1126
1,"smsu002","smsu066",1841
1,"smsu002","smsu067",792
1,"smsu002","smsu068",1468
1,"smsu002","smsu069",394
1,"smsu002","smsu070",2141
1,"smsu002","smsu071",380
1,"smsu002","smsu072",1497
1,"smsu002","smsu073",1375
1,"smsu002","smsu074",2032
1,"smsu002","smsu075",1049
1,"smsu002","smsu076",282
1,"smsu002","smsu077",419
1,"smsu002","smsu078",2123
1,"smsu002","smsu079",1140
1,"smsu002","smsu080",1690
1,"smsu002","smsu081",1455
1,"smsu002","smsu082",876
1,"smsu002","smsu083",1263
1,"smsu002","smsu084",1110
1,"smsu002","smsu085",590
1,"smsu002","smsu086",1089
1,"smsu002","smsu087",1616
1,"smsu002","smsu088",1780
1,"smsu002","smsu089",512
1,"smsu002","smsu090",1290
1,"smsu002","smsu091",1718
1,"smsu002","smsu092",1254
1,"smsu002","smsu093",1365
1,"smsu002","smsu094",1272
1,"smsu002","smsu095",1855
1,"smsu002","smsu096",401
1,"smsu002","smsu097",1782
1,"smsu002","smsu098",1397
1,"smsu002","smsu099",1832
1,"smsu002","smsu100",1261
1,"smsu003","smsu001",1060
1,"smsu003","smsu002",1240
1,"smsu003","smsu003",0
1,"smsu003","smsu004",809
1,"smsu003","smsu005",1303
1,"smsu003","smsu006",1413
1,"smsu003","smsu007",1745
1,"smsu003","smsu008",1209
1,"smsu003","smsu009",1395
1,"smsu003","smsu010",321
1,"smsu003","smsu011",354
1,"smsu003","smsu012",1383
1,"smsu003","smsu013",720
1,"smsu003","smsu014",821
1,"smsu003","smsu015",720
1,"smsu003","smsu016",1484
1,"smsu003","smsu017",1830
1,"smsu003","smsu018",1725
1,"smsu003","smsu019",1752
1,"smsu003","smsu020",637
1,"smsu003","smsu021",923
1,"smsu003","smsu022",1144
1,"smsu003","smsu023",1342
1,"smsu003","smsu024",1691
1,"smsu003","smsu025",1329
1,"smsu003","smsu026",1544
1,"smsu003","smsu027",970
1,"smsu003","smsu028",593
1,"smsu003","smsu029",1073
