"waveid","su_id","smaller_meals","fewer_meals","no_food","sleep_hungry","without_eating","malehead","femalehead","cow","bull","goat","chicken","motorcycle","bicycle","tv","smartphone","refrigerator","sofa","cot","mattress","sewingmachine","tractor","plow","ownedland","washingmachine","radio","laptop","car"
1,"egsu001","sometimes","sometimes","rarely","never","never","eg0001","eg0002",0,2,2,1,1,0,0,1,1,1,0,2,0,3,2,0,0,1,0,0
1,"egsu002","rarely","often","often","often","often","eg0007","eg0008",0,1,0,0,2,1,1,2,0,1,0,0,3,1,0,0,2,2,1,0
1,"egsu003","often","rarely","sometimes","often","never","eg0011","eg0012",0,0,2,1,0,1,0,2,0,0,0,1,0,2,1,0,0,0,2,2
1,"egsu004","rarely","never","never","rarely","rarely","eg0018","eg0019",1,0,1,0,0,0,1,0,1,0,1,2,3,0,2,0,1,1,0,0
1,"egsu005","never","never","often","often","rarely","eg0025","eg0026",0,1,0,0,0,1,0,0,0,0,3,2,0,0,0,3,0,1,1,0
1,"egsu006","sometimes","rarely","rarely","sometimes","sometimes","eg0030","eg0031",1,1,3,0,2,0,3,2,3,1,1,0,0,1,1,0,2,0,0,0
1,"egsu007","often","often","sometimes","rarely","rarely","eg0035","eg0036",0,2,0,0,2,1,2,3,2,1,1,0,0,2,2,0,0,0,1,0
1,"egsu008","often","never","often","never","sometimes","eg0042","eg0043",2,2,1,0,2,0,3,0,3,0,1,0,0,1,0,2,1,1,0,2
1,"egsu009","never","often","often","often","sometimes","eg0047","eg0048",0,2,0,1,1,1,2,0,1,0,1,1,0,0,1,0,0,0,0,1
1,"egsu010","sometimes","rarely","sometimes","sometimes","often","eg0051","eg0052",1,3,0,1,1,1,1,0,1,0,0,0,2,0,1,1,0,1,3,1
1,"egsu011","never","never","never","often","often","eg0056","eg0057",2,2,1,1,1,0,1,0,2,2,0,0,2,1,0,0,1,0,0,1
1,"egsu012","never","sometimes","never","rarely","never","eg0059","eg0060",0,2,3,0,1,0,1,2,0,0,2,1,0,0,1,0,1,2,1,0
1,"egsu013","often","sometimes","rarely","often","rarely","eg0062","eg0063",0,0,1,0,1,1,0,1,2,0,0,0,0,1,1,1,0,3,1,1
1,"egsu014","never","rarely","often","often","never","eg0067","eg0068",0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,1,2,2,0,0
1,"egsu015","rarely","often","sometimes","never","sometimes","eg0072","eg0073",2,1,3,1,0,1,0,3,0,0,0,0,1,0,1,1,0,0,3,3
