"waveid","su_id","smaller_meals","fewer_meals","no_food","sleep_hungry","without_eating","malehead","femalehead","cow","bull","goat","chicken","motorcycle","bicycle","tv","smartphone","refrigerator","sofa","cot","mattress","sewingmachine","tractor","plow","ownedland","washingmachine","radio","laptop","car"
1,"exsu001","never","often","never","rarely","sometimes","ex0001","ex0002",1,0,1,1,0,0,0,0,2,1,0,0,2,2,1,1,0,0,0,0
1,"exsu002","never","rarely","sometimes","rarely","rarely","ex0008","ex0009",0,1,1,0,1,0,1,1,1,0,0,0,0,0,2,2,1,1,0,1
1,"exsu003","never","rarely","rarely","never","often","ex0011","ex0012",0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,2,2,0,2,0
1,"exsu004","often","rarely","often","never","often","ex0016","ex0017",2,0,1,1,2,1,2,2,0,0,0,0,2,3,0,0,0,0,1,1
1,"exsu005","rarely","sometimes","sometimes","never","often","ex0019","ex0020",2,1,0,2,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1
1,"exsu006","never","sometimes","rarely","sometimes","never","ex0022","ex0023",2,2,0,1,0,0,0,2,0,0,0,2,2,2,1,0,0,0,1,3
1,"exsu007","rarely","rarely","never","sometimes","sometimes","ex0029","ex0030",1,0,0,0,1,1,3,1,2,1,0,0,2,0,0,1,1,1,0,1
1,"exsu008","often","never","often","sometimes","sometimes","ex0036","ex0037",0,0,1,0,0,1,2,0,0,2,0,1,1,0,2,0,0,1,1,3
1,"exsu009","never","never","never","often","rarely","ex0041","ex0042",0,0,1,1,1,1,0,1,2,1,1,0,1,0,0,2,0,1,0,1
1,"exsu010","never","often","never","sometimes","never","ex0046","ex0047",0,0,1,0,2,1,2,0,1,0,0,0,2,0,0,0,2,0,1,1
1,"exsu011","rarely","sometimes","rarely","sometimes","sometimes","ex0050","ex0051",0,0,0,2,0,1,2,1,2,1,0,0,3,0,1,1,0,0,3,1
1,"exsu012","often","often","sometimes","never","rarely","ex0056","ex0057",1,0,2,1,1,0,0,2,0,0,0,0,1,1,1,0,0,1,0,0
1,"exsu013","rarely","rarely","sometimes","often","never","ex0060","ex0061",1,2,0,0,0,2,0,0,0,1,0,0,2,2,0,1,2,2,0,1
