"waveid","su_id","smaller_meals","fewer_meals","no_food","sleep_hungry","without_eating","malehead","femalehead","cow","bull","goat","chicken","motorcycle","bicycle","tv","smartphone","refrigerator","sofa","cot","mattress","sewingmachine","tractor","plow","ownedland","washingmachine","radio","laptop","car"
1,"sisu001","often","sometimes","often","rarely","sometimes","si0001","si0002",1,1,0,2,1,1,0,0,2,1,0,2,1,3,0,2,0,0,0,2
1,"sisu002","sometimes","rarely","sometimes","never","often","si0008","si0009",1,1,1,1,0,0,2,1,0,2,2,3,0,1,0,1,2,0,0,2
1,"sisu003","often","rarely","never","rarely","never","si0014","si0015",0,0,0,2,1,0,0,0,0,1,0,0,1,0,1,0,0,2,1,3
1,"sisu004","never","never","often","rarely","rarely","si0017","si0018",1,0,0,3,0,0,0,1,1,0,1,1,0,2,1,1,1,2,0,0
1,"sisu005","never","rarely","often","often","never","si0020","si0021",2,2,0,1,0,0,1,0,3,0,0,0,2,0,2,1,0,0,0,0
1,"sisu006","rarely","often","never","sometimes","rarely","si0023","si0024",0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,2,0,2,1
1,"sisu007","sometimes","sometimes","often","sometimes","sometimes","si0026","si0027",0,1,0,0,0,0,2,0,0,1,2,0,3,0,3,0,0,2,2,1
1,"sisu008","never","sometimes","never","rarely","often","si0030","si0031",1,1,2,2,0,2,1,0,2,0,0,2,3,1,0,0,0,2,0,0
1,"sisu009","often","never","rarely","rarely","sometimes","si0034","si0035",0,2,0,0,0,2,0,2,0,1,0,2,0,0,1,3,0,1,0,1
1,"sisu010","sometimes","never","sometimes","never","often","si0038","si0039",1,2,1,0,1,0,0,0,0,0,0,3,0,1,1,3,1,1,0,0
1,"sisu011","often","often","often","often","sometimes","si0042","si0043",3,3,1,1,1,3,2,0,2,0,1,1,0,2,1,0,1,0,0,0
1,"sisu012","sometimes","never","often","sometimes","often","si0045","si0046",0,1,2,2,0,1,2,1,2,2,0,0,1,2,1,0,1,1,1,0
1,"sisu013","often","often","never","never","rarely","si0048","si0049",0,0,1,2,3,1,0,0,2,0,0,1,2,1,0,2,0,0,2,0
1,"sisu014","often","rarely","often","never","often","si0051","si0052",0,1,1,2,1,0,1,2,1,0,0,0,0,2,1,0,0,0,0,1
1,"sisu015","often","sometimes","never","rarely","never","si0056","si0057",0,0,1,1,1,0,1,1,2,0,1,0,0,2,3,0,2,1,0,2
1,"sisu016","often","often","often","never","sometimes","si0063","si0064",1,0,2,1,0,0,1,0,1,3,0,0,0,2,0,2,0,3,0,0
1,"sisu017","never","often","never","never","rarely","si0069","si0070",0,0,2,1,0,0,3,0,1,1,2,0,2,2,3,1,0,2,2,2
1,"sisu018","sometimes","never","never","often","sometimes","si0076","si0077",0,1,0,0,1,0,1,1,0,2,0,2,0,0,0,2,0,0,0,0
1,"sisu019","often","often","sometimes","rarely","sometimes","si0079","si0080",1,1,0,0,0,0,1,1,1,0,2,2,1,1,2,0,0,1,3,0
1,"sisu020","never","sometimes","rarely","sometimes","sometimes","si0082","si0083",0,2,2,2,0,3,0,0,3,1,0,0,0,0,0,1,1,3,3,1
1,"sisu021","often","rarely","often","often","often","si0086","si0087",1,1,2,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0
1,"sisu022","often","often","sometimes","never","never","si0093","si0094",0,1,0,2,0,2,0,0,2,0,0,2,0,1,1,0,0,1,0,1
1,"sisu023","never","often","rarely","often","rarely","si0097","si0098",3,0,1,2,2,2,0,1,0,3,1,0,0,0,0,1,1,0,0,2
1,"sisu024","never","often","sometimes","often","never","si0102","si0103",0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1
1,"sisu025","never","never","sometimes","rarely","rarely","si0105","si0106",2,1,0,2,0,0,0,2,2,1,0,3,1,0,1,1,0,0,1,1
1,"sisu026","never","sometimes","rarely","sometimes","sometimes","si0108","si0109",2,0,1,0,2,0,1,0,0,0,1,0,0,2,2,0,2,1,0,0
1,"sisu027","often","never","often","often","sometimes","si0111","si0112",0,0,1,2,0,0,1,1,3,0,2,0,0,2,0,2,1,0,0,2
1,"sisu028","never","never","rarely","never","sometimes","si0115","si0116",2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,0,1,1
1,"sisu029","rarely","sometimes","never","never","often","si0121","si0122",0,2,0,2,0,0,0,0,3,0,1,2,0,3,2,0,1,1,1,1
1,"sisu030","often","rarely","never","never","sometimes","si0126","si0127",1,2,1,0,0,1,1,0,2,2,0,1,1,1,0,2,0,0,1,1
1,"sisu031","rarely","never","sometimes","sometimes","often","si0133","si0134",1,0,0,0,1,2,0,0,1,0,2,0,0,0,0,0,0,2,0,2
1,"sisu032","rarely","often","sometimes","often","often","si0138","si0139",0,0,0,0,0,0,1,1,2,0,1,0,0,0,2,0,0,2,0,0
1,"sisu033","rarely","rarely","never","often","sometimes","si0143","si0144",0,0,0,0,1,3,0,0,0,0,0,1,3,3,0,1,1,0,1,0
1,"sisu034","rarely","never","rarely","rarely","never","si0148","si0149",0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,1,0,0,2
1,"sisu035","sometimes","rarely","never","sometimes","never","si0154","si0155",0,0,1,0,3,1,0,0,0,1,2,2,0,3,1,0,1,1,0,0
1,"sisu036","never","rarely","often","sometimes","often","si0161","si0162",1,0,0,1,1,0,2,1,0,3,1,1,0,0,0,1,1,1,3,1
1,"sisu037","sometimes","sometimes","never","never","never","si0165","si0166",0,0,0,1,0,1,1,1,1,0,0,1,2,0,0,1,3,3,0,0
1,"sisu038","never","never","never","sometimes","sometimes","si0171","si0172",0,0,0,0,1,0,1,0,1,1,0,2,2,2,0,0,1,0,2,1
1,"sisu039","sometimes","never","sometimes","never","sometimes","si0176","si0177",1,0,0,1,3,1,1,0,3,0,0,2,0,2,0,0,2,3,1,0
1,"sisu040","often","rarely","sometimes","rarely","often","si0180","si0181",1,2,2,0,2,1,1,0,0,3,0,0,1,0,0,0,0,1,0,1
