"waveid","su_id","smaller_meals","fewer_meals","no_food","sleep_hungry","without_eating","malehead","femalehead","cow","bull","goat","chicken","motorcycle","bicycle","tv","smartphone","refrigerator","sofa","cot","mattress","sewingmachine","tractor","plow","ownedland","washingmachine","radio","laptop","car"
1,"smsu001","sometimes","rarely","often","rarely","never","sm0001","sm0002",0,0,1,0,1,3,2,0,1,1,2,0,0,2,0,2,0,0,0,2
1,"smsu002","often","rarely","rarely","never","sometimes","sm0006","sm0007",0,1,0,1,3,0,0,1,0,0,0,0,0,2,3,0,1,0,0,0
1,"smsu003","never","rarely","never","never","sometimes","sm0012","sm0013",2,2,0,0,0,1,0,0,1,1,1,1,0,0,0,2,1,2,1,0
1,"smsu004","often","rarely","rarely","often","never","sm0016","sm0017",0,1,1,0,0,0,0,1,1,0,2,2,0,2,0,2,0,0,2,0
1,"smsu005","often","sometimes","rarely","sometimes","sometimes","sm0020","sm0021",2,0,2,2,1,1,0,0,2,0,3,2,0,2,2,0,3,0,1,0
1,"smsu006","often","never","often","often","often","sm0024","sm0025",1,1,1,0,2,0,1,1,2,0,1,2,2,1,3,0,1,3,1,1
1,"smsu007","often","never","never","often","often","sm0029","sm0030",0,0,0,0,1,0,0,2,1,2,0,1,2,0,0,0,1,1,1,0
1,"smsu008","sometimes","rarely","sometimes","never","never","sm0036","sm0037",0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,1,0
1,"smsu009","rarely","often","sometimes","never","rarely","sm0040","sm0041",3,0,1,3,0,0,0,2,0,0,0,1,3,1,0,0,0,2,0,1
1,"smsu010","sometimes","often","sometimes","often","rarely","sm0046","sm0047",1,1,0,2,0,1,0,2,0,0,1,0,2,2,0,1,0,1,0,0
1,"smsu011","never","sometimes","rarely","often","never","sm0051","sm0052",0,2,1,0,2,0,2,1,0,1,0,1,1,0,0,1,0,2,0,1
1,"smsu012","sometimes","never","often","often","never","sm0058","sm0059",0,3,0,0,2,1,2,2,0,0,0,0,0,0,0,2,1,0,0,1
1,"smsu013","never","rarely","never","rarely","never","sm0062","sm0063",0,0,0,0,1,0,0,1,1,2,0,0,2,0,1,0,0,1,2,0
1,"smsu014","sometimes","rarely","often","never","rarely","sm0067","sm0068",2,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0
1,"smsu015","rarely","often","never","sometimes","sometimes","sm0071","sm0072",0,2,1,0,0,3,0,0,2,1,1,0,2,0,1,0,2,0,2,1
1,"smsu016","sometimes","sometimes","never","often","never","sm0076","sm0077",0,1,3,0,1,1,1,0,0,2,3,0,0,0,1,0,1,2,0,0
1,"smsu017","sometimes","never","rarely","sometimes","never","sm0079","sm0080",3,0,0,0,0,0,1,1,1,2,1,0,0,1,0,0,2,0,1,1
1,"smsu018","sometimes","never","sometimes","never","never","sm0086","sm0087",0,2,2,3,0,0,0,0,1,0,3,0,0,0,0,0,1,0,2,1
1,"smsu019","never","sometimes","never","often","never","sm0093","sm0094",0,0,1,0,1,3,2,1,0,2,2,1,1,3,3,1,1,2,0,2
1,"smsu020","never","rarely","rarely","often","rarely","sm0100","sm0101",3,0,1,0,0,1,2,0,1,0,2,0,1,0,0,0,1,1,2,0
1,"smsu021","never","sometimes","sometimes","rarely","often","sm0105","sm0106",1,2,1,0,0,1,0,2,1,0,0,1,0,0,3,1,0,0,2,0
1,"smsu022","sometimes","often","often","often","rarely","sm0112","sm0113",0,0,1,1,0,0,0,1,0,0,1,0,2,0,1,1,2,0,1,2
1,"smsu023","often","sometimes","sometimes","never","often","sm0116","sm0117",2,2,1,0,0,1,2,0,0,0,1,1,1,1,0,0,0,1,1,3
1,"smsu024","often","often","rarely","often","never","sm0120","sm0121",0,0,0,1,2,3,0,0,0,0,0,1,1,0,2,3,0,0,0,2
1,"smsu025","never","often","often","often","never","sm0123","sm0124",0,0,0,0,0,1,2,0,3,0,0,0,2,1,1,1,0,1,1,0
1,"smsu026","rarely","often","sometimes","rarely","sometimes","sm0127","sm0128",0,0,1,2,0,0,0,2,1,0,0,1,1,0,0,2,1,1,1,0
1,"smsu027","rarely","sometimes","sometimes","never","rarely","sm0132","sm0133",0,0,0,0,0,1,2,2,0,0,0,1,1,0,1,1,0,0,0,0
1,"smsu028","sometimes","often","rarely","often","often","sm0138","sm0139",2,1,0,1,3,2,2,1,1,0,2,2,1,0,0,2,0,2,1,2
1,"smsu029","rarely","often","often","sometimes","sometimes","sm0143","sm0144",0,1,2,1,3,1,2,1,1,0,0,0,0,1,0,0,1,1,0,0
1,"smsu030","sometimes","sometimes","never","often","never","sm0147","sm0148",0,0,0,2,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0
1,"smsu031","sometimes","often","never","never","sometimes","sm0152","sm0153",1,0,2,2,0,2,0,0,1,1,1,0,0,0,0,1,1,0,0,0
1,"smsu032","never","sometimes","sometimes","never","never","sm0159","sm0160",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0
1,"smsu033","rarely","never","sometimes","sometimes","sometimes","sm0163","sm0164",1,1,0,0,0,1,0,1,1,1,1,2,0,0,2,1,1,0,3,0
1,"smsu034","rarely","never","sometimes","sometimes","sometimes","sm0169","sm0170",0,0,0,2,0,0,0,2,0,0,0,0,2,2,0,1,2,3,0,1
1,"smsu035","sometimes","sometimes","sometimes","often","rarely","sm0175","sm0176",0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,3,1,1,0,0
1,"smsu036","rarely","sometimes","never","rarely","often","sm0180","sm0181",0,0,0,0,0,1,2,0,0,1,2,0,2,1,1,0,0,3,2,0
1,"smsu037","often","sometimes","sometimes","often","rarely","sm0186","sm0187",2,1,2,0,0,1,2,0,0,1,2,3,2,1,0,2,1,1,1,2
1,"smsu038","rarely","sometimes","never","never","sometimes","sm0191","sm0192",0,2,1,0,1,2,0,0,0,1,0,1,0,1,0,0,1,0,1,0
1,"smsu039","often","rarely","rarely","rarely","often","sm0197","sm0198",0,0,1,0,0,1,0,1,2,0,0,0,2,0,0,0,1,0,0,0
1,"smsu040","often","rarely","rarely","sometimes","rarely","sm0203","sm0204",0,1,2,0,0,0,1,0,0,0,1,0,0,2,0,1,1,0,1,0
1,"smsu041","sometimes","often","rarely","never","never","sm0209","sm0210",1,1,1,1,0,1,0,3,1,1,3,1,0,1,0,1,0,0,3,0
1,"smsu042","rarely","rarely","never","never","rarely","sm0212","sm0213",0,0,0,0,2,0,1,1,2,0,0,1,0,1,2,1,2,0,1,0
1,"smsu043","never","often","often","never","sometimes","sm0217","sm0218",1,0,1,3,1,0,0,1,2,0,0,0,1,1,0,1,0,2,0,0
1,"smsu044","rarely","sometimes","sometimes","never","rarely","sm0222","sm0223",1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0
1,"smsu045","often","rarely","sometimes","never","never","sm0228","sm0229",0,2,0,1,0,0,1,0,2,0,0,3,1,0,0,0,0,3,0,0
1,"smsu046","rarely","sometimes","rarely","often","rarely","sm0232","sm0233",0,1,2,2,2,1,0,2,2,0,0,0,1,0,1,0,0,2,0,1
1,"smsu047","never","rarely","often","never","never","sm0237","sm0238",0,0,0,2,0,0,1,0,2,0,2,0,1,3,3,1,1,1,0,0
1,"smsu048","never","sometimes","rarely","never","sometimes","sm0242","sm0243",0,1,0,2,2,0,1,0,0,0,1,0,1,0,0,0,0,2,0,2
1,"smsu049","sometimes","rarely","sometimes","sometimes","never","sm0247","sm0248",1,0,0,1,3,0,0,1,1,0,1,0,0,0,3,1,1,1,0,0
1,"smsu050","often","never","rarely","never","often","sm0250","sm0251",0,1,0,2,2,1,0,0,0,0,1,0,2,1,2,0,2,1,0,0
1,"smsu051","rarely","never","never","rarely","never","sm0253","sm0254",1,0,3,0,0,0,2,1,0,1,1,1,1,1,0,3,0,0,1,0
1,"smsu052","never","never","sometimes","rarely","often","sm0258","sm0259",0,1,0,0,0,1,1,0,0,0,2,0,2,0,1,2,1,2,1,0
1,"smsu053","sometimes","sometimes","never","never","never","sm0263","sm0264",1,1,0,0,2,0,3,0,0,0,1,0,0,1,1,0,0,2,0,2
1,"smsu054","rarely","sometimes","rarely","never","often","sm0269","sm0270",0,0,0,0,0,1,2,2,0,1,0,0,0,1,0,0,1,2,1,1
1,"smsu055","never","rarely","rarely","often","sometimes","sm0275","sm0276",1,0,2,2,0,0,0,0,0,0,0,1,3,2,0,0,0,1,3,0
1,"smsu056","often","sometimes","never","rarely","rarely","sm0281","sm0282",0,0,0,2,1,1,1,2,1,2,0,1,0,0,1,1,0,1,2,0
1,"smsu057","often","rarely","rarely","never","never","sm0288","sm0289",0,2,0,0,1,1,1,0,2,1,1,1,0,0,0,2,0,0,1,2
1,"smsu058","rarely","often","never","never","often","sm0293","sm0294",0,1,0,1,3,1,0,0,0,2,0,1,0,1,0,0,0,0,0,1
1,"smsu059","rarely","never","rarely","often","never","sm0298","sm0299",1,0,0,0,1,0,2,0,0,2,0,0,0,1,1,0,0,1,2,0
1,"smsu060","rarely","sometimes","sometimes","often","rarely","sm0301","sm0302",0,0,1,0,2,0,2,0,0,0,0,2,1,2,0,2,2,1,1,0
1,"smsu061","sometimes","rarely","sometimes","often","rarely","sm0308","sm0309",0,0,1,1,0,0,1,1,0,0,1,0,1,1,2,1,1,0,1,1
1,"smsu062","rarely","often","sometimes","rarely","often","sm0312","sm0313",2,0,0,1,1,0,0,0,0,1,0,1,2,0,0,1,0,1,0,1
1,"smsu063","rarely","sometimes","often","sometimes","never","sm0316","sm0317",1,3,0,1,0,1,0,1,2,1,0,3,0,0,1,0,0,0,0,1
1,"smsu064","never","rarely","rarely","rarely","sometimes","sm0321","sm0322",3,0,1,0,2,2,0,2,1,0,0,1,2,0,1,1,0,0,0,1
1,"smsu065","rarely","sometimes","never","often","never","sm0324","sm0325",1,3,2,0,0,0,1,0,1,1,0,0,2,0,1,0,2,0,2,0
1,"smsu066","often","rarely","rarely","rarely","never","sm0329","sm0330",0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,2,2
1,"smsu067","never","sometimes","never","rarely","often","sm0332","sm0333",1,0,1,1,0,1,2,0,1,1,0,1,0,0,0,1,2,1,1,1
1,"smsu068","sometimes","often","often","rarely","sometimes","sm0339","sm0340",0,0,0,0,3,3,1,2,0,2,2,2,1,1,0,2,1,0,0,2
1,"smsu069","sometimes","sometimes","never","often","often","sm0342","sm0343",0,2,0,1,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0
1,"smsu070","often","rarely","never","never","often","sm0348","sm0349",0,0,0,1,2,0,0,0,0,0,3,2,1,2,1,0,2,0,1,3
1,"smsu071","never","never","often","rarely","never","sm0354","sm0355",0,1,1,0,0,0,0,3,0,2,0,1,0,0,1,0,0,2,0,1
1,"smsu072","never","never","never","rarely","never","sm0359","sm0360",1,1,0,2,1,1,0,0,2,0,0,1,0,1,0,1,1,0,0,0
1,"smsu073","often","often","rarely","sometimes","rarely","sm0363","sm0364",0,1,2,3,0,1,1,2,0,2,0,1,1,2,2,2,1,3,0,1
1,"smsu074","often","often","rarely","sometimes","never","sm0366","sm0367",2,1,0,2,2,1,3,1,3,3,0,2,0,0,2,1,0,1,1,1
1,"smsu075","often","rarely","sometimes","rarely","often","sm0370","sm0371",0,2,0,3,0,1,2,0,0,1,0,1,0,0,0,0,2,0,0,2
1,"smsu076","never","rarely","often","often","rarely","sm0377","sm0378",0,0,0,0,1,1,2,1,1,0,1,0,0,0,2,0,1,1,1,0
1,"smsu077","often","sometimes","rarely","often","never","sm0384","sm0385",1,1,0,0,0,1,1,0,0,0,0,1,1,3,0,0,1,2,1,2
1,"smsu078","rarely","rarely","never","sometimes","sometimes","sm0389","sm0390",1,0,3,2,0,0,2,2,2,0,2,2,1,1,1,1,3,1,0,1
1,"smsu079","sometimes","never","often","sometimes","sometimes","sm0393","sm0394",1,1,1,0,0,1,2,1,1,1,2,1,0,2,1,1,0,0,0,1
1,"smsu080","often","rarely","never","often","never","sm0400","sm0401",0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,2,1
1,"smsu081","rarely","never","never","rarely","rarely","sm0404","sm0405",3,2,1,1,3,0,2,1,1,0,1,0,0,0,2,0,0,1,0,1
1,"smsu082","sometimes","sometimes","rarely","often","often","sm0410","sm0411",1,0,1,3,0,1,1,0,2,1,2,2,0,0,3,1,0,1,1,0
1,"smsu083","never","often","often","rarely","sometimes","sm0413","sm0414",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,2
1,"smsu084","often","never","sometimes","often","often","sm0416","sm0417",0,2,0,0,0,0,3,0,0,1,1,0,0,3,1,1,0,0,2,1
1,"smsu085","often","sometimes","never","sometimes","sometimes","sm0420","sm0421",0,1,1,2,0,1,0,1,2,1,0,0,2,2,0,0,1,1,0,0
1,"smsu086","rarely","rarely","sometimes","often","sometimes","sm0425","sm0426",0,0,1,1,0,0,3,1,1,3,0,0,1,0,0,0,1,3,2,2
1,"smsu087","often","rarely","never","often","rarely","sm0431","sm0432",1,1,0,0,0,1,1,3,0,0,0,1,2,2,2,1,0,0,1,0
1,"smsu088","often","never","never","rarely","sometimes","sm0434","sm0435",1,0,1,1,1,0,0,2,2,0,0,1,0,0,2,3,0,3,0,0
1,"smsu089","sometimes","never","often","rarely","never","sm0437","sm0438",3,0,0,0,1,2,1,0,2,0,1,1,0,2,1,0,1,0,0,0
1,"smsu090","often","sometimes","sometimes","sometimes","sometimes","sm0444","sm0445",0,2,1,1,1,1,1,0,0,0,0,2,1,0,0,0,1,0,0,0
1,"smsu091","often","sometimes","rarely","rarely","sometimes","sm0451","sm0452",1,2,2,0,1,1,0,1,2,0,1,1,2,3,1,1,1,0,1,1
1,"smsu092","sometimes","often","sometimes","sometimes","never","sm0457","sm0458",0,1,1,1,1,0,0,0,0,0,3,0,2,0,1,1,2,2,0,1
1,"smsu093","rarely","never","sometimes","often","often","sm0461","sm0462",1,2,0,0,0,0,1,1,0,0,1,0,0,0,1,2,2,1,2,0
1,"smsu094","never","sometimes","never","often","often","sm0465","sm0466",1,0,0,0,0,2,0,0,2,0,0,1,0,1,1,0,0,0,1,1
1,"smsu095","rarely","often","often","often","never","sm0468","sm0469",3,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,1,3
