"su_id","size_su","cash_value"
"egsu001",6,4266.6
"egsu002",4,2144
"egsu003",7,4821.6
"egsu004",7,494
"egsu005",5,1068
"egsu006",5,2355
"egsu007",7,3493
"egsu008",5,4806
"egsu009",4,1642.6
"egsu010",5,2292.6
"egsu011",3,3093.6
"egsu012",3,780
"egsu013",5,3031
"egsu014",5,934
"egsu015",5,4019.6
"egsu016",7,1592.6
"egsu017",5,3001
"egsu018",7,2192
"egsu019",3,4701
"egsu020",5,1875.6
"egsu021",6,3349
"egsu022",4,827
"egsu023",3,1603.6
"egsu024",3,6942
"egsu025",3,4155
"egsu026",5,2793
"egsu027",4,1723
"egsu028",6,264.2
"egsu029",7,609.2
"egsu030",3,2977
"egsu031",5,2813.2
"egsu032",6,3550
"egsu033",5,2542.6
"egsu034",3,1328.8
"egsu035",5,4859
"egsu036",3,2867.6
"egsu037",3,3852.8
"egsu038",7,1392.6
"egsu039",3,2142
"egsu040",6,1878.8
"egsu041",3,2127.6
"egsu042",6,634.6
"egsu043",4,1585.2
"egsu044",4,2238.8
"egsu045",5,2421
"egsu046",3,1830
"egsu047",3,2739.6
"egsu048",4,4753.2
"egsu049",6,538.6
"egsu050",5,3703
"egsu051",7,1771.6
"egsu052",7,801.6
"egsu053",6,3997.2
"egsu054",7,3863
"egsu055",5,2177.6
"egsu056",5,5283
"egsu057",3,2256.6
"egsu058",7,4654.6
"egsu059",5,3104.2
"egsu060",5,2399.8
