"su_id","size_su","cash_value"
"exsu001",7,3039.6
"exsu002",3,2089
"exsu003",5,990
"exsu004",3,5493.6
"exsu005",3,3065.2
"exsu006",7,6047.6
"exsu007",7,1989
"exsu008",5,3437
"exsu009",5,1999.6
"exsu010",4,1860
"exsu011",6,1969.2
"exsu012",4,1686.6
"exsu013",7,4188
"exsu014",7,2161
"exsu015",4,407
"exsu016",6,1607
"exsu017",4,4368.2
"exsu018",3,3123
"exsu019",7,1626.6
"exsu020",5,3081
"exsu021",5,2349.6
"exsu022",7,759
"exsu023",6,1118
"exsu024",6,1522
"exsu025",6,4654.6
"exsu026",6,1421.6
"exsu027",7,3225.6
"exsu028",3,1498
"exsu029",5,1826.8
"exsu030",6,3297
"exsu031",7,945.2
"exsu032",3,1461
"exsu033",6,1781.2
"exsu034",4,2898.6
"exsu035",7,1402.6
"exsu036",6,4938
"exsu037",5,2089
"exsu038",6,2700.6
"exsu039",5,829.8
"exsu040",7,4904
"exsu041",5,6487.8
"exsu042",6,3818.6
"exsu043",3,2621
"exsu044",6,1032
"exsu045",6,1933
"exsu046",7,494
"exsu047",3,943.2
"exsu048",6,2850
"exsu049",4,1072
"exsu050",4,572
"exsu051",7,2877.6
"exsu052",7,2012
"exsu053",6,6528.6
"exsu054",6,1739.8
"exsu055",3,3019.6
"exsu056",5,2649
"exsu057",7,3864.6
"exsu058",5,938
"exsu059",3,4723.6
"exsu060",5,3658.2
"exsu061",7,1931.6
"exsu062",7,5784
"exsu063",4,4085.6
"exsu064",6,2867.6
"exsu065",5,2715.6
"exsu066",6,3046.6
"exsu067",4,1578
"exsu068",3,3075
"exsu069",4,3305
"exsu070",3,2335.8
