"su_id","size_su","cash_value"
"sisu001",7,6725.2
"sisu002",6,4015.6
"sisu003",3,3457.2
"sisu004",3,3015.8
"sisu005",3,957.6
"sisu006",3,1668
"sisu007",4,1634
"sisu008",4,1773.2
"sisu009",4,2157
"sisu010",4,2569
"sisu011",3,3492.6
"sisu012",3,3090.2
"sisu013",3,2711.2
"sisu014",5,3955.2
"sisu015",7,5079.6
"sisu016",6,3258.6
"sisu017",7,5293.6
"sisu018",3,980
"sisu019",3,1973
"sisu020",4,2122.2
"sisu021",7,2010
"sisu022",4,2600.2
"sisu023",5,3122.2
"sisu024",3,1423.6
"sisu025",3,1945.2
"sisu026",3,3222
"sisu027",4,5309.2
"sisu028",6,3121
"sisu029",5,5283.2
"sisu030",7,3370
"sisu031",5,2474
"sisu032",5,359
"sisu033",5,4396
"sisu034",6,2779
"sisu035",7,4425
"sisu036",4,2113.6
"sisu037",6,712.6
"sisu038",5,4104
"sisu039",4,3582.6
"sisu040",7,1867
