"su_id","size_su","cash_value"
"smsu001",5,5400
"smsu002",6,3285.6
"smsu003",4,1157
"smsu004",4,3386
"smsu005",4,3342.2
"smsu006",5,3328
"smsu007",7,649
"smsu008",4,384
"smsu009",6,2672.8
"smsu010",5,3025.2
"smsu011",7,2042
"smsu012",4,2378
"smsu013",5,673
"smsu014",4,404
"smsu015",5,1835
"smsu016",3,615
"smsu017",7,2885
"smsu018",7,1607.8
"smsu019",7,6534
"smsu020",5,749
"smsu021",7,994
"smsu022",4,2656.6
"smsu023",4,4842
"smsu024",3,3327.6
"smsu025",4,1977
"smsu026",5,894.2
"smsu027",6,550
"smsu028",5,3705.6
"smsu029",4,2180.6
"smsu030",5,1405.2
"smsu031",7,618.2
"smsu032",4,967
"smsu033",6,1035
"smsu034",6,3962.2
"smsu035",5,1059
"smsu036",6,1699
"smsu037",5,4389
"smsu038",6,1868
"smsu039",6,374
"smsu040",6,3031
"smsu041",3,2200.6
"smsu042",5,2348
"smsu043",5,1986.8
"smsu044",6,804
"smsu045",4,496.6
"smsu046",5,1821.2
"smsu047",5,4280.2
"smsu048",5,2620.2
"smsu049",3,1189.6
"smsu050",3,1979.2
"smsu051",5,2385
"smsu052",5,956
"smsu053",6,3965
"smsu054",6,2622
"smsu055",6,2952.2
"smsu056",7,968.2
"smsu057",5,3231
"smsu058",5,3001.6
"smsu059",3,1883
"smsu060",7,3673
"smsu061",4,2846.6
"smsu062",4,1748.6
"smsu063",5,1671.6
"smsu064",3,2160
"smsu065",5,910
"smsu066",3,2907
"smsu067",7,1810.6
"smsu068",3,4634
"smsu069",6,395.6
"smsu070",6,6160.6
"smsu071",5,1376
"smsu072",4,2077.2
"smsu073",3,4405.8
"smsu074",4,2508.2
"smsu075",7,2496.8
"smsu076",7,670
"smsu077",5,6092
"smsu078",4,3154.2
"smsu079",7,4164
"smsu080",4,1439
"smsu081",6,2253.6
"smsu082",3,849.8
"smsu083",3,3770
"smsu084",4,5449
"smsu085",5,2886.2
"smsu086",6,2650.6
"smsu087",3,3232
"smsu088",3,1344.6
"smsu089",7,3185
"smsu090",7,609.6
"smsu091",6,5777
"smsu092",4,1826.6
"smsu093",4,1200
"smsu094",3,2658
"smsu095",5,3604.6
"smsu096",4,2301
"smsu097",6,3253
"smsu098",5,3177.2
"smsu099",6,621
"smsu100",5,673.6
