"item","min","median","max","mean","sd","prop_na","prop_zero","cost"
"bicycle",0,1,3,0.72,0.76,0,0.45,90
"bull",0,1,3,0.93,0.95,0,0.43,400
"car",0,1,3,0.9,0.97,0,0.43,5000
"chicken",0,1,3,0.83,0.94,0,0.45,8
"cot",0,1,3,0.75,0.86,0,0.48,45
"cow",0,0,3,0.57,0.79,0,0.6,350
"goat",0,0,3,0.8,1.04,0,0.53,60
"laptop",0,0,3,0.67,0.84,0,0.53,450
"mattress",0,0,3,0.73,0.99,0,0.57,70
"motorcycle",0,1,3,0.93,0.9,0,0.38,900
"ownedland",0,0,3,0.57,0.83,0,0.62,1200
"plow",0,1,3,0.83,0.78,0,0.38,140
"radio",0,1,3,0.9,0.97,0,0.45,25
"refrigerator",0,0.5,3,0.78,0.96,0,0.5,300
"sewingmachine",0,1,3,0.85,0.95,0,0.45,110
"smartphone",0,0,3,0.83,0.98,0,0.52,140
"sofa",0,0.5,3,0.77,0.91,0,0.5,120
"tractor",0,1,3,0.77,0.79,0,0.43,6000
"tv",0,0,3,0.7,0.89,0,0.53,180
"washingmachine",0,0,2,0.63,0.8,0,0.57,260
