"item","min","median","max","mean","sd","prop_na","prop_zero","cost"
"bicycle",0,0,3,0.69,0.83,0,0.53,90
"bull",0,0,3,0.77,0.98,0,0.53,400
"car",0,1,3,0.91,0.93,0,0.41,5000
"chicken",0,1,3,0.76,0.91,0,0.49,8
"cot",0,0,3,0.67,0.9,0,0.56,45
"cow",0,1,3,0.77,0.85,0,0.47,350
"goat",0,1,3,0.7,0.82,0,0.49,60
"laptop",0,0,3,0.86,1.05,0,0.51,450
"mattress",0,0,3,0.63,0.8,0,0.54,70
"motorcycle",0,1,2,0.7,0.77,0,0.49,900
"ownedland",0,1,3,0.73,0.82,0,0.49,1200
"plow",0,0,3,0.69,0.84,0,0.54,140
"radio",0,0,3,0.66,0.81,0,0.54,25
"refrigerator",0,0,3,0.61,0.82,0,0.59,300
"sewingmachine",0,1,3,0.83,0.95,0,0.49,110
"smartphone",0,1,3,0.76,0.82,0,0.44,140
"sofa",0,0,3,0.66,0.81,0,0.53,120
"tractor",0,0,3,0.76,1,0,0.57,6000
"tv",0,0,3,0.67,0.79,0,0.51,180
"washingmachine",0,0.5,3,0.81,0.94,0,0.5,260
