"item","min","median","max","mean","sd","prop_na","prop_zero","cost"
"bicycle",0,0,3,0.75,0.95,0,0.52,90
"bull",0,0,3,0.7,0.85,0,0.52,400
"car",0,1,3,0.82,0.84,0,0.42,5000
"chicken",0,1,3,0.92,0.92,0,0.42,8
"cot",0,0,3,0.65,0.86,0,0.58,45
"cow",0,0,3,0.68,0.86,0,0.52,350
"goat",0,0,2,0.62,0.77,0,0.55,60
"laptop",0,0,3,0.7,0.97,0,0.58,450
"mattress",0,1,3,0.98,1,0,0.42,70
"motorcycle",0,0.5,3,0.75,0.93,0,0.5,900
"ownedland",0,1,3,0.8,0.91,0,0.48,1200
"plow",0,0.5,3,0.78,0.95,0,0.5,140
"radio",0,1,3,0.92,1.02,0,0.45,25
"refrigerator",0,1,3,1.1,1.08,0,0.4,300
"sewingmachine",0,0,3,0.72,0.96,0,0.55,110
"smartphone",0,0,2,0.48,0.64,0,0.6,140
"sofa",0,0,3,0.75,1.01,0,0.55,120
"tractor",0,1,3,1.07,1.05,0,0.4,6000
"tv",0,1,3,0.8,0.79,0,0.4,180
"washingmachine",0,0.5,3,0.68,0.8,0,0.5,260
