"item","min","median","max","mean","sd","prop_na","prop_zero","cost"
"bicycle",0,1,3,0.73,0.84,0,0.46,90
"bull",0,1,3,0.77,0.85,0,0.47,400
"car",0,0,3,0.7,0.85,0,0.52,5000
"chicken",0,0,3,0.74,0.95,0,0.55,8
"cot",0,0,3,0.75,0.93,0,0.52,45
"cow",0,0,3,0.71,0.95,0,0.55,350
"goat",0,0,3,0.64,0.8,0,0.53,60
"laptop",0,1,3,0.75,0.82,0,0.46,450
"mattress",0,0.5,3,0.7,0.82,0,0.5,70
"motorcycle",0,0,3,0.72,0.95,0,0.56,900
"ownedland",0,1,3,0.77,0.87,0,0.47,1200
"plow",0,1,3,0.81,0.95,0,0.48,140
"radio",0,1,3,0.86,0.95,0,0.45,25
"refrigerator",0,1,3,0.79,0.86,0,0.46,300
"sewingmachine",0,1,3,0.78,0.87,0,0.48,110
"smartphone",0,1,3,0.76,0.88,0,0.49,140
"sofa",0,0,3,0.57,0.78,0,0.59,120
"tractor",0,0,3,0.71,0.9,0,0.54,6000
"tv",0,1,3,0.91,0.98,0,0.46,180
"washingmachine",0,1,3,0.75,0.82,0,0.46,260
