"personid","site_code","dob","dod","father","mother"
"si0001","SI","1988-99-99",NA,"si0056","si8001"
"si0002","SI","1989-99-99",NA,"si8002","si8003"
"si0003","SI","2012-99-99",NA,"si0001","si0002"
"si0004","SI","2012-99-99",NA,"si0001","si0002"
"si0005","SI","2016-99-99",NA,"si0001","si0002"
"si0006","SI","2008-99-99",NA,"si0001","si0002"
"si0007","SI","2006-99-99",NA,"si0001","si0002"
"si0008","SI","1974-99-99",NA,"si8004","si8005"
"si0009","SI","1989-99-99",NA,"si0086","si8006"
"si0010","SI","2007-99-99",NA,"si0008","si0009"
"si0011","SI","1999-99-99",NA,NA,NA
"si0012","SI","2016-99-99",NA,"si0008","si0009"
"si0013","SI","2002-99-99",NA,NA,NA
"si0014","SI","1974-99-99",NA,"si0097","si0144"
"si0015","SI","1984-99-99",NA,"si8007","si8008"
"si0016","SI","2001-99-99",NA,"si0014","si0015"
"si0017","SI","1969-99-99",NA,"si0102","si0162"
"si0018","SI","1982-99-99",NA,"si8009","si0083"
"si0019","SI","2019-99-99",NA,"si0017","si0018"
"si0020","SI","1970-99-99",NA,"si0176","si0064"
"si0021","SI","1977-99-99",NA,"si8010","si8011"
"si0022","SI","2020-99-99",NA,NA,NA
"si0023","SI","1970-99-99",NA,"si0180","si0043"
"si0024","SI","1974-99-99",NA,"si8012","si8013"
"si0025","SI","2001-99-99",NA,NA,NA
"si0026","SI","1965-99-99",NA,"si8014","si0127"
"si0027","SI","1975-99-99",NA,"si0105","si0166"
"si0028","SI","2000-99-99",NA,"si0026","si0027"
"si0029","SI","1998-99-99",NA,NA,NA
"si0030","SI","1980-99-99",NA,"si0176","si8015"
"si0031","SI","1985-99-99",NA,"si8016","si8017"
"si0032","SI","2018-99-99",NA,"si0030","si0031"
"si0033","SI","2017-99-99",NA,"si0030","si0031"
"si0034","SI","1965-99-99",NA,"si0143","si8018"
"si0035","SI","1975-99-99",NA,"si0045","si0080"
"si0036","SI","2015-99-99",NA,NA,NA
"si0037","SI","2006-99-99",NA,"si0034","si0035"
"si0038","SI","1968-99-99",NA,"si8019","si8020"
"si0039","SI","1977-99-99",NA,"si8021","si8022"
"si0040","SI","1999-99-99",NA,NA,NA
"si0041","SI","2011-99-99",NA,"si0038","si0039"
"si0042","SI","1988-99-99",NA,"si8023","si8024"
"si0043","SI","1969-99-99",NA,"si8025","si8026"
"si0044","SI","1998-99-99",NA,NA,NA
"si0045","SI","1977-99-99",NA,"si0048","si0031"
"si0046","SI","1968-99-99",NA,"si8027","si8028"
"si0047","SI","2010-99-99",NA,"si0045","si0046"
"si0048","SI","1975-99-99",NA,"si8029","si8030"
"si0049","SI","1972-99-99",NA,"si8031","si0027"
"si0050","SI","2007-99-99",NA,"si0048","si0049"
"si0051","SI","1988-99-99",NA,"si8032","si8033"
"si0052","SI","1981-99-99",NA,"si8034","si8035"
"si0053","SI","2019-99-99",NA,"si0051","si0052"
"si0054","SI","2016-99-99",NA,"si0051","si0052"
"si0055","SI","1999-99-99",NA,NA,NA
"si0056","SI","1964-99-99",NA,"si0108","si8036"
"si0057","SI","1981-99-99",NA,"si8037","si8038"
"si0058","SI","2001-99-99",NA,"si0056","si0057"
"si0059","SI","2009-99-99",NA,"si0056","si0057"
"si0060","SI","2006-99-99",NA,NA,NA
"si0061","SI","2001-99-99",NA,"si0056","si0057"
"si0062","SI","2008-99-99",NA,"si0056","si0057"
"si0063","SI","1969-99-99",NA,"si8039","si0027"
"si0064","SI","1988-99-99",NA,"si8040","si8041"
"si0065","SI","2012-99-99",NA,NA,NA
"si0066","SI","2015-99-99",NA,"si0063","si0064"
"si0067","SI","2014-99-99",NA,NA,NA
"si0068","SI","2018-99-99",NA,"si0063","si0064"
"si0069","SI","1963-99-99",NA,"si8042","si8043"
"si0070","SI","1973-99-99",NA,"si0014","si8044"
"si0071","SI","2015-99-99",NA,"si0069","si0070"
"si0072","SI","2007-99-99",NA,"si0069","si0070"
"si0073","SI","2014-99-99",NA,NA,NA
"si0074","SI","2007-99-99",NA,"si0069","si0070"
"si0075","SI","1999-99-99",NA,"si0069","si0070"
"si0076","SI","1971-99-99",NA,"si8045","si0018"
"si0077","SI","1987-99-99",NA,"si0034","si8046"
"si0078","SI","2004-99-99",NA,"si0076","si0077"
"si0079","SI","1972-99-99",NA,"si8047","si0018"
"si0080","SI","1982-99-99",NA,"si8048","si8049"
"si0081","SI","2017-99-99",NA,NA,NA
"si0082","SI","1974-99-99",NA,"si8050","si8051"
"si0083","SI","1992-99-99",NA,"si8052","si8053"
"si0084","SI","2014-99-99",NA,"si0082","si0083"
"si0085","SI","2015-99-99",NA,NA,NA
"si0086","SI","1982-99-99",NA,"si8054","si8055"
"si0087","SI","1978-99-99",NA,"si0086","si8056"
"si0088","SI","2013-99-99",NA,NA,NA
"si0089","SI","2008-99-99",NA,NA,NA
"si0090","SI","2003-99-99",NA,"si0086","si0087"
"si0091","SI","2017-99-99",NA,"si0086","si0087"
"si0092","SI","2001-99-99",NA,"si0086","si0087"
"si0093","SI","1969-99-99",NA,"si8057","si8058"
"si0094","SI","1974-99-99",NA,"si0126","si8059"
"si0095","SI","2012-99-99",NA,"si0093","si0094"
"si0096","SI","2003-99-99",NA,"si0093","si0094"
"si0097","SI","1977-99-99",NA,"si8060","si8061"
"si0098","SI","1990-99-99",NA,"si8062","si8063"
"si0099","SI","2001-99-99",NA,"si0097","si0098"
"si0100","SI","2001-99-99",NA,NA,NA
"si0101","SI","2019-99-99",NA,NA,NA
"si0102","SI","1974-99-99",NA,"si8064","si0031"
"si0103","SI","1972-99-99",NA,"si0045","si8065"
"si0104","SI","2016-99-99",NA,NA,NA
"si0105","SI","1972-99-99",NA,"si0079","si8066"
"si0106","SI","1988-99-99",NA,"si0082","si8067"
"si0107","SI","2001-99-99",NA,NA,NA
"si0108","SI","1969-99-99",NA,"si8068","si0122"
"si0109","SI","1974-99-99",NA,"si0014","si0127"
"si0110","SI","2018-99-99",NA,"si0108","si0109"
"si0111","SI","1983-99-99",NA,"si0105","si0018"
"si0112","SI","1969-99-99",NA,"si8069","si8070"
"si0113","SI","2007-99-99",NA,NA,NA
"si0114","SI","2001-99-99",NA,"si0111","si0112"
"si0115","SI","1973-99-99",NA,"si0108","si8071"
"si0116","SI","1989-99-99",NA,"si0008","si8072"
"si0117","SI","2007-99-99",NA,"si0115","si0116"
"si0118","SI","2006-99-99",NA,"si0115","si0116"
"si0119","SI","2007-99-99",NA,"si0115","si0116"
"si0120","SI","2017-99-99",NA,NA,NA
"si0121","SI","1971-99-99",NA,"si0115","si8073"
"si0122","SI","1970-99-99",NA,"si8074","si8075"
"si0123","SI","2008-99-99",NA,"si0121","si0122"
"si0124","SI","2002-99-99",NA,NA,NA
"si0125","SI","2020-99-99",NA,"si0121","si0122"
"si0126","SI","1972-99-99",NA,"si8076","si8077"
"si0127","SI","1972-99-99",NA,"si0154","si8078"
"si0128","SI","2011-99-99",NA,"si0126","si0127"
"si0129","SI","2014-99-99",NA,"si0126","si0127"
"si0130","SI","2007-99-99",NA,"si0126","si0127"
"si0131","SI","2022-99-99",NA,"si0126","si0127"
"si0132","SI","2020-99-99",NA,NA,NA
"si0133","SI","1966-99-99",NA,"si8079","si8080"
"si0134","SI","1993-99-99",NA,"si8081","si8082"
"si0135","SI","2017-99-99",NA,"si0133","si0134"
"si0136","SI","2001-99-99",NA,"si0133","si0134"
"si0137","SI","2000-99-99",NA,"si0133","si0134"
"si0138","SI","1968-99-99",NA,"si8083","si8084"
"si0139","SI","1972-99-99",NA,"si8085","si0083"
"si0140","SI","2022-99-99",NA,"si0138","si0139"
"si0141","SI","1999-99-99",NA,"si0138","si0139"
"si0142","SI","2000-99-99",NA,NA,NA
"si0143","SI","1979-99-99",NA,"si8086","si8087"
"si0144","SI","1977-99-99",NA,"si8088","si8089"
"si0145","SI","2016-99-99",NA,"si0143","si0144"
"si0146","SI","2001-99-99",NA,NA,NA
"si0147","SI","2020-99-99",NA,"si0143","si0144"
"si0148","SI","1980-99-99",NA,"si8090","si8091"
"si0149","SI","1987-99-99",NA,"si0063","si8092"
"si0150","SI","2008-99-99",NA,"si0148","si0149"
